subject,0,1,2,3,4,5,6
B005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
B014,1.0,1.0,1.0,1.0,1.0,1.0,0.0
B029,0.0,1.0,1.0,1.0,1.0,1.0,1.0
B043,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B044,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B061,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B063,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B069,1.0,1.0,0.0,1.0,1.0,0.0,0.0
B103,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B109,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B122,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B123,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B148,1.0,1.0,1.0,1.0,0.0,1.0,1.0
B151,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B165,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B168,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B177,0.0,1.0,1.0,1.0,1.0,1.0,1.0
B185,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B193,0.0,1.0,1.0,1.0,1.0,1.0,1.0
B198,1.0,1.0,0.0,0.0,1.0,0.0,1.0
B211,1.0,1.0,1.0,1.0,0.0,1.0,1.0
B221,0.0,1.0,1.0,0.0,1.0,1.0,1.0
B224,1.0,1.0,1.0,0.0,1.0,1.0,1.0
B228,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B236,1.0,1.0,0.0,1.0,1.0,1.0,1.0
B272,1.0,1.0,1.0,1.0,1.0,0.0,1.0
B287,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B291,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B295,1.0,1.0,1.0,1.0,1.0,1.0,0.0
B301,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B325,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B327,0.0,1.0,1.0,1.0,1.0,1.0,1.0
B334,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B336,1.0,1.0,1.0,1.0,1.0,0.0,0.0
B358,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B363,0.0,1.0,0.0,1.0,1.0,1.0,1.0
B364,1.0,0.0,1.0,1.0,1.0,1.0,1.0
B375,1.0,0.0,1.0,0.0,1.0,1.0,1.0
B379,1.0,1.0,1.0,0.0,1.0,0.0,0.0
B400,1.0,0.0,1.0,1.0,1.0,0.0,1.0
B426,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B438,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B440,1.0,0.0,1.0,1.0,1.0,1.0,1.0
B461,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B511,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B522,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B562,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B576,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B634,1.0,1.0,1.0,1.0,1.0,0.0,1.0
B640,1.0,1.0,1.0,1.0,1.0,0.0,1.0
B651,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B688,0.0,1.0,0.0,1.0,1.0,0.0,1.0
B782,1.0,1.0,1.0,1.0,1.0,0.0,1.0
B809,1.0,1.0,1.0,1.0,1.0,1.0,0.0
B819,1.0,1.0,1.0,1.0,1.0,1.0,0.0
B836,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B853,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B900,1.0,0.0,1.0,1.0,1.0,1.0,0.0
B917,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B928,1.0,1.0,1.0,1.0,1.0,0.0,1.0
B941,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B957,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B972,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B991,0.0,1.0,1.0,0.0,1.0,1.0,1.0
