subject,0,1,2,3,4,5,6
B005,0.0,0.0,1.0,1.0,0.0,0.0,0.0
B014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B043,0.0,0.0,0.0,0.0,1.0,0.0,0.0
B044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B063,0.0,0.0,0.0,0.0,0.0,1.0,0.0
B069,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B123,0.0,0.0,0.0,0.0,1.0,0.0,0.0
B125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B148,0.0,1.0,0.0,0.0,0.0,0.0,0.0
B151,1.0,0.0,0.0,0.0,0.0,0.0,0.0
B165,0.0,1.0,0.0,0.0,0.0,0.0,1.0
B168,0.0,0.0,1.0,0.0,0.0,0.0,0.0
B177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B185,0.0,0.0,0.0,1.0,0.0,0.0,0.0
B193,1.0,0.0,0.0,0.0,0.0,0.0,0.0
B198,0.0,0.0,0.0,0.0,1.0,0.0,0.0
B211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B224,0.0,0.0,1.0,0.0,0.0,0.0,0.0
B228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B236,0.0,0.0,0.0,1.0,0.0,0.0,0.0
B272,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B301,1.0,0.0,1.0,0.0,1.0,0.0,0.0
B325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B327,0.0,0.0,1.0,0.0,0.0,0.0,0.0
B334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B379,0.0,1.0,0.0,0.0,0.0,0.0,0.0
B400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B438,0.0,0.0,0.0,0.0,1.0,1.0,0.0
B440,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B461,0.0,0.0,0.0,0.0,1.0,1.0,0.0
B511,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B522,0.0,1.0,0.0,0.0,0.0,1.0,0.0
B562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B576,0.0,0.0,0.0,0.0,0.0,1.0,0.0
B634,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B640,0.0,0.0,0.0,0.0,0.0,1.0,0.0
B651,0.0,1.0,1.0,0.0,1.0,0.0,1.0
B688,0.0,0.0,0.0,0.0,0.0,1.0,0.0
B782,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B809,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B819,1.0,0.0,0.0,0.0,0.0,0.0,0.0
B836,0.0,1.0,0.0,0.0,0.0,0.0,0.0
B853,1.0,0.0,1.0,0.0,0.0,0.0,0.0
B900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B928,0.0,0.0,0.0,0.0,1.0,0.0,0.0
B941,0.0,0.0,0.0,0.0,1.0,1.0,0.0
B957,0.0,0.0,1.0,0.0,0.0,0.0,0.0
B972,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B991,0.0,0.0,0.0,0.0,0.0,0.0,0.0
