subject,0,1,2,3,4
T000272,1.0,0.0,0.0,0.0,0.0
T000461,0.0,1.0,0.0,0.0,0.0
T002534,0.0,1.0,0.0,0.0,0.0
T003950,1.0,1.0,0.0,0.0,0.0
T005999,1.0,1.0,0.0,0.0,0.0
T007748,1.0,0.0,1.0,0.0,0.0
T008025,1.0,1.0,0.0,0.0,0.0
T008631,1.0,0.0,1.0,0.0,0.0
T009280,1.0,0.0,0.0,0.0,0.0
T009909,0.0,1.0,0.0,0.0,0.0
T010520,1.0,0.0,1.0,0.0,0.0
T010532,1.0,1.0,0.0,0.0,0.0
T012138,1.0,1.0,0.0,0.0,0.0
T012374,1.0,0.0,0.0,0.0,0.0
T012389,1.0,1.0,0.0,0.0,0.0
T013832,1.0,0.0,0.0,0.0,0.0
T014827,1.0,0.0,0.0,0.0,0.0
T017394,0.0,0.0,1.0,0.0,0.0
T018343,0.0,0.0,0.0,0.0,0.0
T019021,1.0,0.0,0.0,0.0,0.0
T019031,1.0,1.0,0.0,0.0,0.0
T019850,1.0,0.0,0.0,0.0,0.0
T020231,0.0,0.0,0.0,0.0,0.0
T021076,1.0,1.0,1.0,0.0,0.0
T021613,1.0,1.0,1.0,0.0,0.0
T023390,1.0,1.0,0.0,0.0,0.0
T023909,1.0,0.0,0.0,0.0,0.0
T024121,0.0,1.0,1.0,0.0,0.0
T028183,1.0,0.0,1.0,0.0,0.0
