subject,0,1,2,3,4
E002338,1.0,0.0,0.0,0.0,0.0
E002473,0.0,0.0,0.0,0.0,0.0
E004934,0.0,0.0,1.0,0.0,0.0
E005804,1.0,0.0,0.0,0.0,0.0
E008437,1.0,0.0,0.0,0.0,0.0
E008643,1.0,0.0,0.0,0.0,0.0
E012393,1.0,0.0,0.0,0.0,0.0
E012678,1.0,0.0,0.0,0.0,0.0
E016148,1.0,0.0,0.0,0.0,0.0
E017049,0.0,1.0,0.0,1.0,0.0
E018421,1.0,0.0,0.0,0.0,0.0
E019187,1.0,1.0,0.0,0.0,0.0
E019349,1.0,0.0,0.0,0.0,0.0
E022960,1.0,0.0,0.0,0.0,0.0
E023535,0.0,0.0,0.0,0.0,0.0
E023681,0.0,0.0,0.0,0.0,0.0
E025921,0.0,0.0,0.0,1.0,0.0
E030828,0.0,1.0,1.0,0.0,0.0
