"#OTU ID","P000648.0","P000648.1","P000648.2","P000648.3","P000648.4","P005558.0","P005558.1","P005558.2","P005558.3","P005558.4","P008579.0","P008579.1","P008579.2","P008579.3","P008579.4","P015163.0","P015163.1","P015163.2","P015163.3","P015163.4","P016803.0","P016803.1","P016803.2","P016803.3","P016803.4","P019475.0","P019475.1","P019475.2","P019475.3","P019475.4"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__perfringens",-0.277096416092068,-0.259954345480978,-0.273649832570029,-0.260952381583436,-0.292516328870338,0.496947295955625,0.290354576977461,-0.286676275148915,-0.292470381516735,-0.280294746760074,-0.20548526833025,-0.275205746250043,-0.281652812560848,-0.283862068240234,-0.261185905002717,-0.244015354653521,-0.22888788627765,-0.292553406124313,-0.28169682085356,-0.293403197233512,-0.181610144638545,-0.223038095389531,-0.293620402286305,-0.293241785139948,-0.25117586304253,0.279614248109703,0.0928181978746932,-0.258653093875756,-0.293806759744057,-0.287911682754309
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Megamonas|s__unclassified",-0.277096416092068,-0.261924380160167,-0.263719060420392,-0.25164690369556,-0.292516328870338,0.242734337381116,0.273452980565626,-0.286676275148915,-0.292470381516735,-0.280294746760074,-0.20548526833025,-0.275205746250043,-0.29357297332748,-0.286550882045252,-0.255158061878095,-0.244015354653521,-0.240758725777302,-0.292553406124313,-0.28169682085356,-0.293403197233512,-0.264164441267253,-0.237135222813675,-0.293620402286305,-0.293241785139948,-0.266311646745902,0.100081926525121,0.0452212967755123,-0.261622753225966,-0.293806759744057,-0.287911682754309
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc|s__unclassified",-0.277096416092068,-0.266690283792883,-0.269491478665815,-0.251252559834019,-0.292516328870338,0.270510302561868,0.162530402759501,-0.286676275148915,-0.292470381516735,-0.280294746760074,-0.20548526833025,-0.275205746250043,-0.29242764695036,-0.27338640579348,-0.244076609891778,-0.244015354653521,-0.246365799031265,-0.292553406124313,-0.28169682085356,-0.293403197233512,-0.15470847972885,-0.199061367449287,-0.293620402286305,-0.293241785139948,-0.250161569842942,0.10366960402038,-0.0135493589749425,-0.290904372449883,-0.293806759744057,-0.287911682754309
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Turicibacterales|f__Turicibacteraceae|g__Turicibacter|s__unclassified",-0.277096416092068,-0.25569764357048,-0.263798308782086,-0.26369896499258,-0.292516328870338,-0.00810221827454176,0.134293303794103,-0.286676275148915,-0.292470381516735,-0.280294746760074,-0.20548526833025,-0.275205746250043,-0.286774071162424,-0.296555386902188,-0.267992094604057,-0.244015354653521,-0.222518943420663,-0.292553406124313,-0.28169682085356,-0.293403197233512,-0.283453181299785,-0.257293591873005,-0.293620402286305,-0.293241785139948,-0.270406083066559,0.113589281784405,0.079259427360364,-0.231934347012211,-0.293806759744057,-0.287911682754309
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Peptoniphilus|s__asaccharolyticus",-0.277096416092068,-0.255760810477998,-0.263925300450447,-0.250421144369024,-0.292516328870338,0.310101284460033,0.228032411274855,-0.286676275148915,-0.292470381516735,-0.280294746760074,-0.20548526833025,-0.275205746250043,-0.29706061345398,-0.268933141012248,-0.252200534506552,-0.244015354653521,-0.234150785204238,-0.292553406124313,-0.28169682085356,-0.293403197233512,-0.212865133972362,-0.213250391414305,-0.293620402286305,-0.293241785139948,-0.253536764950067,0.126697560565044,0.0159156075438149,-0.274826583153299,-0.293806759744057,-0.287911682754309
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnobacterium|s__unclassified",-0.277096416092068,-0.259700687178321,-0.258681680292086,-0.247706190491896,-0.292516328870338,0.49606026597543,0.329709347239315,-0.286676275148915,-0.292470381516735,-0.280294746760074,-0.20548526833025,-0.275205746250043,-0.281793865558689,-0.270875414052913,-0.255441687287171,-0.244015354653521,-0.238356332348021,-0.292553406124313,-0.28169682085356,-0.293403197233512,-0.20482373343529,-0.215089463432389,-0.293620402286305,-0.293241785139948,-0.251100452031561,0.273798030033663,0.101734382901454,-0.268004722410076,-0.293806759744057,-0.287911682754309
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Megasphaera|s__micronuciformis",-0.277096416092068,-0.273677199558581,-0.265079686188925,-0.269376500631658,-0.292516328870338,0.305779600675021,0.270346017963372,-0.286676275148915,-0.292470381516735,-0.280294746760074,-0.20548526833025,-0.275205746250043,-0.291473267364674,-0.298073081178734,-0.269353907689619,-0.244015354653521,-0.241844696762304,-0.292553406124313,-0.28169682085356,-0.293403197233512,-0.238194624853821,-0.23405673368287,-0.293620402286305,-0.293241785139948,-0.268148034741541,0.226112478610834,0.106966627138849,-0.252025234691043,-0.293806759744057,-0.287911682754309
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Selenomonas|s__unclassified",-0.277096416092068,-0.268827343947941,-0.254871686645199,-0.258165546830084,-0.292516328870338,0.554417509673033,0.338715836450924,-0.286676275148915,-0.292470381516735,-0.280294746760074,-0.20548526833025,-0.275205746250043,-0.281673960387896,-0.276143530557362,-0.246718970217733,-0.244015354653521,-0.253218080260297,-0.292553406124313,-0.28169682085356,-0.293403197233512,-0.185062265186485,-0.21999534061889,-0.293620402286305,-0.293241785139948,-0.263440309354995,0.142751685802689,0.00396380904402224,-0.2706524626038,-0.293806759744057,-0.287911682754309
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__bromii",-0.277096416092068,-0.26729324370158,-0.254003401507312,-0.250522963123307,-0.292516328870338,0.414756463599029,0.304113377005974,-0.286676275148915,-0.292470381516735,-0.280294746760074,-0.20548526833025,-0.275205746250043,-0.283108975988007,-0.263327672260751,-0.252820467114104,-0.244015354653521,-0.24889739067821,-0.292553406124313,-0.28169682085356,-0.293403197233512,-0.178789710510714,-0.204712144178638,-0.293620402286305,-0.293241785139948,-0.250423529817521,0.148343767859723,0.0239786662692012,-0.280097553610213,-0.293806759744057,-0.287911682754309
"k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__[Coprobacillaceae]|g__Catenibacterium|s__unclassified",-0.277096416092068,-0.257751065017386,-0.258457247143252,-0.253304354128583,-0.292516328870338,0.323977068604496,0.243479678905826,-0.286676275148915,-0.292470381516735,-0.280294746760074,-0.20548526833025,-0.275205746250043,-0.298162844562632,-0.284364606970921,-0.258969747690059,-0.244015354653521,-0.233348974948265,-0.292553406124313,-0.28169682085356,-0.293403197233512,-0.197938569964285,-0.233232479918837,-0.293620402286305,-0.293241785139948,-0.25832681831091,0.123213494264774,0.0238602522434668,-0.282173264831772,-0.293806759744057,-0.287911682754309
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__aerofaciens",-0.277096416092068,-0.26295577245992,-0.263546024551305,-0.262269937379672,-0.292516328870338,0.0811434339907177,0.117505871239375,-0.286676275148915,-0.292470381516735,-0.280294746760074,-0.20548526833025,-0.275205746250043,-0.276332282471945,-0.281562161287473,-0.259285239306647,-0.244015354653521,-0.215073454735913,-0.292553406124313,-0.28169682085356,-0.293403197233512,-0.250858726624292,-0.249193017248652,-0.293620402286305,-0.293241785139948,-0.265313261524071,0.174126979331601,0.0826837474514322,-0.236831774970853,-0.293806759744057,-0.287911682754309
"k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__unclassified",-0.277096416092068,-0.271308925968238,-0.264277875220752,-0.250926589826822,-0.292516328870338,0.368829751258991,0.283146315562386,-0.286676275148915,-0.292470381516735,-0.280294746760074,-0.20548526833025,-0.275205746250043,-0.285131135549918,-0.287255112149556,-0.260304490299364,-0.244015354653521,-0.231722406470083,-0.292553406124313,-0.28169682085356,-0.293403197233512,-0.219541673701493,-0.227949253232231,-0.293620402286305,-0.293241785139948,-0.251372144426884,0.154970243977304,0.0332500236718191,-0.297688876191834,-0.293806759744057,-0.287911682754309
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__unclassified",-0.277096416092068,-0.0728887764568146,-0.244882058873417,-0.263590408422254,-0.292516328870338,1.24880099669912,0.798237040004706,-0.286676275148915,-0.292470381516735,-0.280294746760074,-0.20548526833025,-0.275205746250043,-0.277303747607899,-0.289016354169139,-0.276863324247885,1.41351635299804,0.0973302325593475,-0.292553406124313,-0.28169682085356,-0.293403197233512,0.112950654014264,-0.0648819862767358,-0.293620402286305,-0.293241785139948,-0.267119514206028,1.30069451494061,0.768108217462167,-0.0718749392629468,-0.293806759744057,-0.287911682754309
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__unclassified|g__unclassified|s__unclassified",-0.277096416092068,0.056729378936575,-0.255695099654835,-0.320455308216157,-0.292516328870338,0.89637405902499,0.961451726740509,0.751876793858138,-0.292470381516735,-0.280294746760074,-0.20548526833025,-0.275205746250043,-0.291891591690316,-0.348089666910412,-0.340304827621496,1.41312389794139,0.256703316023963,-0.292553406124313,-0.28169682085356,-0.293403197233512,0.0465975562605761,-0.009389733023552,-0.293620402286305,-0.293241785139948,-0.303462480428843,1.70999965184062,1.31608267254444,0.10039592025728,-0.293806759744057,-0.287911682754309
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__unclassified",-0.277096416092068,-0.127611241697969,-0.277472753274807,-0.29106677770016,-0.292516328870338,-0.19949095886796,0.331693503287741,0.811982799552045,-0.292470381516735,-0.280294746760074,-0.20548526833025,-0.275205746250043,-0.29032467000563,-0.327686153241456,-0.306093609456462,-0.244015354653521,-0.0602570603716774,-0.292553406124313,-0.28169682085356,-0.293403197233512,-0.341874318027379,-0.189570234246629,-0.293620402286305,-0.293241785139948,-0.2935091556035,0.567794099062955,0.597426281834974,-0.0612199589217969,-0.293806759744057,-0.287911682754309
