"#OTU ID","P000648.0","P000648.1","P000648.2","P000648.3","P000648.4","P005558.0","P005558.1","P005558.2","P005558.3","P005558.4","P008579.0","P008579.1","P008579.2","P008579.3","P008579.4","P015163.0","P015163.1","P015163.2","P015163.3","P015163.4","P016803.0","P016803.1","P016803.2","P016803.3","P016803.4","P019475.0","P019475.1","P019475.2","P019475.3","P019475.4"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__perfringens",-0.100363170487669,-0.290818138331897,-0.272395048547874,0.0904630017145208,-0.177954723532843,-0.183966083711891,-0.0858513891068249,-0.286676275148915,-0.253644209521439,-0.0815688023372283,-0.20548526833025,-0.275205746250043,-0.29102685841382,0.215685560192967,-0.209022042860762,-0.244015354653521,1.3658298658066,-1.43749801816213,1.25502310010288,-1.57918728297976,-0.283816216345107,-0.0505909082359291,-0.293620402286305,0.422344757119435,-0.294644888770345,-0.132562727307409,-0.270778624631911,-0.293116938110479,0.48657029019975,-0.287911682754309
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Megamonas|s__unclassified",-0.192663232434412,-0.290818138331897,-0.272395048547874,-0.529275774550955,-0.180036616367071,-0.183966083711891,-0.145361395530045,-0.286676275148915,-1.47685307174527,-0.203109847169635,-0.20548526833025,-0.275205746250043,-0.29102685841382,-0.221683138849553,-0.215035309451234,-0.244015354653521,-0.243677586470907,-0.619826752197673,0.527146535260702,-0.618919184057013,-0.283816216345107,-0.190959928690637,-0.293620402286305,0.222961768046529,-0.294644888770345,-0.288235555497536,-0.270778624631911,-0.293116938110479,0.00177698708513174,-0.287911682754309
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc|s__unclassified",-0.223768418264256,-0.290818138331897,-0.272395048547874,-0.045671317225869,-0.178137838550545,-0.183966083711891,-0.196094657957924,-0.286676275148915,-0.760888859161796,-0.169970802426479,-0.20548526833025,-0.275205746250043,-0.29102685841382,0.238958047368199,-0.212270050545445,-0.244015354653521,-0.243677586470907,-0.741245730270078,1.05115099411815,-0.787981669613416,-0.283816216345107,-0.181394363602398,-0.293620402286305,0.45020143971722,-0.294644888770345,-0.299939047835234,-0.270778624631911,-0.293116938110479,0.462805809435615,-0.287911682754309
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Turicibacterales|f__Turicibacteraceae|g__Turicibacter|s__unclassified",-0.211686283094351,-0.290818138331897,-0.272395048547874,-0.251703629447338,-0.175134423830288,-0.183966083711891,-0.208090013802172,-0.286676275148915,-0.894956333084262,-0.165069894264273,-0.20548526833025,-0.275205746250043,-0.29102685841382,0.0792764082698259,-0.203376210980342,-0.244015354653521,-0.243677586470907,-0.676486747914328,0.816082572285729,-0.7002982529345,-0.283816216345107,-0.180579129930119,-0.293620402286305,0.324284592833083,-0.294644888770345,-0.28250992769525,-0.270778624631911,-0.293116938110479,0.172434199619979,-0.287911682754309
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Peptoniphilus|s__asaccharolyticus",-0.197520755996898,-0.290818138331897,-0.272395048547874,-0.299811040432731,-0.179566937152033,-0.183966083711891,-0.186981723926132,-0.286676275148915,-1.05318554091433,-0.185846722684412,-0.20548526833025,-0.275205746250043,-0.29102685841382,0.0619265028713327,-0.194375674405749,-0.244015354653521,-0.243677586470907,-0.641248939359799,0.704955907609202,-0.661337753517902,-0.283816216345107,-0.195675127848542,-0.293620402286305,0.320544549948548,-0.294644888770345,-0.300607108533967,-0.270778624631911,-0.293116938110479,0.243470755515689,-0.287911682754309
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnobacterium|s__unclassified",-0.184708908310005,-0.290818138331897,-0.272395048547874,-0.478426158064016,-0.175739868114662,-0.183966083711891,-0.149854659717727,-0.286676275148915,-1.41990758729389,-0.170174285641935,-0.20548526833025,-0.275205746250043,-0.29102685841382,-0.0948247178192691,-0.20616228957441,-0.244015354653521,-0.243677586470907,-0.614601365911829,0.893168737501312,-0.646816346010055,-0.283816216345107,-0.184677642872332,-0.293620402286305,0.418028878364475,-0.294644888770345,-0.3057913634738,-0.270778624631911,-0.293116938110479,0.266181692119921,-0.287911682754309
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Megasphaera|s__micronuciformis",-0.207493654919671,-0.290818138331897,-0.272395048547874,-0.378942838340021,-0.155369966198477,-0.183966083711891,-0.167099711395718,-0.286676275148915,-1.22714143571492,-0.153111039864669,-0.20548526833025,-0.275205746250043,-0.29102685841382,-0.0565070320118157,-0.201100786062233,-0.244015354653521,-0.243677586470907,-0.683161639621931,0.840913537693008,-0.695976552364069,-0.283816216345107,-0.169294358039133,-0.293620402286305,0.263349103113988,-0.294644888770345,-0.281148532875906,-0.270778624631911,-0.293116938110479,0.121817277193219,-0.287911682754309
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Selenomonas|s__unclassified",-0.191066826878424,-0.290818138331897,-0.272395048547874,-0.271677224582373,-0.164907498068601,-0.183966083711891,-0.166537678929804,-0.286676275148915,-1.03420716574016,-0.169036753968235,-0.20548526833025,-0.275205746250043,-0.29102685841382,0.0739582798890789,-0.190998727424965,-0.244015354653521,-0.243677586470907,-0.702845857755444,0.865555583503022,-0.742818406619247,-0.283816216345107,-0.185673676023586,-0.293620402286305,0.351733524258807,-0.294644888770345,-0.282569093178764,-0.270778624631911,-0.293116938110479,0.2341720663289,-0.287911682754309
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__bromii",-0.205586572247159,-0.290818138331897,-0.272395048547874,-0.188733772118751,-0.172961435480762,-0.183966083711891,-0.20173930002408,-0.286676275148915,-0.896376672515919,-0.16621394002589,-0.20548526833025,-0.275205746250043,-0.29102685841382,0.0957805054640154,-0.211895953779452,-0.244015354653521,-0.243677586470907,-0.790557484085105,0.850151764579984,-0.832291244687496,-0.283816216345107,-0.164573190629629,-0.293620402286305,0.318752076017591,-0.294644888770345,-0.281682386567338,-0.270778624631911,-0.293116938110479,0.238414464920579,-0.287911682754309
"k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__[Coprobacillaceae]|g__Catenibacterium|s__unclassified",-0.186611004029276,-0.290818138331897,-0.272395048547874,-0.636761651157806,-0.183603779158943,-0.183966083711891,-0.137414595160408,-0.286676275148915,-1.63802654089699,-0.200675353325049,-0.20548526833025,-0.275205746250043,-0.29102685841382,-0.253167776940994,-0.216159895321202,-0.244015354653521,-0.243677586470907,-0.645200246519238,0.65469349670743,-0.651253250286823,-0.283816216345107,-0.195732987942715,-0.293620402286305,0.240281987673765,-0.294644888770345,-0.284355437068869,-0.270778624631911,-0.293116938110479,0.0159710620447714,-0.287911682754309
