Taxonomic Level,Learning Rate,Dropout Rate,Number of Epochs,Condition,Mechanisms of missingness,Mask Ratio,Iteration,Pseudo Count,Seed,MSE (CLR),RMSE (CLR),MAE (CLR),R2 (CLR),Pearson (CLR),Spearman (CLR),CCC (CLR),NRMSE (CLR),MSE (RA),RMSE (RA),MAE (RA),R2 (RA),Pearson (RA),Spearman (RA),CCC (RA),NRMSE (RA),MSE (RA non-zero),RMSE (RA non-zero),MAE (RA non-zero),R2 (RA non-zero),Pearson (RA non-zero),Spearman (RA non-zero),CCC (RA non-zero),NRMSE (RA non-zero),Aitchison distance (mean),Bray-Curtis (mean),Jensen-Shannon (mean),Zero precision,Zero recall,Zero F1,Rarefaction depth,Richness true,Richness imputed,Richness abs diff,Evenness true,Evenness imputed,Evenness abs diff,Shannon eff true,Shannon eff imputed,Shannon eff abs diff,Bray-Curtis rarefied,Jaccard index rarefied
l7_species,0.001,0.7,3000,all,MNAR,0.1,0,5.015249999995e-05,4219393174,0.6559274824467111,0.8098935006818557,0.16541814754847667,0.2457384952138698,0.5116462698047579,0.8849947926697215,0.4248131864521859,0.07945512542157511,0.0003380587834995548,0.01838637494177563,0.0018305944629021236,-0.04437655384622552,0.30418711243390745,0.048113519122800964,0.28198834715378335,0.019704952369686612,0.007479737065210876,0.08648547314555709,0.02960429110206138,-0.12601098850057135,0.25426417006283636,0.3664543216738167,0.2310727363740327,0.09273977638209581,22.903318724497655,0.7624425937987345,0.7936593289177724,,0.0,,1911,35.31111111111111,444.55555555555554,409.24444444444447,0.5626567379452355,0.6284587653410569,0.2020511518363808,8.727173930177967,95.67876615707135,88.35946924410132,0.7662189662189661,0.05280900199593346
l7_species,0.001,0.7,3000,all,MNAR,0.1,1,5.015249999995e-05,1806604068,0.6302881036717991,0.7939068608292783,0.159149642775903,0.2494015050320545,0.5155822259938794,0.8832406905149629,0.4328903926207856,0.07902131559501811,0.0003678009462925336,0.01917813719558116,0.0018788836144508808,-0.06231615365055854,0.2630802551598554,0.05226420309792741,0.2366003550477445,0.0217049838633136,0.008314476486574638,0.09118375122013044,0.031343985030102696,-0.14761116374026706,0.20425031833579663,0.3510549695838208,0.1798660413587086,0.10327794399502147,22.49142970936791,0.7825550254187916,0.8042493137524654,,0.0,,1459,33.644444444444446,381.3333333333333,347.68888888888887,0.5491991935871993,0.6401127425067349,0.2065847028282676,8.269180612381431,80.10583342874712,72.27421084170668,0.7866727591196406,0.054989202609531496
l7_species,0.001,0.7,3000,all,MNAR,0.1,2,5.015249999995e-05,3691718975,0.7193811655885803,0.8481634073623905,0.17672808866777817,0.22126946610513842,0.4900298525759491,0.8850743499159242,0.4081771745674985,0.08427511999995739,0.0003519263713159637,0.018759700725650284,0.0018925712233717005,-0.18825576533706734,0.23701217981582542,0.05487974701991115,0.22587312881660784,0.021795841642388847,0.007356758758510953,0.08577154981991962,0.030544260306221753,-0.2758739631273046,0.17868189038017265,0.2701470001858828,0.16709592660997377,0.09971375922896583,23.919187847921286,0.7882559145343131,0.8088784542261999,,0.0,,1911,37.13333333333333,424.2,387.06666666666666,0.5866982351771426,0.6043380083022981,0.17666060383250248,9.916348976901709,58.80792867512725,50.39722892963754,0.790138961567533,0.05749529933673366
l7_species,0.001,0.7,3000,all,MNAR,0.1,3,5.015249999995e-05,2046935738,0.6403856060090428,0.8002409674648273,0.15698490165368464,0.22356242475999066,0.48881150061964646,0.8880037746653527,0.4004147970318357,0.07892029891575887,0.00038259846084352496,0.019560124254296672,0.001937406500806726,-0.05781259010113571,0.2586283093739824,0.056583162908294,0.23026128746648672,0.02049370455393271,0.00880812033469796,0.09385158674576558,0.03306638523709425,-0.09412213740515618,0.2208261270206129,0.3007386531929596,0.18501928048604283,0.09839895026985988,22.693238916325235,0.8069298075860017,0.8208517347372093,,0.0,,1517,32.044444444444444,422.53333333333336,390.4888888888889,0.5477563939591577,0.6511399099790894,0.1853895232087973,8.14799895115451,59.127382239145,51.086748674462456,0.8054493517908153,0.051093253134278864
l7_species,0.001,0.7,3000,all,MNAR,0.1,4,5.015249999995e-05,2537963614,0.7203334974118578,0.8487246299076384,0.18102730137369294,0.22120504850112688,0.48959885529065467,0.8703923965401005,0.40547419861999984,0.08296483002450347,0.00035821542104912384,0.01892657975042305,0.001909469631246489,-0.18005209937751898,0.2282032807408479,0.04331642737863248,0.21544363873883268,0.019829921762200095,0.0071345558253857536,0.0844662999390038,0.02862900513145007,-0.25140615114326637,0.17840076245292957,0.29948135596202685,0.16449191974375088,0.08854631249562232,23.930954493955966,0.7952941014141626,0.81128468410007,,0.0,,1911,38.15555555555556,438.8888888888889,400.73333333333335,0.5799168496870413,0.6283243818962061,0.21872472975888563,10.015130717992747,97.26190557801812,89.24019332822101,0.7981510552939124,0.0557513920927437
l7_species,0.001,0.7,3000,all,MNAR,0.1,5,5.015249999995e-05,16679524,0.6894106886092335,0.8303075867467631,0.18172850517572936,0.219947405230855,0.48554864304141054,0.7506115872119099,0.4021613554513574,0.08249639460747828,0.0002884692878671536,0.01698438364696092,0.0018180117505497706,0.005347816716299025,0.3578874014720971,0.06535083394186951,0.3375966809631822,0.020081046793338754,0.006484344607812396,0.08052542833051182,0.02962776626228459,-0.10263252127111211,0.30316796850898864,0.3174713834000528,0.2827866283516232,0.09526609227967094,23.37597271051969,0.7572018941039798,0.786957438763583,0.4166666666666667,0.0001395245005022882,0.000278955590270029,1911,35.266666666666666,458.84444444444443,423.5777777777778,0.5866697486794348,0.6384198167329073,0.18585525093647648,9.378831143187973,102.40674902575665,93.95400612697354,0.7592650735507879,0.05232037896817658
l7_species,0.001,0.7,3000,all,MNAR,0.1,6,5.015249999995e-05,1756584471,0.6348257074822093,0.796759504168108,0.16409209969916952,0.24379892461867003,0.511187370044183,0.8607295999924452,0.43239228456672424,0.0778851166849115,0.00034723948417499816,0.018634362993539603,0.0018495986406549595,-0.08526304062390322,0.2818874793828744,0.05514418085518399,0.2632287943946155,0.0195237578644957,0.007960463119699383,0.08922142746952316,0.03141626771443627,-0.166957875725126,0.22921620716834615,0.3281439358562282,0.20898285124733917,0.09353112902692486,22.549218139496194,0.7703578338327904,0.7925433180306984,,0.0,,1911,33.577777777777776,437.02222222222224,403.44444444444446,0.5647747914026071,0.6205977365067922,0.19882244830207593,8.556013945074795,87.336781467946,79.09384063423013,0.7714053142624571,0.0532448982597894
l7_species,0.001,0.7,3000,all,MNAR,0.1,7,5.015249999995e-05,2719672353,0.6827536031875215,0.8262890554687999,0.16831870257724585,0.23229878590738873,0.5006460484092956,0.8907445917236977,0.4194831918866554,0.08274235567717099,0.00032518552063373385,0.018032901059833215,0.0018610563224610369,-0.09763342899067196,0.29007107360562623,0.061872984274596414,0.2746562819720465,0.021166637960880336,0.0072745568488215145,0.0852910127083828,0.03128110892173467,-0.19631633389581848,0.23237046237523362,0.27471887383142524,0.2163059202589655,0.10019029176082966,23.324667953238784,0.7751299583050218,0.8013449692750603,,0.0,,1517,34.08888888888889,366.3333333333333,332.24444444444447,0.5861274586279824,0.6192731228326377,0.17528176994381625,9.188165095000805,68.60282257227585,60.040766915974714,0.7751995898337362,0.05799956845315455
l7_species,0.001,0.7,3000,all,MNAR,0.1,8,5.015249999995e-05,2247637680,0.6944307347217628,0.8333251074591254,0.17327372109771835,0.23776417563999797,0.5044360013212109,0.8770201515641055,0.4159217016510485,0.08245420602756073,0.0003270980916421231,0.01808585335675713,0.0018550776755670165,-0.15305304392176722,0.26860551923108084,0.046373800929173654,0.2571907209917166,0.020999196223050805,0.006750447310790781,0.08216110582745817,0.029253831833452867,-0.22395426956279918,0.21929024038236827,0.3782508498199988,0.2048965835161026,0.09545394098346724,23.669739174144706,0.7726398518736624,0.7990356343826966,,0.0,,1911,36.93333333333333,435.1333333333333,398.2,0.5937916173635482,0.6064268824391855,0.1712668908202042,9.941854157316456,57.893400895585565,48.28261161872373,0.7714285714285716,0.05578252238019602
l7_species,0.001,0.7,3000,all,MNAR,0.1,9,5.015249999995e-05,1834532658,0.6956868595779259,0.8340784492947446,0.17156923096508897,0.23498631894104383,0.5037762574605719,0.8864085008243207,0.4114117927491051,0.08346512865626035,0.0002999153695233672,0.017318064831942603,0.0018346600326800387,-0.034090065877579345,0.3201801710694725,0.07162484146291621,0.29930156028663546,0.01969974787817564,0.006164792093374277,0.07851619000801222,0.027888884475757554,-0.09327102963851353,0.2806609094719605,0.3103600710224223,0.25429228755248445,0.08938436290232202,23.71383713313995,0.7641359036112363,0.7926712566640717,,0.0,,1449,35.75555555555555,391.6222222222222,355.8666666666667,0.5870822378870436,0.6486375344491314,0.17413554490934285,9.358672379549981,77.50341413265022,68.46657949193786,0.766536308565294,0.057253288100320925
