Taxonomic Level,Learning Rate,Dropout Rate,Number of Epochs,Condition,Mechanisms of missingness,Mask Ratio,Iteration,Pseudo Count,Seed,MSE (CLR),RMSE (CLR),MAE (CLR),R2 (CLR),Pearson (CLR),Spearman (CLR),CCC (CLR),NRMSE (CLR),MSE (RA),RMSE (RA),MAE (RA),R2 (RA),Pearson (RA),Spearman (RA),CCC (RA),NRMSE (RA),MSE (RA non-zero),RMSE (RA non-zero),MAE (RA non-zero),R2 (RA non-zero),Pearson (RA non-zero),Spearman (RA non-zero),CCC (RA non-zero),NRMSE (RA non-zero),Aitchison distance (mean),Bray-Curtis (mean),Jensen-Shannon (mean),Zero precision,Zero recall,Zero F1,Rarefaction depth,Richness true,Richness imputed,Richness abs diff,Evenness true,Evenness imputed,Evenness abs diff,Shannon eff true,Shannon eff imputed,Shannon eff abs diff,Bray-Curtis rarefied,Jaccard index rarefied
l7_species,0.001,0.7,3000,EST,MAR,0.1,0,0.0089047562685613,2814434475,0.2627297583648061,0.5125717104608936,0.23976842314093205,0.2682613456659071,0.5768560170293949,0.5921329461633307,0.5490025393743737,0.16404206225172147,0.0003179650862605409,0.017831575540611686,0.007828952942585975,-0.08458497070464843,0.5299533258054917,0.5537027999489008,0.5257635231603105,0.13810510719515037,0.0008219715135003181,0.028670045578971758,0.02188897689160563,-3.1303721759125596,0.2591543825620685,0.15602042955233333,0.1914894395104722,0.264584368333742,5.316363501372221,0.44233584125610753,0.5896881492628844,0.8795774647887324,0.9116788321167884,0.8953405017921147,48,22.3125,20.0,4.4375,0.9605303620363004,0.9597664733045295,0.010265143239839646,19.78398776906954,17.66102866077497,4.115879347257085,0.6197916666666666,0.35737300978202985
l7_species,0.001,0.7,3000,EST,MAR,0.1,1,0.0089047562685613,94890160,0.24720661925270493,0.4971987723765063,0.24634677391947496,0.3114570873978477,0.6010041771302423,0.5068303319819429,0.5770933991900392,0.15898903700089165,0.0002860352646498928,0.01691257711438126,0.007460374990957993,0.028082567028756666,0.5357052387399752,0.5811012777227449,0.5351973451687025,0.13098748733718163,0.0007263667672762168,0.026951192316411843,0.02005790442414849,-2.612206550818454,0.18545094970284393,0.1972104865837116,0.14282260265377036,0.2487217599719901,5.170097555266038,0.4215111869891266,0.5738902404213395,0.8906474820143885,0.9029905178701677,0.8967765302426657,48,22.3125,21.3125,4.75,0.9556174951084397,0.9625144694793932,0.011148040879097619,19.549645118977445,19.001792941965974,4.28676701382439,0.6080729166666667,0.37630978524360875
l7_species,0.001,0.7,3000,EST,MAR,0.1,2,0.0089047562685613,2443061431,0.28329308878189957,0.5322528429063574,0.4256970390678438,0.07495356628909489,0.29730451917121203,0.22676279456912574,0.20690395383879948,0.2342959464989569,0.00023540451157272362,0.015342897756705661,0.009232979181720426,-0.196514711120366,0.31141025015800994,0.31358475803552543,0.3075241163940331,0.244170408103731,0.00041594537257653834,0.020394738845509602,0.015827703193555302,-10.322704628101745,0.08693967144359735,0.07711314234375664,0.030851802206927154,0.48466962091521626,5.624370485567296,0.521663323767204,0.6838203684069109,0.8066298342541437,0.7345911949685534,0.7689269256089533,48,25.8,28.9,3.5,0.9589795856737625,0.9637480997168815,0.010466143279711116,22.60683364801073,25.61929316001973,3.1535372106098434,0.6729166666666666,0.28571504518872937
l7_species,0.001,0.7,3000,EST,MAR,0.1,3,0.0089047562685613,702769268,0.28475587967276084,0.5336252239847371,0.29727055929583,0.21015084767303638,0.5151118124119213,0.5202373070966627,0.48071417828914514,0.17070995883651646,0.00028480017264110203,0.016876023602765612,0.008557781497628592,0.08860858734901644,0.4511449867755748,0.4948778262146447,0.43891387521108505,0.13070438130269013,0.0007125544967958768,0.026693716429075153,0.01951107785769773,-1.7006519663432167,0.10481827216326386,0.17839509210551655,0.06826746946191278,0.24244219087327648,5.534145441718828,0.4835146546160155,0.6244214007326879,0.8838771593090211,0.8237924865831843,0.8527777777777777,53,22.46153846153846,26.46153846153846,5.846153846153846,0.9582322505869941,0.9614342273204849,0.008005321652626437,19.767308160421404,23.328105631665135,4.864643367818774,0.6560232220609579,0.32950456415607654
l7_species,0.001,0.7,3000,EST,MAR,0.1,4,0.0089047562685613,283871520,0.2515574659695956,0.501555047795948,0.27057410220801775,0.25890843358601456,0.5586168004979865,0.48969712161950835,0.5389259760743377,0.1840877213603714,0.0002288793921671929,0.015128760430623287,0.006739811200676054,0.09815582755322494,0.5636361337209782,0.5510464826934871,0.5633536010156294,0.15323413453793283,0.0004775086424883269,0.021851971135079026,0.01489824052828833,-2.8046106944359854,0.38450822908287113,0.1890506329628865,0.26714532508521377,0.30113433089348035,5.27381489416373,0.38079933283819706,0.5755003024245943,0.8760611205432938,0.8835616438356164,0.8797953964194373,38,20.285714285714285,21.0,1.2857142857142858,0.9590559592370341,0.957625653113981,0.009656882422421955,17.986528429947985,18.43029183193294,1.0951542154564657,0.6428571428571429,0.358863464740735
l7_species,0.001,0.7,3000,EST,MAR,0.1,5,0.0089047562685613,1990195816,0.22604148523601153,0.4754382033829544,0.23854577590385126,0.282311823175438,0.605136028148578,0.6068783897128754,0.5981983614548122,0.17735597609967912,0.00021022871862256106,0.014499266140827992,0.007060396534776378,0.04095715985109638,0.5623575873007445,0.5817920096160596,0.5604048710111734,0.15937487789210134,0.00048768352577597943,0.022083557815170532,0.016734470209523403,-4.398319420686834,0.16987002162645595,0.14787520420917288,0.11722712720852575,0.30647014667546035,4.904059990751952,0.3989124042148654,0.557099255431566,0.8571428571428571,0.8955223880597015,0.8759124087591241,53,25.6,23.9,4.7,0.9586382496580981,0.9529442896923896,0.016303506633202035,22.47217840916992,20.639910975936093,4.710649019346872,0.6339622641509434,0.35469507403145845
l7_species,0.001,0.7,3000,EST,MAR,0.1,6,0.0089047562685613,4229570195,0.25917798240827145,0.5090952586778543,0.2614202324510369,0.24162068478330379,0.5526717464299836,0.5933473273972759,0.5322331706081611,0.17885426172195926,0.00028606599519638305,0.016913485601625203,0.007808813680955205,0.0020516267871386606,0.4966364761264284,0.5366722902442983,0.4966170901981794,0.1600682082204312,0.0006692057681953246,0.02586901173596171,0.01911244651127629,-1.831655287089902,0.17901545317390638,0.13959157818817639,0.1442433241716985,0.30431094119565866,5.297086066265297,0.44119797297396907,0.5949280875729778,0.8722157092614302,0.8867699642431466,0.8794326241134752,48,23.0,22.1,4.1,0.9559352964790133,0.958317595346099,0.008606724434941893,20.006772206969202,19.4131168091339,3.660746649120121,0.6395833333333332,0.3385716399077888
l7_species,0.001,0.7,3000,EST,MAR,0.1,7,0.0089047562685613,3801058744,0.2713325631126655,0.5208959234939985,0.24699442491290458,0.2740577674772855,0.5727019148530278,0.34294077331881867,0.5396899569495922,0.18867689487641712,0.00036773978375632526,0.019176542539162924,0.008143199012622268,-0.19788106525244387,0.5428089995895136,0.5534032425816221,0.5300677499785954,0.18993494301054903,0.0009637353135832479,0.031044086612159294,0.025491119243340455,-4.0413046220385125,0.3347661849749703,0.19224278243184864,0.2292593307933047,0.38705166458096174,5.43845994985375,0.46009074421315815,0.6042858571918653,0.8766637089618456,0.9454545454545454,0.9097605893186003,48,21.0,17.083333333333332,4.416666666666667,0.9522315284930011,0.9616135261138873,0.013903858533889979,18.21761704714468,15.2135572951403,3.4241102741346108,0.5989583333333334,0.37574112166217427
l7_species,0.001,0.7,3000,EST,MAR,0.1,8,0.0089047562685613,2651145518,0.26202690914881377,0.5118856406941045,0.2654314791802526,0.19150667074644467,0.5597776245217523,0.6096876581754566,0.5568024655283222,0.1492544549691869,0.0002659095337045056,0.016306732772217298,0.007571099715402357,0.09589304716504199,0.48701052406166945,0.5692862113730152,0.4817627089672723,0.09076159348805483,0.0006456795692595464,0.02541022568297154,0.017578534822928718,-1.0896613489078928,0.060067447505729746,0.19498053940665197,0.0505089383619156,0.1598028841822929,5.1785027729780975,0.4277671339202332,0.5689914448285095,0.8760942760942761,0.8778677462887989,0.8769801145938659,48,23.77777777777778,24.333333333333332,5.777777777777778,0.9558244166475119,0.9557155183158046,0.01898249113124763,20.883380384334263,21.15369574911541,5.21756788662157,0.6145833333333334,0.3758353888307921
l7_species,0.001,0.7,3000,EST,MAR,0.1,9,0.0089047562685613,2239391469,0.19051306493702716,0.43647802342961917,0.20887777301995186,0.3924796183651741,0.6540269433144188,0.7348248551479505,0.633522380191638,0.1602155385410702,0.00018227775007273898,0.01350102774135136,0.006036025632047739,0.1797444060815907,0.6049301594236672,0.6388402665537035,0.604543005583867,0.1491391361590187,0.0003850110642577995,0.01962169881171861,0.013559696998540288,-2.848224631448507,0.22236313894351944,0.2979174682415445,0.16872829485045573,0.2808289766765963,4.596293014925428,0.34103544821069726,0.5264961074431799,0.8804159445407279,0.9023090586145648,0.8912280701754387,48,25.714285714285715,22.571428571428573,4.857142857142857,0.9543489475059809,0.957133924888142,0.012120071655475224,22.365233519288914,19.730912267991044,4.529200801929031,0.5922619047619049,0.4298444231169189
