Taxonomic Level,Learning Rate,Dropout Rate,Number of Epochs,Condition,Mechanisms of missingness,Mask Ratio,Iteration,Pseudo Count,Seed,MSE (CLR),RMSE (CLR),MAE (CLR),R2 (CLR),Pearson (CLR),Spearman (CLR),CCC (CLR),NRMSE (CLR),MSE (RA),RMSE (RA),MAE (RA),R2 (RA),Pearson (RA),Spearman (RA),CCC (RA),NRMSE (RA),MSE (RA non-zero),RMSE (RA non-zero),MAE (RA non-zero),R2 (RA non-zero),Pearson (RA non-zero),Spearman (RA non-zero),CCC (RA non-zero),NRMSE (RA non-zero),Aitchison distance (mean),Bray-Curtis (mean),Jensen-Shannon (mean),Zero precision,Zero recall,Zero F1,Rarefaction depth,Richness true,Richness imputed,Richness abs diff,Evenness true,Evenness imputed,Evenness abs diff,Shannon eff true,Shannon eff imputed,Shannon eff abs diff,Bray-Curtis rarefied,Jaccard index rarefied
l7_species,0.001,0.7,3000,EST,MNAR,0.1,0,0.0089047562685613,2570352525,0.21554735470840164,0.46427077735778466,0.2253596124602805,0.30337416758643543,0.6136509450800959,0.5689573103077843,0.603021836166347,0.1485230490041674,0.00021327391975744912,0.01460390084044154,0.007027225851587703,0.10624903303861111,0.5568512009616932,0.6101582418206564,0.5568320358904448,0.11310684725772358,0.0004642682996266658,0.021546886077265685,0.016693948950759072,-1.8647018351835398,0.13872016077291482,0.1872923071897352,0.11770069039179203,0.19557554660007034,4.814589394020573,0.3970382606147052,0.5461330536578831,0.8657604078164826,0.9073909171861086,0.8860869565217391,53,25.714285714285715,24.714285714285715,4.0,0.9576791214814608,0.9558144098128153,0.011489492365140765,22.609234077858588,21.463991870543783,3.767383012350525,0.5633423180592991,0.42778311109248746
l7_species,0.001,0.7,3000,EST,MNAR,0.1,1,0.0089047562685613,83528394,0.24035140372640731,0.49025646729687034,0.25152005185211457,0.2800254094431186,0.5780679514100375,0.42683937255953386,0.5557326109845064,0.17220259763757076,0.0002128472754582326,0.014589286324499653,0.00669571537926592,0.15027574720421966,0.5404083671596231,0.587592324518505,0.5383822816938696,0.1380721263601102,0.0004727597373472706,0.021743038825041697,0.014822720704154493,-2.5200015717032875,-0.0005082942836699331,0.1410606345506161,-0.00038122751517100003,0.25719771837110417,5.001713309920263,0.3783079189285246,0.5473228432368187,0.8893728222996515,0.8809318377911993,0.8851322063285653,47,23.214285714285715,25.0,3.5,0.9583406181543868,0.9570598785255299,0.01063699838244177,20.36291150982895,21.779459577720065,3.0238874235931754,0.60790273556231,0.36995212184846327
l7_species,0.001,0.7,3000,EST,MNAR,0.1,2,0.0089047562685613,691499410,0.17906958775438192,0.4231661467489831,0.2095640855894609,0.3975267436783968,0.6636628288303014,0.6281761712651124,0.649783600396626,0.16866282709774164,0.00015084274282102357,0.012281805356747173,0.00591767396858313,0.24619009424411598,0.6300583921730197,0.658365210290958,0.6299540534576458,0.15921616162590155,0.00030601336786797214,0.01749323777543689,0.013140413238600948,-3.3607250380674305,0.13572733116592328,0.20880742480261233,0.10146581466568289,0.30296473652926126,4.399096122966634,0.3343485792249469,0.5035488472986202,0.8739054290718039,0.9072727272727272,0.8902765388046388,52,27.0,25.214285714285715,4.214285714285714,0.9594788069093566,0.9576016271358884,0.010009977318807928,23.698472030797905,21.99356790710079,3.961047422440625,0.570054945054945,0.41510285053518137
l7_species,0.001,0.7,3000,EST,MNAR,0.1,3,0.0089047562685613,2260116611,0.19864501267016674,0.4456960990071225,0.20541543144523522,0.3283975247964862,0.6302322744605887,0.63887945367344,0.6178272246978911,0.16767680197687582,0.0001828964925558346,0.013523922972119982,0.006167932211406479,0.09379548231959844,0.5873145081654778,0.6398257515951703,0.5852110844118817,0.15126522615717478,0.00036443194296446825,0.019090100653597095,0.014002607057752546,-3.614346585962455,0.1273020195224293,0.18530459046401482,0.09498947304351443,0.2711938606649615,4.645149908736806,0.348488169944466,0.5223877579220785,0.8653516295025729,0.918943533697632,0.8913427561837455,53,27.0,24.785714285714285,2.642857142857143,0.9597535926901888,0.9606439350339995,0.00780272356277012,23.686498935430393,21.81686101003068,2.524485131415172,0.5768194070080862,0.40919626111576585
l7_species,0.001,0.7,3000,EST,MNAR,0.1,4,0.0089047562685613,786856735,0.22587822940896085,0.4752664825221329,0.23520300216341977,0.29722345820948104,0.593973888968934,0.6399611433237549,0.5694828542950349,0.15840814352333896,0.0002328293206562608,0.01525874571045277,0.006948764033527079,0.07427796172476775,0.532671769711523,0.5780111060344949,0.5326466811275861,0.12960498691854005,0.0004943308463201042,0.0222335522649914,0.01598468976358173,-1.818727107021071,0.14261014455918938,0.15046316965218906,0.1177229574742658,0.22500264558418237,4.8730636069812245,0.3926051678942799,0.5540421917454326,0.8720338983050847,0.901840490797546,0.886686772942697,53,25.357142857142858,23.785714285714285,4.142857142857143,0.9585873110173238,0.9571828532422995,0.011690179007875865,22.17816297373467,20.785443493238137,4.014831007602991,0.5876010781671159,0.39662892183602144
l7_species,0.001,0.7,3000,EST,MNAR,0.1,5,0.0089047562685613,4039110783,0.2545037312726491,0.5044836283494729,0.2685149245373057,0.2973077705309334,0.5757508690161556,0.6167551139375259,0.5330671450329745,0.16741393178923947,0.00023343014672911052,0.015278420950121465,0.007548365675816185,0.17652228393976888,0.5298149202716005,0.5503605245879407,0.5231479295046706,0.12980049741187066,0.0005410577256747585,0.023260647576427415,0.017192953261592966,-2.5599854329182117,0.13853038012812754,0.14998094824676836,0.08942346383295564,0.2426830321104391,5.232382223961241,0.42648266068361435,0.5811537285936763,0.8985890652557319,0.8484596169858452,0.8728051391862955,46,22.142857142857142,24.428571428571427,3.2857142857142856,0.9500327859119612,0.9571336748855751,0.012976129054721905,19.02410732917787,21.35579585057539,3.1860255422419956,0.6288819875776398,0.3532583387323564
l7_species,0.001,0.7,3000,EST,MNAR,0.1,6,0.0089047562685613,2786371537,0.2046256551012585,0.4523556732276699,0.21161943487014648,0.3822138005121788,0.6455693856792929,0.7152243005072767,0.6208873558191951,0.15357969801006352,0.00022689118069033252,0.015062907444790748,0.006407149334671541,0.1415452654135334,0.5872343923390546,0.626105369708262,0.5868236551822337,0.13149330387911934,0.0004943280456524875,0.02223348928199277,0.015422591249767923,-1.5704314823357626,0.30361415335266967,0.2732904558034068,0.2542276789878389,0.23248378984169568,4.687363123699511,0.36200393740894204,0.5368594072782139,0.8846801346801347,0.9091695501730104,0.8967576791808873,53,24.071428571428573,23.785714285714285,2.4285714285714284,0.9546147214376985,0.9579205836107144,0.007827414854943418,20.864952836643493,20.79864323068781,2.1424002914437983,0.5714285714285714,0.46130302359087344
l7_species,0.001,0.7,3000,EST,MNAR,0.1,7,0.0089047562685613,249611189,0.18527803361054626,0.43043934951459334,0.21313341693150786,0.3829748209703052,0.650596615200293,0.5958530954782749,0.6261725431012773,0.15121339976292794,0.00016919003939263534,0.013007307153774579,0.006074690146609964,0.21319348822557938,0.5986070888712525,0.6522548538706291,0.5984796556238496,0.12485769178837784,0.0003653294227347143,0.019113592617158982,0.01358019364894761,-2.3241819131337116,0.05474748680101936,0.25829290279844863,0.04540086397231567,0.22424551719769995,4.441605383086774,0.343219993283463,0.5090124863237484,0.8770851624231782,0.903254972875226,0.889977728285078,53,26.142857142857142,26.5,3.2142857142857144,0.9588346093105633,0.9588059199904231,0.008582972582221817,22.860356589425432,23.18303146627077,2.9169923045004245,0.5795148247978438,0.41986047960632916
l7_species,0.001,0.7,3000,EST,MNAR,0.1,8,0.0089047562685613,2630827510,0.19752696924415833,0.4444400626002997,0.22794210122081834,0.3061126708413836,0.6086876603524413,0.643135195868175,0.5666919621980451,0.17783016793275008,0.0001872134031182208,0.013682594897102699,0.006645587535609517,0.0227856444616632,0.563113233364773,0.596970668743982,0.5602867453912186,0.17396249303144837,0.00037651073201935614,0.01940388445696779,0.014834406271322735,-3.9829248049418613,0.10672166333086884,0.22737658354711826,0.07822762102479454,0.32483559191705524,4.645076778360859,0.3754756957619377,0.5396528885969545,0.8470790378006873,0.9146567717996289,0.87957181088314,53,27.428571428571427,25.071428571428573,3.357142857142857,0.959860437737194,0.9601231701924877,0.012285393152409127,24.05186997541164,22.0932911656006,3.093401595828358,0.5808625336927224,0.40858457453815117
l7_species,0.001,0.7,3000,EST,MNAR,0.1,9,0.0089047562685613,3468613422,0.1965779571420467,0.4433711279978058,0.21542134036118613,0.29178689228875854,0.6167003622157435,0.5570606743232456,0.6052767381552605,0.17901992437162612,0.00017317195565350965,0.013159481587566801,0.00655840407659856,0.03281067957191397,0.5918874161767408,0.6124517793265889,0.5857675370864308,0.1765553512104023,0.000373747625422261,0.019332553515308343,0.015186036210418589,-6.864160755369522,0.09265762482336237,0.13037858312694114,0.05791113302425863,0.3481959687552492,4.625060292846117,0.3705498303278187,0.5264359279720648,0.8454935622317596,0.9205607476635514,0.8814317673378076,53,28.5,24.785714285714285,4.0,0.9591453667900558,0.9584292092683263,0.010446799621868468,24.90090780505619,21.655846010538266,3.397794009886066,0.586253369272237,0.40806757559920964
