Taxonomic Level,Learning Rate,Dropout Rate,Number of Epochs,Condition,Mechanisms of missingness,Mask Ratio,Iteration,Pseudo Count,Seed,MSE (CLR),RMSE (CLR),MAE (CLR),R2 (CLR),Pearson (CLR),Spearman (CLR),CCC (CLR),NRMSE (CLR),MSE (RA),RMSE (RA),MAE (RA),R2 (RA),Pearson (RA),Spearman (RA),CCC (RA),NRMSE (RA),MSE (RA non-zero),RMSE (RA non-zero),MAE (RA non-zero),R2 (RA non-zero),Pearson (RA non-zero),Spearman (RA non-zero),CCC (RA non-zero),NRMSE (RA non-zero),Aitchison distance (mean),Bray-Curtis (mean),Jensen-Shannon (mean),Zero precision,Zero recall,Zero F1,Rarefaction depth,Richness true,Richness imputed,Richness abs diff,Evenness true,Evenness imputed,Evenness abs diff,Shannon eff true,Shannon eff imputed,Shannon eff abs diff,Bray-Curtis rarefied,Jaccard index rarefied
l5_family,0.001,0.3,3000.0,A,MAR,0.7,0,1.4153880994168601e-05,1190665328,1.347166410510074,1.1606749805652201,0.60976929161986,0.8431152682234222,0.9202917512087739,0.714058745718858,0.9198562293042155,0.09741311185641031,0.0001153076897288655,0.010738141819182008,0.0027753871720364695,0.9640534828170014,0.9824352374679909,0.7987049376210638,0.9823117285799655,0.02474903291599637,0.0003089396596494965,0.017576679426145783,0.007359050386345818,0.960258741627407,0.9806407218740671,0.8380505981255929,0.9804840881237438,0.04051524902607986,9.660181035992608,0.10268932536534937,0.13833140258594204,,0.0,,19037,27.435897435897434,38.46153846153846,11.435897435897436,0.5225579011435522,0.4635014051126608,0.05905649603089131,5.637442165941919,5.418673934882597,0.3909887492220851,0.1041211244499578,0.5860966878438123
l5_family,0.001,0.3,3000.0,A,MAR,0.4,0,1.4153880994168601e-05,1249253428,1.1722950604707743,1.082725754967884,0.5572977120628743,0.8629492696393529,0.9305624449835515,0.7274728343792084,0.930173025219774,0.10170786627836224,0.0001164160692035789,0.010789627852876989,0.0027364912312191508,0.9634794655541885,0.9823734568026152,0.8041605802649984,0.9821388141025195,0.02464155121698581,0.0003231547519957978,0.017976505555746862,0.007496376830051391,0.9593489773277742,0.9804772231246703,0.8879185365825534,0.980176966679295,0.04106000104831585,9.261190205294259,0.1012501755551086,0.13206555945895287,,0.0,,19037,26.615384615384617,38.80769230769231,12.192307692307692,0.5244989792254776,0.46496451836722935,0.05953446085824824,5.578894818913989,5.470495503267026,0.2975333304441378,0.10223815161567959,0.5887286052633047
l5_family,0.001,0.3,3000.0,A,MAR,0.8,0,1.4153880994168601e-05,1487648340,1.4460892041521571,1.202534491876286,0.6434195914886591,0.8319301818383317,0.9139786316227241,0.6840069031844803,0.9135263505418088,0.1009262962757159,0.00016525087674512857,0.012854994233570413,0.003128027081640393,0.9491137934661542,0.9743334086564716,0.7895623633022908,0.974272568341584,0.028445727548849026,0.0004362482252675467,0.020886556089205963,0.008187496255715809,0.9439488953636328,0.9717085316935842,0.8297635613976645,0.971638317004757,0.04622350220528352,10.016940107291335,0.11573700202069455,0.15147619291471986,0.9594907407407407,0.5152268489745183,0.670440760210271,18900,27.914285714285715,35.0,8.057142857142857,0.5182151534614887,0.491062562375455,0.031227837421689157,5.612462797080214,5.683281507123386,0.4783426848234033,0.11631443688586544,0.6619996465736648
l5_family,0.001,0.3,3000.0,A,MAR,0.1,0,1.4153880994168601e-05,2113233589,1.277621275427976,1.1303191033632831,0.5726554656075583,0.8466760401812032,0.9235535244660306,0.7119864364765373,0.9229898828415976,0.10696624730959382,0.00011973819077906236,0.010942494723739296,0.0026848490900611916,0.9635684985061832,0.981900266005342,0.7979668551737041,0.9818851901787853,0.026010821829715387,0.00034513665816425607,0.01857785397090461,0.00763201691346545,0.959320939601552,0.9798186841487243,0.8495971969783075,0.9797961953842692,0.04416594273272211,9.698463758723294,0.09933941633226408,0.1315352449301692,,0.0,,19037,25.5,37.0,11.5,0.516506392584418,0.46801906652932757,0.048487326055090374,5.337259860526047,5.416793345037864,0.3412988450193155,0.1021869692353487,0.5695812235446381
l5_family,0.001,0.3,3000.0,A,MAR,0.3,0,1.4153880994168601e-05,2620832593,1.4989863633550025,1.2243309860307394,0.6186730943689724,0.8254418517779116,0.911207305650516,0.6988307025058806,0.9106335478022576,0.10371266431720771,0.00011651655211828813,0.010794283307301516,0.002882621110073376,0.9635507118542985,0.9826668259352576,0.7844096884551492,0.9822840107616451,0.025823756123631986,0.0002995895308287811,0.017308654795470998,0.007351459621766006,0.9599592146083936,0.9810640916103539,0.8134755311007033,0.9805971028650357,0.04141364884770174,9.98797360317051,0.10665698107271489,0.14092516549887035,,0.0,,19037,28.666666666666668,37.888888888888886,10.666666666666666,0.5186675373224643,0.4604231321677581,0.058244405154706164,5.687283123650695,5.324128377873289,0.48490638753679666,0.10648561573076991,0.5919709443023305
l5_family,0.001,0.3,3000.0,A,MAR,0.6,0,1.4153880994168601e-05,3480473590,1.3909424041205043,1.1793822129066152,0.6041234562268664,0.8381016801654417,0.9185855562247786,0.7111883531105435,0.917327089330526,0.0989831721636539,0.00013073084751118527,0.011433759115495887,0.002894926920632189,0.9599584407986608,0.9801981806201566,0.7973578265360741,0.9801587645589185,0.0253007967758715,0.00034748623584236163,0.018640982695189694,0.00763119588954164,0.9558685754166881,0.9782092515480977,0.8390790244702648,0.9781584998370527,0.041253881254509385,9.809642800295347,0.10711229606339097,0.14243787400375826,,0.0,,18900,27.7027027027027,38.24324324324324,10.864864864864865,0.5176896594109539,0.4617352255644698,0.05595443384648416,5.574619456254789,5.3671256820571545,0.3689436544741397,0.10875160875160875,0.5793012719721464
l5_family,0.001,0.3,3000.0,A,MAR,0.5,0,1.4153880994168601e-05,3592696628,1.4505188932221587,1.2043748972899422,0.6540482887091069,0.8318764878531432,0.9133253079929227,0.7235722350963991,0.9125575424995637,0.10108075779287062,9.611238729629714e-05,0.009803692533749573,0.002608247579431832,0.9701069178598581,0.9849961684259725,0.7684435938065122,0.9849861935160602,0.022595334770365218,0.0002568755056945868,0.01602733620083471,0.006851533361711257,0.9669791823088627,0.9834272973395703,0.8550464892646557,0.9834167863642383,0.03694392448414318,9.960365711173395,0.09650516043897779,0.13602703474408145,,0.0,,19037,27.580645161290324,41.935483870967744,14.741935483870968,0.5236305218013945,0.46310275345366525,0.060527768347729265,5.662254217774608,5.632838972557869,0.43602498614863616,0.09848224255990454,0.5708481604202249
l5_family,0.001,0.3,3000.0,A,MAR,0.2,0,1.4153880994168601e-05,770141263,1.6533501830692279,1.2858266535848555,0.6726428758598766,0.8067961200198216,0.9020233759340959,0.6813239150630931,0.9015684396681166,0.10838781631028886,0.00013146665398081054,0.011465890893463558,0.0029392389868599282,0.9590364702966638,0.9798570956902913,0.7633418444182863,0.9797781783532181,0.026854578153255176,0.00034989496487876137,0.018705479541534384,0.007736728560588362,0.9547650938362549,0.9778096822185844,0.7947963533232809,0.9777079874206795,0.04381600841236421,10.509728991498273,0.10875184251381732,0.15094897796854703,,0.0,,19037,27.733333333333334,38.13333333333333,11.6,0.5222088365413559,0.4644057465206753,0.05780309002068062,5.6420058324001,5.417045730178222,0.42767683392640465,0.10757997583652887,0.5710160552082216
l5_family,0.001,0.3,3000.0,A,MAR,0.2,1,1.4153880994168601e-05,1151416505,1.1392382682593498,1.0673510520252227,0.5073010314627527,0.8690698377081665,0.9333619044326521,0.7195027842195602,0.9323793743325871,0.10214266849624656,0.00010147172160544875,0.010073317308883343,0.0024806060923688645,0.9685688371632657,0.9845193949682592,0.8184240553229738,0.9844587908961673,0.023592993291795587,0.0002762243220666052,0.016619997655433205,0.006688557926685597,0.9651788812641638,0.982886184960945,0.8630981217842519,0.9828082840620622,0.038930942960695665,9.122599227512643,0.09178242541764801,0.12645782249268886,,0.0,,19037,27.09090909090909,38.0,10.909090909090908,0.5213501994586175,0.4617169547596358,0.05963324469898165,5.58519210677911,5.353480186603338,0.2867594209334637,0.09182119031359982,0.6272003716536201
l5_family,0.001,0.3,3000.0,A,MAR,0.7,1,1.4153880994168601e-05,1440381126,1.3264926150874496,1.1517346113959803,0.5939805676584742,0.8449993719273543,0.9219583378453049,0.7434027662535605,0.921631577286032,0.10484564688606597,0.00013736351916777796,0.011720218392494994,0.002914838460793516,0.9578730963803385,0.9788220125356267,0.7966411455918115,0.9788020607006155,0.02593467823853892,0.000371552033499536,0.01927568503321052,0.0077721440640098165,0.9534390692934999,0.9765890027333023,0.8813369954722372,0.9765673083845742,0.042658488759011334,9.817130891329773,0.10784902304936007,0.14319716739044672,,0.0,,19037,27.186046511627907,39.04651162790697,11.906976744186046,0.5172767987195698,0.4718934697546197,0.04608337589726334,5.510668982316849,5.6222450180270265,0.2600841188486649,0.10803197201044235,0.5900633235912628
