Mechanisms of missingness,Taxonomic Level,Learning Rate,Dropout Rate,Number of Epochs,Condition,Mask Ratio,MSE (CLR)_mean,MSE (CLR)_std,MSE (CLR)_median,RMSE (CLR)_mean,RMSE (CLR)_std,RMSE (CLR)_median,MAE (CLR)_mean,MAE (CLR)_std,MAE (CLR)_median,R2 (CLR)_mean,R2 (CLR)_std,R2 (CLR)_median,Pearson (CLR)_mean,Pearson (CLR)_std,Pearson (CLR)_median,Spearman (CLR)_mean,Spearman (CLR)_std,Spearman (CLR)_median,CCC (CLR)_mean,CCC (CLR)_std,CCC (CLR)_median,NRMSE (CLR)_mean,NRMSE (CLR)_std,NRMSE (CLR)_median,MSE (RA)_mean,MSE (RA)_std,MSE (RA)_median,RMSE (RA)_mean,RMSE (RA)_std,RMSE (RA)_median,MAE (RA)_mean,MAE (RA)_std,MAE (RA)_median,R2 (RA)_mean,R2 (RA)_std,R2 (RA)_median,Pearson (RA)_mean,Pearson (RA)_std,Pearson (RA)_median,Spearman (RA)_mean,Spearman (RA)_std,Spearman (RA)_median,CCC (RA)_mean,CCC (RA)_std,CCC (RA)_median,NRMSE (RA)_mean,NRMSE (RA)_std,NRMSE (RA)_median,MSE (RA non-zero)_mean,MSE (RA non-zero)_std,MSE (RA non-zero)_median,RMSE (RA non-zero)_mean,RMSE (RA non-zero)_std,RMSE (RA non-zero)_median,MAE (RA non-zero)_mean,MAE (RA non-zero)_std,MAE (RA non-zero)_median,R2 (RA non-zero)_mean,R2 (RA non-zero)_std,R2 (RA non-zero)_median,Pearson (RA non-zero)_mean,Pearson (RA non-zero)_std,Pearson (RA non-zero)_median,Spearman (RA non-zero)_mean,Spearman (RA non-zero)_std,Spearman (RA non-zero)_median,CCC (RA non-zero)_mean,CCC (RA non-zero)_std,CCC (RA non-zero)_median,NRMSE (RA non-zero)_mean,NRMSE (RA non-zero)_std,NRMSE (RA non-zero)_median,Aitchison distance (mean)_mean,Aitchison distance (mean)_std,Aitchison distance (mean)_median,Bray-Curtis (mean)_mean,Bray-Curtis (mean)_std,Bray-Curtis (mean)_median,Jensen-Shannon (mean)_mean,Jensen-Shannon (mean)_std,Jensen-Shannon (mean)_median,Zero precision_mean,Zero precision_std,Zero precision_median,Zero recall_mean,Zero recall_std,Zero recall_median,Zero F1_mean,Zero F1_std,Zero F1_median,Richness true_mean,Richness true_std,Richness true_median,Richness imputed_mean,Richness imputed_std,Richness imputed_median,Richness abs diff_mean,Richness abs diff_std,Richness abs diff_median,Evenness true_mean,Evenness true_std,Evenness true_median,Evenness imputed_mean,Evenness imputed_std,Evenness imputed_median,Evenness abs diff_mean,Evenness abs diff_std,Evenness abs diff_median,Shannon eff true_mean,Shannon eff true_std,Shannon eff true_median,Shannon eff imputed_mean,Shannon eff imputed_std,Shannon eff imputed_median,Shannon eff abs diff_mean,Shannon eff abs diff_std,Shannon eff abs diff_median,Bray-Curtis rarefied_mean,Bray-Curtis rarefied_std,Bray-Curtis rarefied_median,Jaccard index rarefied_mean,Jaccard index rarefied_std,Jaccard index rarefied_median
MAR,l7_species,0.001,0.7,3000,EST,0.1,0.25386348168845563,0.02815843563317222,0.2606024457785425,0.5030996647202973,0.02894840327164639,0.5104904496859795,0.2700926583100095,0.05944928144895942,0.2542073286819707,0.2505707845159546,0.08288594285417052,0.2635848896259608,0.5493207583508518,0.09600011724653897,0.56623976968739,0.5223339505182947,0.14556394449637663,0.5561851266299966,0.521308638149922,0.11780797065005684,0.544346248161983,0.17664818521567702,0.023699834492028483,0.17403296746809777,0.00026653062086435,5.440580368294143e-05,0.0002753548531728,0.01624888892402717,0.0016680759371942818,0.0165913781874914,0.007643943438937239,0.0009100175078192156,0.0076899566981787505,0.005451247473840718,0.12740674536668967,0.03451986343992645,0.5085593681702052,0.08188973536112547,0.5328292822727334,0.5374307164984001,0.08679307436609834,0.5535530212652615,0.5044147886688848,0.08321723160634702,0.527915636569453,0.15464802772468408,0.040595231661678076,0.15118663534847576,0.00063056620337087,0.00018721954156753425,0.0006574426687274,0.02485902449630287,0.003740930434342258,0.0256396187094666,0.01846601706809042,0.003538053896671307,0.01834549066710245,-3.477971132578361,2.6099887909956454,-2.826417662942246,0.19869537511792262,0.10497126687948066,0.1822332014383751,0.17703973560255987,0.05617181857285742,0.1837228625342015,0.14105436543041963,0.07689143430052718,0.14353296341273442,0.29800168842986746,0.08751002996455234,0.29098165378503826,5.2333193672862635,0.3017207203413843,5.285450480214514,0.43188280429995735,0.051415989191785666,0.43448255344710107,0.5899121213716516,0.0424811258488476,0.5825942258437393,0.8699325556910716,0.023859179706139107,0.876378992528061,0.8764538378035068,0.05849536085567234,0.8911461761514241,0.8726930938801454,0.039579884837381896,0.8796140102664562,23.226431623931624,1.9624863106216173,22.73076923076923,22.76621336996337,3.344676343393104,22.33571428571429,4.367095543345544,1.291026492921435,4.56875,0.9569394091426136,0.0025596893102141347,0.9570837735330036,0.9590813777291591,0.0033577336119391334,0.9590420343253143,0.01194581838624531,0.0034950018707494406,0.01080709207940435,20.36394846933341,1.6829861783238813,19.89537998801937,20.019170532367546,2.9182877286131825,19.57201453856247,3.9058255786118763,1.1843188597787977,4.201323180540737,0.627901078383095,0.02572994180545229,0.626876965408805,0.35824535166603116,0.03735080371360762,0.35811823726138237
MAR,l7_species,0.001,0.7,3000,EST,0.2,0.2696819784046415,0.07115961268608843,0.24055871435171378,0.51576134331471,0.06387674891580403,0.4904676092802855,0.28902765491831395,0.08339145182959166,0.259221546732866,0.23376291357335893,0.19323066083027682,0.31141129552619273,0.5225761445873026,0.1591552318350165,0.5880301716726455,0.4951287660684945,0.20436192351590687,0.5707038799923513,0.48302954626940514,0.16169069796871274,0.5555079714484223,0.163065961095078,0.019771025577815817,0.15924189160468843,0.00028657792240264,4.7952688967814824e-05,0.0002769919186838,0.01687779458855544,0.001381614284983265,0.01664251003172965,0.008019830157186231,0.0017553523778229317,0.007395369656692,0.009932795631716283,0.13202946611737496,0.04101826085501755,0.4821616787241629,0.11431886849200831,0.5295844927993185,0.512795559383825,0.14251610661039898,0.5705857815553423,0.47733538706027456,0.11770879209310467,0.5253970581142342,0.12408943373304618,0.019661899619990895,0.13212059727938846,0.00070284812986209,0.00016146748989204592,0.0006922215378314,0.02636037760059432,0.002977437865050963,0.0263024838281794,0.01926006785505726,0.003366923377644682,0.0184250972542459,-2.467316438500685,0.8282055084829745,-2.4348254890702075,0.1851240781955958,0.09642099386365377,0.2126807545466734,0.15193180324947403,0.07136614985503008,0.15545723132951736,0.13716122224932123,0.07584373586001811,0.15766658180912355,0.22882704513077248,0.04155388259035309,0.24318437988287975,5.367987900220482,0.6867868867994632,5.1087995259116274,0.4531204038810241,0.09917740934699518,0.41783838560309866,0.6016254594210075,0.07217668852868983,0.5748341718563733,0.8769461422903401,0.0290676006463146,0.8906455394242918,0.8502577132780038,0.08817630412226775,0.8969565220474764,0.862216583414247,0.059812788933217356,0.891337058049614,22.912841354723707,0.8686415273203182,22.99142857142857,23.917546600458365,2.767972088542747,22.952922077922075,5.020575630252101,1.7469361564460497,4.613095238095238,0.955916081677163,0.0013383406701724867,0.9560183030950811,0.9594943454317916,0.002739820640804027,0.9589737892502552,0.012111242609546699,0.0020420367809421253,0.012485172923366199,20.03802894940333,0.7546999634519098,20.050386396328555,21.102477960273795,2.5206017205538065,20.198863734549292,4.594594397935778,1.6110369782660376,3.9948711277505184,0.6322091682947495,0.05907120382382461,0.6152626811594203,0.3503154090419883,0.062188066651766995,0.38145108504097747
MAR,l7_species,0.001,0.7,3000,EST,0.3,0.23094894056480575,0.016487484143077467,0.2309241883796675,0.48029448088380444,0.017196646874787846,0.48054490375999565,0.2518844606771731,0.03531836835824835,0.2374437955068202,0.32453957490162527,0.04276076763996537,0.32323698830336295,0.5991625059769987,0.036518436239187546,0.6069025398600993,0.5956254467596998,0.06319567478751965,0.6295136142296947,0.5548278894938539,0.05307101453552126,0.5676133294907542,0.1556031733063568,0.014731516135115589,0.15380889264340508,0.00026177553442058,3.745371599797004e-05,0.00026004135836940005,0.016141313433610572,0.001170723925410738,0.01612575105741525,0.00721200663661215,0.0005768406277184419,0.0070637292208252,0.03406955704127819,0.11410815419498925,0.0136599237810456,0.5452293076442448,0.0323662808619909,0.5481106537281006,0.5810311012660349,0.03541882483266255,0.5900898458284625,0.5423246526110594,0.03225393022371536,0.543681394118495,0.1252153858184719,0.029075873655286116,0.1272365218488419,0.00062725958630199,0.00011891553338529484,0.00061171226800385,0.02494293382655249,0.0023827244971231184,0.02473274254681405,0.01826582845143184,0.002486374196422792,0.01755262519127715,-2.5901889136312155,0.7045649742313804,-2.6559484531134423,0.20647483493934438,0.06287493967372611,0.2101081943386088,0.16924206934018496,0.051508494196424046,0.18377571888324096,0.15881020092907158,0.04997036187977043,0.16267947378490016,0.2304363751811004,0.061551301618934226,0.23148592156167253,4.993763632289761,0.17003722750191488,5.017879675364717,0.40747837496858985,0.03259149546609163,0.3991007009766266,0.5648553443312178,0.02125504009159515,0.5619273552301403,0.881605556317919,0.0115866743556191,0.8817447619047619,0.9004583454454715,0.027665662462401746,0.9055944696822295,0.8907035152327468,0.014611551587122918,0.8932206069430044,23.643132840478874,0.7979133144240793,23.562345373577436,22.540245353135752,2.1151115655247787,22.40239867659222,4.5367867161120765,0.705132145956381,4.4051282051282055,0.9574306058998248,0.0012955741259885877,0.9577242959497868,0.957844460945059,0.00237722314571518,0.9575922321514094,0.01171340308797985,0.0015611304593000624,0.01202337573092215,20.7209192687947,0.68536584925825,20.6403669528409,19.797791580328248,1.8237936211495094,19.779690234598934,4.084828734813433,0.6564445285155135,3.96581963913339,0.5979330425855454,0.014801953862516735,0.5919715363568072,0.38811702643666673,0.016714661226858416,0.39030352314138106
MAR,l7_species,0.001,0.7,3000,EST,0.4,0.22983501265748707,0.012682304157708081,0.23127573288556855,0.47924505383878235,0.013299583475086441,0.480908410958884,0.24411001675590532,0.016613179990262312,0.2412539010704225,0.33116555343507714,0.03328057755986821,0.32778360910499865,0.6054059962313156,0.024580091365524217,0.6108689977287791,0.5901175252350199,0.0781658614806349,0.6120766519153928,0.5592796963199973,0.03318289031685525,0.5678450738432066,0.15225783952658442,0.010199276190209241,0.15492837212136004,0.00025673036130442,1.854854564735433e-05,0.00026018699039804995,0.01601304743302486,0.0005894189343590366,0.01613031270479595,0.00708405365897159,0.00032598649789502377,0.00711236108063505,0.0740764851544998,0.05376736898280856,0.07683911198610685,0.5558280189815819,0.02677731135654847,0.562002227234683,0.5874263699313383,0.02154461639059845,0.588781979862401,0.5543634271510317,0.026428149945834385,0.5606482463541171,0.11893411820554407,0.02171114229181055,0.125772415880755,0.00059903428757457,5.679656157383306e-05,0.00060761133113825,0.02444957439614198,0.0011797360449383818,0.024649713960076453,0.017917784789770137,0.001123359291543888,0.01805770243268915,-2.086919555978521,0.39954121100443357,-2.1882028947087164,0.24517525126506792,0.07731645949680246,0.26766117496073505,0.21742396818353343,0.041898196903528556,0.21775002895681161,0.19514142780579746,0.06436178256301583,0.21048490011471185,0.21282904508225936,0.04409644017451447,0.2280363977384667,5.0014008830918995,0.14218988420040563,5.019214035962957,0.40024903173189685,0.018418237131068972,0.40184840105588127,0.5627628805232895,0.01249668605635436,0.5641150306085532,0.8831182745160305,0.011256589135517588,0.8816201059963615,0.9074750305455543,0.020762807983004377,0.912587595549267,0.8949606862508823,0.010194866086969876,0.897848747315243,23.5678214291223,0.7845222387772838,23.621269841269843,22.478265376058104,1.4476402270865885,21.800158730158728,4.018876034129384,0.569650277471726,4.081808943089431,0.9567092363816292,0.0016989241836890673,0.9564849769754438,0.9570998515232725,0.002364566036715403,0.9572604894712116,0.012044580392922392,0.001835802899862342,0.0124232839087964,20.616782409281214,0.6903339537917309,20.6729508309195,19.668275413886498,1.298993095631979,19.011595156540746,3.6505742747600847,0.49780894205038917,3.735810723230283,0.589011731140229,0.01354306010053595,0.5872785495427004,0.3978488352028619,0.015436878913686579,0.40050902556119683
MAR,l7_species,0.001,0.7,3000,EST,0.5,0.24831995460118889,0.0359197243157387,0.2467531638677682,0.49726057869088686,0.034186928645531585,0.4967336806199113,0.2722250177107041,0.07070221066533047,0.25691514052914516,0.28111226496224617,0.09857930017417946,0.2982059944697426,0.5517996963821485,0.128216002450596,0.5848166860089907,0.5403374907266169,0.1563583312503354,0.5992105349679008,0.49960319183658275,0.16278720662778398,0.5392803957248798,0.1545457795123569,0.012286045339504247,0.15129094440762314,0.00026922039965407,3.924991671763832e-05,0.0002567966307056,0.01637035256334531,0.0011699746463976026,0.01602487519803235,0.00779325854226332,0.0016206950667377116,0.00752998670141905,0.02821734332803492,0.1365827100997642,0.09363186897050965,0.4988211772753612,0.1333633460230017,0.533003973960237,0.5302690085491277,0.1402128790485114,0.5795138637753268,0.4951089383888254,0.13920618930288903,0.5295140132428161,0.11484879394320553,0.021948965589285694,0.11973465737993774,0.0006452649640697,0.000133307156532691,0.0006003344126371,0.02528576981787915,0.002559255270793911,0.0245017223155067,0.01897180242024344,0.0026933248709614787,0.018724594219326,-2.4554552172023345,0.8342236494562255,-2.14529612883673,0.18248134451984838,0.09893600983766175,0.21267278912793863,0.18066664299080606,0.04575827852090974,0.1955993398030239,0.14201472781221322,0.07540633620817912,0.15691625622435346,0.20607898763347307,0.04607103469968306,0.21220022816150147,5.188704926424062,0.38162333727362086,5.164623247636003,0.4403191076378813,0.09156927127067988,0.42544424863017993,0.5903953431989615,0.06298612662738447,0.5760508490716252,0.8742549351880576,0.026137735558610903,0.882038523827322,0.8675769902813872,0.10764187395564113,0.9001903166003844,0.8685073000385586,0.0722474047825136,0.8928819583103801,23.47017830333486,1.004616721461587,23.61265120967742,23.92808744737656,3.853888991521842,23.14258064516129,4.98097597839064,2.3386255414203183,4.3510101010101,0.9565663179906722,0.0015241427580168767,0.9571961922922114,0.9588274477984589,0.0041291319419468585,0.9578542339631866,0.01268407427201193,0.00167293590422465,0.012998964226586751,20.507689820263764,0.8895004902669648,20.55255905449262,21.038731551638314,3.593080223521299,20.24387050430419,4.499177210155348,2.2462836549503438,3.9798073282809256,0.6178160826902295,0.05892486546051613,0.6077314814814814,0.3724992875700726,0.06724248428990529,0.3856485772888698
MAR,l7_species,0.001,0.7,3000,EST,0.6,0.2484970187339885,0.035868280189928235,0.24747793188187295,0.49740012425387226,0.034803178753622876,0.4974494327766983,0.2582827170441323,0.03278273077273038,0.24921709556346044,0.27329930586712936,0.0941933401353308,0.2923537281740016,0.5677391437528106,0.06944731007966046,0.5800460153907113,0.5497552301730484,0.11188117585654164,0.58408724582571,0.5310128708157247,0.0749817420608556,0.545782609568933,0.15547145156079945,0.020060793834923967,0.1484419253465341,0.00025649391273506,2.8589830939709767e-05,0.00025564423727420004,0.01599256578971788,0.0009016972863995726,0.015988665044863848,0.007490809693335871,0.0007019527603096591,0.0075012431508602,0.06762378079987633,0.07860461121286698,0.06417683607076335,0.5250201185584166,0.05799061835738838,0.5291019709294262,0.5531456951267246,0.05290385449233354,0.5594178776042367,0.5233427761438938,0.05876634551354413,0.5270942413065801,0.11274058471027024,0.0289005111975456,0.106562856005764,0.00059140053937214,8.130758416384654e-05,0.0005904663782401499,0.02426461668523394,0.0017090986873697699,0.024298617621952248,0.01823545925049001,0.0016841611657392173,0.01827264858547275,-2.0413041210363625,0.33782593252521786,-1.9468654623826347,0.17051997294141924,0.11407942373146908,0.1738086873375131,0.18497600184183055,0.08964367304782268,0.21544257508855025,0.13771045048482383,0.09435304270705744,0.13962398484537955,0.19915625308141108,0.05861367222946859,0.18665046246658662,5.183291858401008,0.3587078040008249,5.185140756309151,0.4232307476734795,0.03966033095749669,0.42382023802360347,0.579944622396587,0.030716185855417483,0.5779943030249787,0.8763875860674355,0.008797662486219408,0.8748668108585399,0.8925990428753838,0.025056143399940733,0.8962931141043229,0.8842599624081758,0.013858493850581296,0.8860304261670053,23.946339552985236,0.5454715034600301,23.842745317305003,23.501509080454845,1.4311067133323958,23.781789638932494,4.359771740548856,0.5875805009782143,4.401360544217686,0.9571670118831778,0.0008938189831069215,0.9571954874555266,0.9575048420006291,0.0005732545620082378,0.9575665135025941,0.01214041791383262,0.0015531859124384966,0.012529183212149849,20.95231852474538,0.4851441949135718,20.870490161995775,20.55612645356546,1.2206962430748511,20.778922303147365,3.9667606575496377,0.562594019866338,4.0545935448802695,0.605411032261905,0.02708340087811446,0.6050923108135524,0.3822001977139532,0.029801022412387905,0.3832390799829323
MAR,l7_species,0.001,0.7,3000,EST,0.7,0.2546937184131814,0.014726655123638552,0.2532266253607875,0.5044862345825976,0.014428272009176034,0.5032156208668708,0.2712212109848236,0.020022915242710347,0.26345455737103507,0.24447711560044136,0.0418776854618917,0.2496168853997182,0.5445918051422741,0.034975569947888606,0.551435879268048,0.5401697404630303,0.09242680060685106,0.5765646879844899,0.506432559796046,0.043586795920071135,0.5140145650347919,0.1529171163301552,0.010180215671589764,0.14848780443220286,0.0002585270071433,2.488133907696086e-05,0.00025405060256665003,0.0160624673953738,0.0007631428553439229,0.0159388462590989,0.00792143269737419,0.0005208397828684909,0.00785312778969895,0.05508901795831913,0.08246832525499004,0.0567693323766341,0.4979751526504887,0.028143246482012798,0.49969672248724195,0.5311579302192818,0.03160640953845375,0.5320036706165943,0.49621232266693205,0.02727795686712492,0.4962660485939988,0.10225650869045162,0.019546007537801818,0.0928455088463997,0.00059138605653587,6.280989640500006e-05,0.0005796081482052501,0.02428798488493637,0.0012822925498303843,0.02407493837185105,0.01880351087573337,0.001810309436679461,0.01894712978093505,-1.8848544524492383,0.20995484866003553,-1.886121671285598,0.11256273284878567,0.022277046815809224,0.11033351904601629,0.17986092529402145,0.021195381232625595,0.17461139436517087,0.08810538335632007,0.018568498081190772,0.0870890098432024,0.17683923089340411,0.03935320267165011,0.16001757504024405,5.258719977215895,0.16536294156518397,5.241090087232773,0.44756094740164515,0.029427447732069498,0.4437017201179948,0.5948369941086118,0.02278754887371812,0.5921843067700946,0.8681193471721264,0.01453958667606658,0.8666827595698674,0.8819067164025108,0.013348354786464374,0.8797816470059452,0.8747992542521248,0.006418996078451862,0.8771472923355133,24.07744243725074,0.31800691714201457,24.017481203007517,24.183288604370073,1.1192276172543059,24.074561403508774,5.0577092844399285,0.3313090547745309,5.012483429076447,0.9581219827909582,0.0012022774027687718,0.9580198057595873,0.9560006032206111,0.0015464344319145965,0.9566464283966523,0.011722985458236749,0.0017859778824078712,0.0113249181318795,21.10504076318812,0.28148122761436345,21.132299213097475,21.033876393989196,0.9858516073888733,20.95356388579127,4.47464338259536,0.28747390907552556,4.428374052657176,0.6155864298745636,0.01282203042401957,0.6169887709113131,0.3684957818723668,0.017201136373054687,0.37187608522341353
MAR,l7_species,0.001,0.7,3000,EST,0.8,0.25635083353541227,0.028957430110831798,0.25410793275884735,0.505626645584748,0.027739438633426917,0.5040909028750014,0.3036169067248907,0.06162187844708416,0.2774101510834235,0.2215073636112448,0.0945480197656676,0.2416535048104439,0.4921173741425241,0.14768657931345647,0.5334559389199023,0.4511538837634911,0.15063266029091907,0.470387120584303,0.44043086001703635,0.15114905926959504,0.4874206593786984,0.15933653880342388,0.01700041441113963,0.15436436419304078,0.00025372821036169,3.7243489808793774e-05,0.00023862915674695002,0.01589165923210247,0.00114667500600857,0.0154476097684664,0.00824116126603423,0.0014445921362533354,0.0078244889270559,0.00056002147519561,0.1746490600319764,0.07784824789862925,0.45420520993939795,0.13429074003105607,0.49352172671671124,0.4796828473237129,0.1376515634955003,0.5206774159543184,0.4505669659591254,0.13535515123052036,0.4891682714291189,0.11528190826773015,0.033561394699065446,0.10872312786974925,0.00055844104518654,9.832786175469637e-05,0.0005214296755733,0.023550457496435077,0.00205939497458107,0.02283473023782875,0.01812504876793452,0.0029024976780479576,0.0170483568538503,-2.4801584465821973,0.9382476670709752,-2.1679139845096964,0.10503354121808554,0.0422742502550047,0.0971731007487579,0.1551179658219886,0.06396063413083986,0.1333527016588178,0.07709853168921577,0.03547679978641001,0.0692347042574641,0.20025966924194033,0.06779441531795735,0.18667708328794796,5.286472792013012,0.3022977806154213,5.247789626214658,0.4656256115309364,0.0816194556983137,0.4420836243786608,0.6150134295880315,0.06235442704392015,0.5959333361953398,0.8525258471668542,0.040305879387183156,0.8698849274065776,0.8428510136629306,0.08996074653730707,0.8626661108423921,0.8464562814855151,0.06452292780088417,0.8689403453891758,24.672990820731812,0.7961987990260183,24.69859514687101,25.64033366305814,3.19185100824309,25.96206896551724,4.781462618221715,1.316064098059758,4.167487684729064,0.9574290379467205,0.002176263219665536,0.957574542081953,0.9584300971278094,0.0033921126512659696,0.9582826970192354,0.01164589220979631,0.0011908512720422216,0.01228701894083635,21.559455485671634,0.7435029383245333,21.583807070524035,22.449809221206813,2.928211810560202,22.68538181943213,4.317099407705953,1.240704788942521,3.741269864960428,0.6412717994970014,0.05824707451271392,0.6200715679895901,0.3406733281550066,0.06643289341433208,0.3603017832110834
MAR,l7_species,0.001,0.7,3000,EST,0.9,0.3056617886875847,0.04914529955847081,0.31310683117385674,0.5512900419047704,0.04398330976658733,0.5593543152162332,0.391564840604003,0.09577979322024131,0.40649237354168244,0.07328820164378676,0.15394761451471398,0.0662661724394228,0.26699941510188985,0.25280869301713105,0.2375118670575211,0.25016460127843365,0.24271479041776947,0.2121811899510731,0.22660297711757904,0.23497220094389204,0.17468532598714848,0.18984076204661846,0.01858454737226929,0.18824253864287474,0.0002938073656302,4.929491834557057e-05,0.0002877557107591,0.01708590537020614,0.0014449926222840817,0.01695065201933085,0.01032373546516789,0.0024098018649386698,0.01031034894451135,-0.16246346065153958,0.22618017761763037,-0.11224630798900695,0.24817931409976338,0.2354234483574921,0.24182923455837066,0.2637678196686369,0.25093096477921856,0.25211111299608685,0.24486311171132913,0.2348274745089074,0.23251022497853824,0.15603686966290603,0.02027851940791141,0.15026793622204834,0.00066099983884328,0.00012824158593060557,0.0006451366442797,0.025600701520112613,0.0024953112746012285,0.0253828655571431,0.02033758693823054,0.0028564741423724306,0.019779387027008,-3.207373332167463,1.1731674159918855,-3.143273661383749,0.03560977951888591,0.050842263416375315,0.01605359428383935,0.058008552601570965,0.0685138286507342,0.07984503729867426,0.02703302251342493,0.036404270856690575,0.011914010939798249,0.283139798819234,0.04284532158647477,0.26439578664622543,5.777450888510049,0.4963605116228915,5.8906981741934175,0.5832910537819892,0.13615380536903365,0.5825347153648943,0.7027385352667301,0.10475942965219005,0.7013143495712768,0.80154652413764,0.07000179570185903,0.8088461224924908,0.7072146008062081,0.15559080541702483,0.7084553916086439,0.7480869954974746,0.1184894071561992,0.7526151247970359,24.592054950948473,0.47156224395199825,24.528824833702885,29.312949258103707,3.990641291768387,29.627267041901188,6.610729660225749,1.9956023280993882,6.625078173858662,0.9577610215302222,0.001352241786907857,0.9579292676439314,0.9625944651217996,0.00499646988250441,0.9629971963898447,0.01171874923618948,0.001212755242625681,0.0116545725344612,21.552013238208804,0.42788516069748583,21.530412843356395,25.912271287615557,3.8153938623774053,26.18714403329892,6.13799657243476,1.949547957888886,6.1782458408444665,0.7196782855906839,0.10075687552950363,0.7282470175935432,0.2522596921485901,0.10863009378531605,0.24479506721417954
MAR,l7_species,0.001,0.7,3000,FIN,0.1,0.22985553564481415,0.11241634558538187,0.19020471272646325,0.4697482781440311,0.1010615369494813,0.4355507489508422,0.2532845573454333,0.10387287080880372,0.21958386008904535,0.2960878237796727,0.29761061508790837,0.38890675272400443,0.5896705895382864,0.17193196962951565,0.644291088644282,0.51888711922303,0.17914651339634788,0.5641524243874747,0.5574921253168449,0.16485226838363376,0.6067504428852645,0.17658941630403863,0.028030126725903055,0.1728276124394407,0.00026238734007427,0.0001262124709893256,0.00022961051469015,0.01582079345901084,0.00366512610085032,0.0150848516484681,0.0073396608551508395,0.0023993396328326803,0.0066497687578921,0.13294227238292086,0.20518492156594761,0.14652062134988786,0.5344675020505395,0.1677291294567304,0.5844964403485583,0.5499159203942554,0.17142243774321878,0.6104416019794237,0.5304105038494754,0.17024252793189557,0.5820711084175061,0.1636636987548636,0.023117715552512037,0.15709449391809974,0.0007012669291811,0.0004524522364309657,0.0005543951326802,0.025384778697777232,0.007949838548047506,0.02336345598219055,0.01844993434384733,0.006533466330329931,0.0171197342393175,-4.261457142228642,3.1418714408793385,-3.0391066699248435,0.12867509687874829,0.08642693768497375,0.14010870271142378,0.20952483779970596,0.08735518817486064,0.23022867890302778,0.08314084923701903,0.06263402611487212,0.0765238701016702,0.3602606045148611,0.0816425114884774,0.33765950627119085,4.907593310594416,1.092002902203942,4.550326682758807,0.41469083831602527,0.13556268925504655,0.3757119348209072,0.5760510292580218,0.1036967576792567,0.545347171123001,0.8881200284906388,0.02968861143489764,0.8992753623188405,0.881648063368537,0.06184263174618966,0.8929968005687878,0.8843085860102888,0.04339009612675468,0.896983225108225,20.535703463203465,2.6647072980603803,20.65,21.236103896103895,1.6340400795087244,21.091666666666665,3.277435064935065,1.1682060921554185,3.125,0.955000478343246,0.0038255618791184763,0.9558808824858949,0.9553428826873143,0.003009475382359792,0.9542765810288417,0.01069402423994054,0.003061948166603477,0.0107603035040616,17.916438854677615,2.136544858887111,18.15408778314336,18.557670353088927,1.3313740096729962,18.347109856861145,2.9826291174244703,1.050529113807054,2.8909872482039516,0.6340896679630232,0.07748848566772315,0.6235042735042735,0.34813587506594834,0.08519463322839696,0.3513713938654641
