Mechanisms of missingness,Taxonomic Level,Learning Rate,Dropout Rate,Number of Epochs,Condition,Mask Ratio,MSE (CLR)_mean,MSE (CLR)_std,MSE (CLR)_median,RMSE (CLR)_mean,RMSE (CLR)_std,RMSE (CLR)_median,MAE (CLR)_mean,MAE (CLR)_std,MAE (CLR)_median,R2 (CLR)_mean,R2 (CLR)_std,R2 (CLR)_median,Pearson (CLR)_mean,Pearson (CLR)_std,Pearson (CLR)_median,Spearman (CLR)_mean,Spearman (CLR)_std,Spearman (CLR)_median,CCC (CLR)_mean,CCC (CLR)_std,CCC (CLR)_median,NRMSE (CLR)_mean,NRMSE (CLR)_std,NRMSE (CLR)_median,MSE (RA)_mean,MSE (RA)_std,MSE (RA)_median,RMSE (RA)_mean,RMSE (RA)_std,RMSE (RA)_median,MAE (RA)_mean,MAE (RA)_std,MAE (RA)_median,R2 (RA)_mean,R2 (RA)_std,R2 (RA)_median,Pearson (RA)_mean,Pearson (RA)_std,Pearson (RA)_median,Spearman (RA)_mean,Spearman (RA)_std,Spearman (RA)_median,CCC (RA)_mean,CCC (RA)_std,CCC (RA)_median,NRMSE (RA)_mean,NRMSE (RA)_std,NRMSE (RA)_median,MSE (RA non-zero)_mean,MSE (RA non-zero)_std,MSE (RA non-zero)_median,RMSE (RA non-zero)_mean,RMSE (RA non-zero)_std,RMSE (RA non-zero)_median,MAE (RA non-zero)_mean,MAE (RA non-zero)_std,MAE (RA non-zero)_median,R2 (RA non-zero)_mean,R2 (RA non-zero)_std,R2 (RA non-zero)_median,Pearson (RA non-zero)_mean,Pearson (RA non-zero)_std,Pearson (RA non-zero)_median,Spearman (RA non-zero)_mean,Spearman (RA non-zero)_std,Spearman (RA non-zero)_median,CCC (RA non-zero)_mean,CCC (RA non-zero)_std,CCC (RA non-zero)_median,NRMSE (RA non-zero)_mean,NRMSE (RA non-zero)_std,NRMSE (RA non-zero)_median,Aitchison distance (mean)_mean,Aitchison distance (mean)_std,Aitchison distance (mean)_median,Bray-Curtis (mean)_mean,Bray-Curtis (mean)_std,Bray-Curtis (mean)_median,Jensen-Shannon (mean)_mean,Jensen-Shannon (mean)_std,Jensen-Shannon (mean)_median,Zero precision_mean,Zero precision_std,Zero precision_median,Zero recall_mean,Zero recall_std,Zero recall_median,Zero F1_mean,Zero F1_std,Zero F1_median,Richness true_mean,Richness true_std,Richness true_median,Richness imputed_mean,Richness imputed_std,Richness imputed_median,Richness abs diff_mean,Richness abs diff_std,Richness abs diff_median,Evenness true_mean,Evenness true_std,Evenness true_median,Evenness imputed_mean,Evenness imputed_std,Evenness imputed_median,Evenness abs diff_mean,Evenness abs diff_std,Evenness abs diff_median,Shannon eff true_mean,Shannon eff true_std,Shannon eff true_median,Shannon eff imputed_mean,Shannon eff imputed_std,Shannon eff imputed_median,Shannon eff abs diff_mean,Shannon eff abs diff_std,Shannon eff abs diff_median,Bray-Curtis rarefied_mean,Bray-Curtis rarefied_std,Bray-Curtis rarefied_median,Jaccard index rarefied_mean,Jaccard index rarefied_std,Jaccard index rarefied_median
MAR,l5_family,0.001,0.3,3000.0,A,0.1,1.4201864730287654,0.29083585282976004,1.2899307465924332,1.186749293710232,0.11456481381020975,1.135751155979035,0.6013225985165784,0.08239387882028304,0.5715444064884437,0.8337423132319394,0.033877815685048815,0.848300725173168,0.9157433599617285,0.017311660707652655,0.9236094153015465,0.7109722761161009,0.03273307427010769,0.7122119250311139,0.9150617384635737,0.017252834345472142,0.92267656724507,0.10988813565859572,0.006326163853831451,0.1081366077755455,0.00010884282439975739,2.3218583362961585e-05,9.83862175543441e-05,0.0103815118763823,0.0010888503418837792,0.00991884760834845,0.00266340271372854,0.0002524937602689436,0.0026028622182816003,0.9661264336667916,0.006821489647201639,0.969146900226306,0.9836002455735654,0.0035550806884243904,0.9851387118129715,0.7933972094173558,0.033762930799858495,0.8012597731737616,0.9833527741989073,0.003453365142709432,0.984903891922681,0.02442709480445101,0.0022192536561111234,0.0233248008435367,0.00029349673691019,7.013902271480953e-05,0.0002687535137484,0.01702964410617818,0.0019686313709334643,0.01638961093890865,0.00708068001054035,0.0007085698872661629,0.00688611134783035,0.9625177299932004,0.007555352380459681,0.9659821566830595,0.9819243925587061,0.003978116632960254,0.9836234100158194,0.821039203357073,0.05195460441221055,0.8381569585261552,0.9816173820087031,0.0038409358248686957,0.9833990877454994,0.04009792202777817,0.004374710330715101,0.03879380383216405,9.916000469400986,0.5807497927126405,9.69824350902076,0.09854590040795796,0.009342269129950388,0.0963059020764217,0.13277330650242702,0.011256639336471697,0.12836743825921884,,,,0.0,0.0,0.0,,,,27.30464285714286,1.991939575131498,26.775,37.75607142857143,1.2149275264631294,37.57142857142857,10.90857142857143,1.3006443545264212,10.875,0.522756997330566,0.007307293279353943,0.5236367237234572,0.4632457380891468,0.004139714986756954,0.46233867371290893,0.05951125924141916,0.009068382378769585,0.058436018770153,5.617305949927725,0.19016439795223353,5.622448841287289,5.3675121815663465,0.033525988396639506,5.3617998226931425,0.38746519871158036,0.11599280676188035,0.34351574826680215,0.09964069452350634,0.009522531002647277,0.0974948343225157,0.5809961262447718,0.013571701804678357,0.57972192373864
MAR,l5_family,0.001,0.3,3000.0,A,0.2,1.4400954574256197,0.24328724462619714,1.4394449355552115,1.1960792684206074,0.10268528554138494,1.1993236051280047,0.6171884702316685,0.07975235346432291,0.6083548450947329,0.8320198311556337,0.029170619987397,0.8325703290387783,0.9146743192630048,0.014787436430727585,0.9150292708183736,0.7033729894029672,0.03717826558806029,0.7051526292043087,0.9139873137805941,0.014633639831619626,0.9143326587618696,0.10624363795540295,0.004714852702986201,0.10713386770573499,0.0001669447853703443,0.00017461456274570078,0.0001171568838718,0.012070083472149759,0.004860026331170929,0.0108239029492463,0.00301528895809286,0.0010527101143595979,0.00269261174901165,0.9481147377167375,0.05442101897820509,0.963856629434228,0.9764156936244424,0.02044005254365842,0.9820237555323693,0.7811344264172795,0.03292965681291378,0.7831955443762536,0.9755607359463101,0.022965216693809076,0.9820129616713901,0.02832318312517349,0.01168282517397878,0.025224435650169,0.00044701148403425005,0.0004666862153383486,0.00032163532575410004,0.01975759895179688,0.007933667198455329,0.01793416012866,0.007996908808279201,0.002791079446301508,0.00721705365183045,0.9426604762469193,0.06014437404677059,0.9599187656740976,0.9741702987175321,0.02196077993562483,0.9800866931701162,0.8219697172452103,0.03670241034772266,0.8318125292383807,0.973152344873484,0.02495101925445898,0.9800710152167404,0.04636632884630224,0.01907221173918079,0.0417990997931455,9.93187184080504,0.6189663823173378,9.981776893365486,0.11156569144943773,0.03895027423130524,0.0996266347134335,0.147440948089644,0.03156520382130966,0.13831538997280374,0.9104477611940298,,0.9104477611940298,0.05266187050359712,0.1665314566362053,0.0,0.6672743846855058,,0.6672743846855058,27.43818409660515,0.7551278824217134,27.229665071770334,37.81881066302119,2.018289405582094,38.06666666666666,11.198010936431988,1.8449328490447574,11.254545454545454,0.5205406243358756,0.00257160954460566,0.5210464998805037,0.46358884118232496,0.005808177333074795,0.46548605207673,0.057049107059771155,0.00588371677916177,0.0571722477598885,5.592348530353263,0.07310773664316764,5.601729034066651,5.38173655852472,0.2139502159859876,5.404395328344018,0.3875016517365507,0.14772414970187392,0.3765110703500859,0.11207524968244842,0.03998242873737107,0.10075773493722745,0.5945630838278848,0.030598663602403625,0.5881516869023222
MAR,l5_family,0.001,0.3,3000.0,A,0.3,1.3405562887437175,0.14341355657816934,1.2905641947038533,1.156366098521422,0.0612257655826398,1.1360196285668436,0.5900124510662137,0.03806081263424876,0.5884268404633766,0.8438185863952897,0.01639769880087029,0.8488668249827933,0.9207595116900089,0.008354198800149483,0.9233266601787138,0.7126829629635714,0.014753309383819049,0.7120454334728787,0.9201670995260885,0.008362187351362403,0.9229854271629663,0.10444789382828437,0.0024274792676066996,0.1044300622374954,0.00012531178929131,1.4694357687795734e-05,0.00012663934255850002,0.011176927778756769,0.0006566537391412793,0.01125317469746245,0.00284936884093176,0.0001279824330067025,0.0028262453422257,0.9611017875711347,0.004421892998887305,0.960369905862688,0.9809591366246838,0.002353919688142757,0.9806320043244056,0.795873822420497,0.0147161144789281,0.7928994314287181,0.9808029734134284,0.002272076524552019,0.9804948099218467,0.02600166005494863,0.0017699598269122442,0.02623061436138155,0.00034333880598263003,4.911828781159745e-05,0.0003541569251271,0.01848662529017267,0.0013264368994594224,0.0188189329519936,0.007704701678425341,0.0005000740892206738,0.0077418494841236,0.9568478144101542,0.005079450707116351,0.9559359439409163,0.9789380758717204,0.0027048763174162597,0.9784895005149621,0.8485587216022864,0.024962574727605276,0.8559680361725239,0.9787418501657035,0.0026061856922392646,0.9783112656331325,0.04302034588584652,0.003527346360204691,0.042985207733472905,9.734107717594124,0.34826190811911345,9.693747331756317,0.10542664711447687,0.004735350021248489,0.1045710776623535,0.14043072187317998,0.004943868968318979,0.14011545945221116,,,,0.0,0.0,0.0,,,,26.92660077495604,1.0599677038797397,26.78468899521531,38.679748906064695,0.90852885939389,38.638888888888886,12.074360252320778,1.1996525305157482,12.26201923076923,0.5221511181377009,0.005171379364101622,0.5199435223651746,0.46257669856022965,0.003131990103575132,0.46275173337570463,0.05957441957747125,0.0063761180589605865,0.0584791777111451,5.579918696519393,0.10498945297715453,5.5721818879914755,5.414973717450481,0.06537703150059962,5.433405249840366,0.38936551060197794,0.06690865662109677,0.40492910028053863,0.10629559394741048,0.004845848627081787,0.10627828423436975,0.5812000053774142,0.011341542804458956,0.579092057962961
MAR,l5_family,0.001,0.3,3000.0,A,0.4,1.3497478575883999,0.16168655777432403,1.3529235798260086,1.1598929001778473,0.06989132600308594,1.1631505325322269,0.6193114678118337,0.0699014568538703,0.6130708594642715,0.8424835105892372,0.01868061274640084,0.8423080774460732,0.9197112313960492,0.009696102045098237,0.9195729408673339,0.7142696367999904,0.023306453886612285,0.715869644155537,0.9184444997108814,0.010566086739194385,0.9185408873567508,0.10336081916392811,0.004360358294151381,0.10279738752758785,0.00015690664944183,6.916656270976201e-05,0.00013356198078175,0.012318219387233511,0.0023963213867806625,0.0115556161516441,0.00314511238362433,0.0005493742026562929,0.002988827720056,0.9514072201422372,0.02103786686241583,0.9583971996247083,0.975928913423815,0.011039300112457176,0.9795379289266379,0.7882755636476754,0.019030717311193563,0.7900727698852025,0.9756070005593637,0.01126866185556829,0.9794461332147633,0.02783978640256385,0.005211957702192007,0.0265332733234,0.00042363849221689,0.00017529507893213343,0.00037275117762605,0.0202729256504425,0.003748626087366703,0.019306160728773503,0.00841566901826201,0.0013312218372539555,0.0081519792005112,0.9462456219783026,0.02297909599486862,0.9536890604324767,0.9734114290753201,0.012126857419991375,0.977284870543953,0.8498257717067599,0.02455638748768326,0.8449636523924864,0.9730195770259545,0.012395979896057204,0.9771638520611035,0.045834220365872744,0.008210124024372843,0.044046592642440555,9.765463651815443,0.499688784428124,9.800187822425052,0.11636915819410192,0.020326845498282443,0.11058662564207355,0.1485508273103805,0.015506786644538193,0.1437928226702629,0.9473684210526316,,0.9473684210526316,0.00147058823529411,0.004650408323777004,0.0,0.0289621882542236,,0.0289621882542236,27.11777662534728,0.7587840566147451,27.205842391304344,40.45093400178726,3.498015835654972,38.969063545150505,13.490287006069616,3.6175710033084187,12.096153846153847,0.5204078481415799,0.004479050227241533,0.5212548672950511,0.4649422077142688,0.006790425048809732,0.46271322108726176,0.05685236912154419,0.006944744537506337,0.05998487680469845,5.563937385774887,0.08348576166662212,5.568092935218399,5.599929731621716,0.39203310213422377,5.468509828844844,0.4933981413491029,0.33116762409879624,0.38718515554776056,0.11688297681421811,0.02020375933157292,0.11077627621450885,0.5720324034759565,0.02832048820309399,0.5828555154383074
MAR,l5_family,0.001,0.3,3000.0,A,0.5,1.4399390593160062,0.07070076040053665,1.439662674869807,1.199650922751325,0.029377293913281533,1.1998509109122941,0.6368774469003908,0.0365412372549879,0.626809670008336,0.8322953860409175,0.008515719558476752,0.8324685832931562,0.9145379107282695,0.004770982560623134,0.9147611219436487,0.7134839662390491,0.017324426995428625,0.7141057748166231,0.9136227643947807,0.005756935413358297,0.9141516109788754,0.10269359045761886,0.005065579290683431,0.10143386836632254,0.00013464978379854972,4.4426013288559615e-05,0.00012340034866175,0.01149348276997025,0.0016831312139339982,0.011108436808897799,0.00299680072780032,0.00045247279423363035,0.0028947449086706,0.9581966506309648,0.01418509290578958,0.9621186695077066,0.9791982919008382,0.007313917986829934,0.9809784000306463,0.7771921435013776,0.02536387272400684,0.780935967741468,0.9790513530213925,0.0074283093238363416,0.9809623670854895,0.02595459087913472,0.003527678896388212,0.025151183611472998,0.0003629520587306,0.00012356706197960663,0.00032878809284484997,0.01885988679850223,0.002839547827525571,0.01813168110718845,0.00791729447683598,0.0011168023851487825,0.00770874203826845,0.953782886880537,0.015741496206321145,0.9582273201480689,0.9770298037053557,0.008122594785317228,0.9790238867598777,0.8434129819498969,0.020573313701332592,0.8485443076366682,0.9768559915057724,0.008242207335024412,0.9790058058943868,0.04259670982406,0.005987512738126306,0.04159505357600085,9.99551583156995,0.268008919352682,9.940579630803605,0.11088162692861321,0.016741493386644084,0.1071055616208133,0.14707622113887178,0.013962188359787454,0.14373688849192606,1.0,,1.0,6.341154090044e-05,0.0002005248991863149,0.0,0.0012674271229404,,0.0012674271229404,27.351934895479285,0.5059609858631863,27.23549783549783,39.90147079723281,2.1208220466093803,39.25154798761611,12.867311427248008,2.241406330011129,12.280303030303031,0.5208570134054195,0.0034884682543624107,0.521478103913669,0.4698837861978117,0.01120665412478242,0.4689764112352566,0.05698271050065949,0.014729257021467162,0.0531496422659119,5.592699536584111,0.051810659547881215,5.585472665361651,5.771114694226172,0.7223326669425099,5.609140392348089,0.630243581619019,0.791629448986023,0.36499208264555827,0.11163084539147028,0.016564567489140782,0.10795633331664276,0.5819685119990475,0.013460196148654655,0.5818008808530025
MAR,l5_family,0.001,0.3,3000.0,A,0.6,1.383511243546021,0.10470649850933975,1.395343587356776,1.1754534394716418,0.04497474822742718,1.1812451552504246,0.632139848116305,0.04346484057187238,0.6319156307897662,0.8389076123179133,0.012147110536550954,0.8378409882743004,0.9176329119705562,0.006162759758287,0.917557799038446,0.7110361137328687,0.014150812344905807,0.7102358915184959,0.9168259375338526,0.005927504790815091,0.9165481047592559,0.1004801642869386,0.002314035776737588,0.10030585754257734,0.00023415855247366,0.00028338235275444224,0.00013234186251214998,0.013956631403780128,0.0066140416566862915,0.011503780228947,0.00344082940762471,0.001300366003322688,0.0029133044589922,0.9275614510570371,0.08794307258104675,0.9592831986824938,0.9710627360326057,0.02281996209217591,0.9800718857208826,0.7855152515977666,0.01256727696251379,0.7809678917798357,0.9674093663655947,0.03190127079389783,0.979878974660046,0.031146956991906248,0.01452503765767331,0.0254557405650097,0.0006303043224451901,0.0007631765602601853,0.0003529754853635,0.022892903555027273,0.01086376695797417,0.0187870738207572,0.009158790145431,0.00349844729075293,0.0077359258436357,0.919913354352777,0.09727301633380037,0.9550413096965913,0.9685782608256005,0.02372539792568749,0.9780823365036497,0.85046969986315,0.008937625655608206,0.8486679157770344,0.9642780046087994,0.03428137099182982,0.977840682246084,0.0510963644498864,0.023862162464312088,0.04157717411166175,9.832601255383848,0.3179314335473583,9.813612523893958,0.12731068808211612,0.04811354212293876,0.10779226498271474,0.15778367246710792,0.03410094720135256,0.1437171164234577,0.964542330521712,0.03556519580475917,0.964542330521712,0.06111725319190327,0.17551149160000112,0.0,0.40032304302573996,0.42442567762525957,0.40032304302573996,27.373980350075822,0.2257599649908355,27.33285917496444,39.861657608824075,1.8293217758927651,39.54298245614035,12.755363846569477,1.7987462145992057,12.45701754385965,0.520246625795228,0.0026303594838001936,0.5206418799820983,0.4602222252900323,0.02724983861310235,0.46519669711068357,0.06076613465949723,0.02769101850244965,0.05364816094432785,5.584220776340839,0.0508914216761699,5.585007395886505,5.479212121979193,0.5914286576456242,5.507671517989014,0.596554578975495,0.43999857529799113,0.4368391460627778,0.12809293673478656,0.047699711466189176,0.1086668408594132,0.5847055122156263,0.02548121421921954,0.5872405166578822
MAR,l5_family,0.001,0.3,3000.0,A,0.7,1.4157535685332,0.08778385017705756,1.4271374760837892,1.1893382157769206,0.036941049521443024,1.1945955113926428,0.6215411959660623,0.022641423671963725,0.6199156830949797,0.8351075666532066,0.010018659141686,0.8337780862419725,0.9160909581038531,0.005040658061341108,0.9155016129983335,0.7220923867407205,0.015067647831480872,0.718400324349056,0.9156537594888607,0.004824558248644762,0.9151858182331365,0.10152712075671425,0.0026820407455105224,0.1019474608972953,0.00012991782743123002,1.3643898722424703e-05,0.0001318468980489,0.01138434791161362,0.0005910913245987442,0.0114824326108735,0.00291811503119563,0.0001406488439307041,0.0029447954216984,0.9598523846685998,0.004246590698581934,0.9595328942317412,0.9800373845135055,0.0019925168576476098,0.9797736689193548,0.7989194396946868,0.017754879212503245,0.7976730416064377,0.9799823923475627,0.002018085096588605,0.9797078095720212,0.02539764152332133,0.0011751252206001486,0.02543484093043795,0.00034859713112062,3.630631512314473e-05,0.0003527927516334,0.01864846244306387,0.0009614685701880405,0.01878259787191255,0.007730983660962939,0.0003636792341370877,0.007779398915363099,0.9556480282385232,0.004685862805348579,0.9553442720840173,0.977970968567402,0.0021818942321258023,0.9776867002423979,0.8549842284841865,0.010971229177944491,0.8534128124576636,0.9779023937782497,0.0022149539837568477,0.9776079737251697,0.04160836413658489,0.0019118501089636134,0.0417161261504604,9.984929640447685,0.27580405436232536,9.99814038791157,0.10797025615423975,0.005204007225436332,0.10895743060284195,0.14380048373111182,0.004095661937460193,0.14373372197874268,0.9822447794840844,0.010864665603431627,0.9802631578947368,0.2082749700273887,0.31731312531752714,0.0095137420718816,0.5076041524948922,0.38786514997595417,0.7463726059199072,27.41233767730072,0.2234513467104742,27.415065722952477,37.5916428112101,3.05121835714926,38.43531468531468,10.49021104516059,2.869408566491451,11.342948717948719,0.5198540956762757,0.0020491959311011625,0.5202236320169554,0.4736482936674138,0.011531608209681549,0.4688354264486949,0.046863451729432806,0.010268460527364864,0.04837245257762575,5.585832752678254,0.045276064256651226,5.59593305823441,5.548009380776553,0.09696300847742163,5.554554190209485,0.3999969512579674,0.08013909393106416,0.3958028628996701,0.10870861685876054,0.005057236229396606,0.10940228053108594,0.6120675524399234,0.054475135046425184,0.5887911112834352
MAR,l5_family,0.001,0.3,3000.0,A,0.8,1.444891842475545,0.08263488929166489,1.425369803019089,1.2016014670137072,0.03408741941362168,1.1938820821012703,0.6549592591753784,0.033216085901542874,0.6511923736917941,0.831738292191312,0.0097722464791819,0.8341265660688074,0.9134916094424327,0.005177184709225481,0.9145317963318786,0.7137668058808779,0.01593984161126688,0.7128717178025745,0.9119356082901472,0.006576548235212832,0.9132512971258714,0.10355475698819772,0.006213810554537329,0.1007277624986664,0.00039838711821149,0.0008406110565617409,0.0001353905143191,0.01562716762531362,0.013088534007625448,0.0116331618096304,0.004069143409402979,0.0034503606153699104,0.0030097851615576,0.8768387115631452,0.25955232759586994,0.9579721997498079,0.9333149488988551,0.14572822947793368,0.9788262286894291,0.7801197779379422,0.009971833443477261,0.7826158738915885,0.9328195103423514,0.14702935537808104,0.9787773506781143,0.03496743059113146,0.028822492544911076,0.026298378132313248,0.00107839036078011,0.002285125124152187,0.00036476982341740005,0.02565367795596334,0.021609647231216837,0.01909590688274425,0.010829510523977409,0.009363005453235028,0.0079363040478361,0.8637241756453002,0.28739289639572774,0.9535252167173391,0.9255378659136113,0.16348855805406515,0.9765767203913118,0.8484845237595877,0.018588894895171577,0.8472527194120409,0.9249897749468572,0.16491304502194815,0.9765226971529758,0.057412148544704014,0.04759732767035475,0.043177082521416346,10.104231543776027,0.35445829295640796,10.013631085546217,0.15055830614791252,0.12766334276868668,0.1113620509776331,0.1824375003835686,0.11025041626184277,0.14747644750212557,0.9509755291005291,0.012042327788064572,0.9509755291005291,0.07786766548536087,0.17455682705403192,0.0,0.5411154819690279,0.18289356244644,0.5411154819690279,27.374188812688107,0.4174036278029292,27.48,41.99468114151951,5.539108134528419,39.67463414634146,14.943037312303215,5.639120339892796,12.60560975609756,0.5206718276522896,0.0019857514963778854,0.520948731538876,0.47685015590841007,0.01689378670870931,0.47058040662827716,0.04656889459405123,0.012043078806927858,0.04975305256953255,5.595956397356787,0.03162651834512769,5.600196722982977,5.944353823182228,0.6849913058537569,5.691321821184156,0.7199208192020494,0.5757471105659222,0.4513537197259936,0.15110984098361144,0.1278359009659283,0.11240584125650045,0.5715582865817559,0.04974637474227686,0.5811277706044877
MAR,l5_family,0.001,0.3,3000.0,B,0.1,1.562073531342309,0.25998271725616007,1.4801797960838357,1.2461134071023285,0.10151577864294649,1.2164783538256332,0.6848494560889362,0.08823617381175418,0.6663777395322021,0.8154575452251359,0.028709249088324413,0.823923324677698,0.9065932281559668,0.015070809700763976,0.9111935882504891,0.6868833515502903,0.03758946120493225,0.6869952441147527,0.9053709682728177,0.015158351684727515,0.9088070488554307,0.11860143874797364,0.01018574645140665,0.11682374043554515,0.00029926118417303,0.00017343708557816966,0.00021581551038955002,0.016754886604122228,0.004538105215968312,0.014690587862741,0.00423412439722157,0.0009252793310888039,0.00378839017341395,0.900006598516058,0.057649548899415856,0.9270587056350342,0.9517113636061968,0.028068357768380733,0.963811757639799,0.7859467651509693,0.038944357120849545,0.7817866092869031,0.9507736777497297,0.027855352535583137,0.9621760135900097,0.04142154267071332,0.011461592196747188,0.0365081516907735,0.0008103751647701499,0.00046059476152282905,0.0005673017527693,0.027593626756871097,0.007376157323332096,0.02381800187715505,0.01141138182691666,0.002476627989578184,0.010266768478127849,0.888292805546498,0.0642156206699136,0.9191718162822361,0.9463392311696328,0.031090930554053976,0.9599387528558694,0.8167159919017383,0.01727882670152235,0.8175024629135172,0.9451632634879104,0.03084446601250098,0.9579396627194982,0.06822988715541582,0.018643738172506818,0.05869041358199605,10.603019957001129,0.8947174085427594,10.267665598890929,0.15666260269719995,0.034235335250285444,0.14017043641631816,0.19080711586186644,0.03615598363716121,0.17949300633246654,0.947124323100223,0.03262193873155164,0.9381120250685469,0.42743526083434036,0.3132059505481672,0.6044131719673516,0.6482065066743462,0.2521748018030487,0.7397415655642348,26.88285714285714,1.3595920534396584,27.261904761904763,32.27333333333333,1.9724104218595113,32.57142857142857,5.419047619047619,2.495802472625451,4.966666666666667,0.5413391433799395,0.012031811932761762,0.5402761997254841,0.4988851389775265,0.017548871517395412,0.4947861378584964,0.04377001673302552,0.02115780389386496,0.0442494615455166,5.948405605441513,0.19215985214458484,6.016069894399585,5.657388524639906,0.3807867602100322,5.625990854128993,0.5444824527742549,0.12715151298989133,0.5888459170721416,0.1559018410204883,0.03308424217038746,0.14230643225089418,0.6512988707832783,0.04716392426221511,0.6417773991448527
MAR,l5_family,0.001,0.3,3000.0,B,0.2,1.7369071236295537,0.31115092931075083,1.663756353832926,1.3135517248199444,0.11298470816935155,1.2897154100240946,0.7701993585904459,0.1319255643223482,0.7469303709508668,0.7959148137842227,0.03612046617227872,0.805173637394975,0.8953457137201793,0.018502901522803206,0.8994519015339533,0.6836037194902518,0.05019959274255509,0.6994035174635915,0.8928771047742318,0.01840205170879373,0.8952243663980206,0.1241286728496895,0.008894244145582658,0.12347171328622575,0.00078034771565076,0.000562706420821556,0.0006312656425255,0.026358102728797538,0.009752386385389649,0.02502727821917115,0.0064051880904834905,0.0019997806637191847,0.006222624060804399,0.7381337645392312,0.191945028665554,0.7904329806460941,0.8869530207526118,0.0742847593081187,0.9063181786677852,0.7599868251662437,0.034809607789168535,0.7672560919507094,0.8816484136765326,0.07736342965931531,0.891255540965268,0.06516245143132601,0.023841445240167493,0.06216532656415415,0.0020591892164860603,0.0014573303098659892,0.0016746356496442,0.042866966205936004,0.015691909620539065,0.04079915796641155,0.01684926001796426,0.005220003327138582,0.01645864674576355,0.7089325643729781,0.21300398342223553,0.7671292861897873,0.8759934972331882,0.08077821954690227,0.8979506588072645,0.79902177525522,0.030041920519737593,0.8093291431789083,0.8697261417666493,0.08413699161829835,0.8800036746326665,0.10599647929687728,0.03836862018830349,0.1013588601048228,11.149455250236295,0.9798442119614604,10.953242795436877,0.23699195934789077,0.0739918845576099,0.2302370902497643,0.25854659791002027,0.05517896889947585,0.25850959778703664,0.9395682319330251,0.048135650771488236,0.9444444444444444,0.28071727456532813,0.25555629691281456,0.2628097321917283,0.5318704866765938,0.2134925254594733,0.5526992287917737,27.65449883449883,0.5539760180943705,27.611888111888113,36.384522144522144,5.318916166547213,35.892307692307696,9.100932400932402,4.93772641739397,7.857692307692307,0.5400305018424398,0.006538659528099839,0.5394715775714716,0.4696431431808996,0.04554245538285404,0.4824773070281567,0.07060506696745608,0.046672361747054865,0.0602232901860991,6.018500141918664,0.15935576690464978,6.043564618881534,5.412316559254611,0.736737032019195,5.699005553294005,0.8982582433680465,0.5339548655384571,0.7433383632947523,0.23685737755018907,0.07423076612033921,0.22914832538466334,0.6030727531004997,0.05492968470533958,0.591906224257569
