Taxonomic Level,Condition,Mechanisms of missingness,Mask Ratio,Iteration,Pseudo Count,Seed,MSE (CLR),RMSE (CLR),MAE (CLR),R2 (CLR),Pearson (CLR),Spearman (CLR),CCC (CLR),NRMSE (CLR),MSE (RA),RMSE (RA),MAE (RA),R2 (RA),Pearson (RA),Spearman (RA),CCC (RA),NRMSE (RA),MSE (RA non-zero),RMSE (RA non-zero),MAE (RA non-zero),R2 (RA non-zero),Pearson (RA non-zero),Spearman (RA non-zero),CCC (RA non-zero),NRMSE (RA non-zero),Aitchison distance (mean),Bray-Curtis (mean),Jensen-Shannon (mean),Zero precision,Zero recall,Zero F1,Rarefaction depth,Richness true,Richness imputed,Richness abs diff,Evenness true,Evenness imputed,Evenness abs diff,Shannon eff true,Shannon eff imputed,Shannon eff abs diff,Bray-Curtis rarefied,Jaccard index rarefied
l7_species,EST,MNAR,0.1,0,0.0089047562685613,2570352525,0.17608125174875777,0.4196203662225629,0.2655489730210421,0.43092436120200905,0.6572206869684765,0.5626992580499034,0.6141394203969359,0.13423911056885598,0.00017860970188454144,0.01336449407514334,0.006293419101876,0.2515137624443706,0.5832279890010097,0.6235415823104186,0.5785742614223743,0.10350767281629164,0.000375068791028834,0.019366692826314823,0.013019873519316558,-1.3143088917429488,0.1514905932000579,0.1879552851085964,0.1244779877693688,0.17578649284912534,4.298905797153437,0.355578179255994,0.5213917117875085,0.8904109589041096,0.8682101513802315,0.87917042380523,53,26.071428571428573,27.357142857142858,4.428571428571429,0.9538280853259266,0.9580487325919675,0.01099629207442117,22.496468451366063,23.880022499545557,3.958919639270417,0.5889487870619946,0.41850709044471485
l7_species,EST,MNAR,0.1,1,0.0089047562685613,83528394,0.1901821942469432,0.43609883541112926,0.2861248023089762,0.43030768569999345,0.6560227449682848,0.4665612216159714,0.6044983409672193,0.153179727946437,0.00018072233954613865,0.013443300917041864,0.006273365789008453,0.2785242159959801,0.5930762338305402,0.6140597160617923,0.5867617149810698,0.12722658954179153,0.000377589052413257,0.019431650789710507,0.012864473621847866,-1.8113943573335756,0.17717184422817153,0.27594162210751316,0.1295128765231354,0.22985638242717077,4.5327125569015925,0.3544451670789776,0.5267569349786297,0.9062784349408554,0.8593615185504746,0.8821966341895482,47,23.357142857142858,26.357142857142858,3.4285714285714284,0.9577549130009709,0.9605403725207855,0.008705551043402173,20.458665912382852,23.191251700730415,3.042362636798856,0.5866261398176292,0.3951714392634663
l7_species,EST,MNAR,0.1,2,0.0089047562685613,691499410,0.17025050755470694,0.41261423576351186,0.28851954314405087,0.42719822520851247,0.6536161459304486,0.5148882736967778,0.597193672134659,0.1644571146328714,0.00015126494961799762,0.012298981649632527,0.006029160219089247,0.24408019051335372,0.5994600356351306,0.6068727989723371,0.5982737371179181,0.15943882786630617,0.0002731177252702572,0.016526273786617997,0.011456118250863508,-2.891958417450179,0.22110307974805846,0.3271735143499958,0.1552933196185832,0.28621792305387633,4.275729844198238,0.3406475523785426,0.5229029203090914,0.8753462603878116,0.8618181818181818,0.8685295464956482,52,27.071428571428573,27.857142857142858,2.7857142857142856,0.9570282128807575,0.9602056519167056,0.010129618210017574,23.555416577687613,24.456468579463603,2.7937331353174124,0.6043956043956044,0.39218126316217516
l7_species,EST,MNAR,0.1,3,0.0089047562685613,2260116611,0.14887799546557284,0.3858471141081307,0.24952707335227636,0.49665572312134554,0.7048749573479546,0.5846524981729919,0.6681127293449372,0.14516081762839064,0.00012934365419301727,0.011372935161734515,0.005335250510433013,0.35913585807436155,0.6597953944023505,0.6753256083208272,0.6583468985732666,0.12720640400401373,0.0002391981738532925,0.015466032906123422,0.010532668704047538,-2.0286677614207047,0.23089028636217407,0.2444364157064577,0.18071156892837673,0.21971037497870005,3.9988928717511847,0.30144165383946525,0.4779690289227639,0.8980537534754403,0.8825136612021858,0.8902158934313275,53,26.357142857142858,28.214285714285715,3.0,0.9566608493414316,0.9595309699266695,0.010671359921519312,22.926532303479835,24.68190031344213,3.185085157238844,0.5579514824797844,0.4354514215056757
l7_species,EST,MNAR,0.1,4,0.0089047562685613,786856735,0.20428242394442264,0.4519761320517076,0.30397868956193336,0.36441464135830226,0.6074451908979047,0.5351031936739796,0.5633928275976031,0.1506453802827055,0.0001975705211641324,0.014055978129042902,0.006556476350095884,0.21446583686433784,0.565346224537196,0.5957011773057412,0.5615008832335335,0.11938889972417233,0.0003980931199546241,0.019952271047543036,0.01364714542954601,-1.2699693468209405,0.2122321565887664,0.15640787391272626,0.16847878935619456,0.2019161723508605,4.626335191029447,0.3704409137804175,0.5331020504403007,0.894404332129964,0.8685363716038562,0.8812805691418409,53,24.714285714285715,27.214285714285715,3.642857142857143,0.9579408414720383,0.9605116670237545,0.010250608851018259,21.620862100908536,23.97343063647138,3.3119897921580637,0.6024258760107816,0.38452527855635527
l7_species,EST,MNAR,0.1,5,0.0089047562685613,4039110783,0.24456587454449674,0.494536019461168,0.32435213806898,0.32474648298331943,0.5719776394674184,0.45744943158492013,0.512716568459059,0.16411279727801395,0.00022741132603720045,0.015080163329261405,0.007822552271997052,0.19775503723320653,0.5242445102391501,0.534754635224902,0.5117192646632295,0.12811616511815116,0.0005287993911480893,0.02299563852447001,0.01726076660164081,-2.479329543027059,0.1651663895858318,0.20976517730562416,0.09892261814573848,0.23991813917035984,5.114578532030596,0.44197420336783344,0.5861592002092514,0.9036697247706422,0.8201498751040799,0.8598865124399825,46,21.571428571428573,25.428571428571427,4.857142857142857,0.95578705784963,0.9602784055946084,0.011689359951992575,18.894135971970037,22.397884577361946,4.6192748272206,0.6444099378881988,0.3319213734149763
l7_species,EST,MNAR,0.1,6,0.0089047562685613,2786371537,0.18138519302669373,0.4258934057093321,0.2721870028385102,0.4523791799817344,0.6726126328839456,0.5502381740175223,0.6210973895046823,0.14459546879695406,0.00018391241388677218,0.01356143111499565,0.006303309875952206,0.3041576937016114,0.6045354620256369,0.6316345507339227,0.5968780977328553,0.11838600145263255,0.0003950209698962122,0.019875134462342944,0.013392047654343295,-1.0540496258183971,0.23627726464702914,0.3314459717157976,0.18752309475165727,0.20782372594845513,4.39733476493507,0.3561370079912996,0.5201891788155723,0.9067873303167421,0.8667820069204152,0.8863334807607254,53,24.428571428571427,26.928571428571427,4.642857142857143,0.9587520999122685,0.9540520939911273,0.011796900230753147,21.47657520382258,23.181828221948034,4.001415545978721,0.5754716981132075,0.4000079399416957
l7_species,EST,MNAR,0.1,7,0.0089047562685613,249611189,0.1752393368565929,0.4186159777846432,0.27438929124072664,0.41640635379223123,0.6457022687917717,0.5957820066936249,0.5967005415991804,0.14705984772833164,0.00015607189786583827,0.012492873883372002,0.0057705244712765134,0.27419849308706334,0.6053721517454496,0.6395871051889533,0.6026362142627563,0.11991962505694272,0.0003132857936605141,0.017699881176451836,0.011631477321055803,-1.8506298811969826,0.07764393199844694,0.21364045869627196,0.06301339238587252,0.20765949595410182,4.257253441753972,0.32603463262712307,0.49299336036030444,0.8966789667896679,0.8788426763110307,0.8876712328767123,53,26.5,27.928571428571427,4.285714285714286,0.9586320289093825,0.9611418915867327,0.011522726399095653,23.238146710108143,24.547340566872048,4.1721343890660085,0.5471698113207547,0.4346241253803604
l7_species,EST,MNAR,0.1,8,0.0089047562685613,2630827510,0.1717942010115006,0.4144806400925146,0.2671123869098494,0.3965086400051975,0.6396782075682019,0.5514426971195763,0.6146110121569694,0.16584274919161152,0.00015817091786797096,0.012576602000062297,0.006207176886037174,0.17438127294950612,0.588644266731226,0.6123735815177698,0.5886406354442656,0.15990073916888511,0.00030912558549510996,0.017581967622968424,0.012810954144110152,-3.091117242646276,0.11508630682215473,0.24927642864125704,0.08734185670906186,0.2943353364394304,4.22392247990796,0.35070549406110035,0.5199719517977573,0.8604860486048604,0.8868274582560297,0.8734582000913658,53,27.285714285714285,27.214285714285715,3.7857142857142856,0.9594200293143903,0.9565742685911232,0.01186131615374743,23.938225274225914,23.60471483367048,3.92602554749314,0.5876010781671158,0.41282672737376586
l7_species,EST,MNAR,0.1,9,0.0089047562685613,3468613422,0.14598673345037308,0.3820821030228622,0.2525804485628069,0.47405233178411643,0.6897743233744413,0.5655172705239216,0.6573609300178478,0.154273259731164,0.0001256133498249952,0.011207736159679849,0.0055159175552278224,0.29843207004591965,0.6441616888081751,0.6496731972469879,0.644092987442626,0.15036958566934552,0.0002275446383118029,0.015084582802046694,0.010712526466106358,-3.7878501239565345,0.2027860320133666,0.10640721059445346,0.14055835137334677,0.2716863511004044,3.9581648944975814,0.3116493418703719,0.49134902368442634,0.8745353159851301,0.8794392523364486,0.8769804287045667,53,28.357142857142858,28.071428571428573,3.4285714285714284,0.9591590299460153,0.9591658390679942,0.01295739784580724,24.782922042988925,24.538162235027652,3.4380152442283567,0.578167115902965,0.3928934144967351
