Taxonomic Level,Condition,Mechanisms of missingness,Mask Ratio,Iteration,Pseudo Count,Seed,MSE (CLR),RMSE (CLR),MAE (CLR),R2 (CLR),Pearson (CLR),Spearman (CLR),CCC (CLR),NRMSE (CLR),MSE (RA),RMSE (RA),MAE (RA),R2 (RA),Pearson (RA),Spearman (RA),CCC (RA),NRMSE (RA),MSE (RA non-zero),RMSE (RA non-zero),MAE (RA non-zero),R2 (RA non-zero),Pearson (RA non-zero),Spearman (RA non-zero),CCC (RA non-zero),NRMSE (RA non-zero),Aitchison distance (mean),Bray-Curtis (mean),Jensen-Shannon (mean),Zero precision,Zero recall,Zero F1,Rarefaction depth,Richness true,Richness imputed,Richness abs diff,Evenness true,Evenness imputed,Evenness abs diff,Shannon eff true,Shannon eff imputed,Shannon eff abs diff,Bray-Curtis rarefied,Jaccard index rarefied
l5_family,A,MNAR,0.1,1,1.4153880994168601e-05,4106402003,1.2291322615527625,1.108662374915268,0.8128230527705033,0.8585417992694975,0.9367628903765183,0.7972739855985583,0.9136595869461678,0.10240062761439284,0.0001967409209364007,0.014026436501706365,0.003998972564370361,0.9372037661124595,0.9712228856580905,0.7986294108075386,0.965074515347297,0.032033834545686916,0.0004926152460951299,0.022194937397864628,0.009847736431092505,0.9332303390795624,0.969955130343338,0.8840266932196205,0.9624869575866578,0.05069697559211257,9.431114036933517,0.14796198488170334,0.18258102194778553,,0.0,,14905,28.1,58.8,30.7,0.5313633348046013,0.49734514591653955,0.040696344480532,5.857314652581673,7.685235009921018,1.8279203573393477,0.1500369003690037,0.46448105490153546
l5_family,A,MNAR,0.1,8,1.4153880994168601e-05,4244478926,1.2137031981401631,1.1016819859379399,0.8090890847530736,0.8599104477914844,0.9355604720940139,0.7586356442748925,0.9155435080713564,0.1009016346159779,0.00014285341794636683,0.011952130268130733,0.0033303630415820375,0.9534519255311328,0.9768232122519115,0.814751522433161,0.9755276826025744,0.029282105637599577,0.0003660227103994842,0.019131720006300642,0.008334050440229484,0.9487168708092498,0.9744542588621514,0.886125220438962,0.972923068536485,0.04687887805555292,9.429840427358132,0.12322343253853539,0.1562703748698387,,0.0,,16072,28.571428571428573,58.857142857142854,30.285714285714285,0.5276519789774011,0.4679167941969373,0.059735184780463836,5.861253724883267,6.7319210957138065,1.1342491277930815,0.1260132973049847,0.4677555862569191
l5_family,A,MNAR,0.1,9,1.4153880994168601e-05,1038311282,1.1576665008156632,1.0759491162762593,0.8337041245887298,0.8667155641517565,0.9426751729369803,0.77654347271361,0.9183016884950927,0.09990613562738085,0.00016030928403173558,0.012661330263117521,0.0034412642015395184,0.950455209047298,0.9771327661610025,0.8370648666169798,0.9729334084094945,0.02801718495758555,0.00040431069921714416,0.020107478688715406,0.008497210164710242,0.9458111663063302,0.9751724493895406,0.9001886794921594,0.9701637471486462,0.044501214648784475,9.23255262141704,0.12732677545696217,0.14921564738351567,,0.0,,13911,28.88888888888889,56.0,27.11111111111111,0.5197378206475918,0.4800441800247674,0.039693640622824315,5.706332621465574,6.894183195747824,1.18785057428225,0.13336368501345858,0.4995885021786355
l5_family,B,MNAR,0.1,0,1.53400113516084e-05,2289965901,1.4458980668546597,1.2024550165618086,0.9172418881169847,0.831593139006342,0.9279919375281567,0.7017977552679605,0.8928409299611229,0.1136868987649167,0.00023675148276474352,0.015386730736733632,0.004314621189708865,0.9248002750052189,0.9665562503173009,0.7886389425323015,0.9571739353065433,0.03686539193062318,0.0006053464586618534,0.024603789518321224,0.010605575976677203,0.9174342463680256,0.9636863024653427,0.837849900612895,0.9524308081335675,0.058957280027556375,10.099945732126756,0.159640984019228,0.19332207439834254,,0.0,,16535,28.5,63.8,35.3,0.528326610875111,0.5023015650342061,0.0514719391914259,5.888469709240221,8.365101490197027,2.4766317809568057,0.16001209555488358,0.4509017988024671
l5_family,B,MNAR,0.1,6,1.53400113516084e-05,3489856969,1.0212405923245176,1.0105644919175212,0.8178543421838168,0.8831088723775847,0.9608540950482308,0.7066822171026218,0.925943331398341,0.09836995856174865,0.000271345106006491,0.01647255614670932,0.004489880577071878,0.9153149457877143,0.9620674656676469,0.8494211012698718,0.951356837263281,0.03946694387767967,0.0007170902706922227,0.026778541235329134,0.0116651864821927,0.9065713598226669,0.9587760324652614,0.9011056627868088,0.9455559424703027,0.06416856855181266,8.692314518283588,0.1661255813516595,0.18858843830603664,,0.0,,16535,28.0,65.5,37.5,0.527087516887371,0.4849227127773855,0.04216480410998549,5.788248101031076,7.604250811324167,1.8160027102930916,0.1726338070758996,0.42762237762237765
l5_family,B,MNAR,0.1,7,1.53400113516084e-05,2872029936,1.562921944311568,1.2501687663317973,0.9895316862186859,0.8188005064855908,0.9267215364736481,0.764684307484941,0.8814208349179878,0.11867888862664082,0.00023028332226096774,0.015175088871600316,0.0045209557631239045,0.9263241664586774,0.968468718956797,0.7930248595829291,0.9576784173335257,0.03656921120471171,0.0006053347220474374,0.024603551004833375,0.011521542100669727,0.918596676557057,0.965805522185656,0.8553843183701593,0.9525915833072307,0.05929896764314182,10.688939729801126,0.16727536323558448,0.19306739094453615,,0.0,,16105,28.0,67.14285714285714,39.142857142857146,0.5319101465631103,0.49304192527587015,0.04689576622643125,5.898046844401195,7.971475020714214,2.0734281763130196,0.16680711402847387,0.4110424325266265
l5_family,B,MNAR,0.1,8,1.53400113516084e-05,2514695184,1.190661705351979,1.091174461464334,0.8382336716619385,0.8586654917645952,0.9422952438259814,0.8003619808279933,0.9113800867043994,0.10231814866357186,0.00015329604444460235,0.012381277981072969,0.0033761989536876193,0.9509360843266955,0.9786224516006844,0.8189705034054355,0.9727947952743269,0.02985158743331355,0.0003956241941196159,0.01989030402280508,0.00846663661981596,0.9459520821483955,0.9767908452998748,0.8695282011674919,0.9697349266645684,0.047963227603478174,9.34722775571457,0.12491936128644192,0.1551415462447668,,0.0,,16105,28.166666666666668,67.0,38.833333333333336,0.526932151363794,0.4793913782634189,0.05048542921309288,5.800317820824735,7.509172614101588,1.7088547932768527,0.1259753699679189,0.4117562438028522
l5_family,C,MNAR,0.1,3,1.542638528939899e-05,938182398,1.488422812445271,1.2200093493269923,0.9424090653147903,0.8285576010980263,0.9208431782663037,0.7593516339370849,0.8935712505123035,0.11686568882728825,0.00011396970726767197,0.010675659570615389,0.0029451586157323447,0.9640106851749903,0.9828287106313432,0.810785633244732,0.9808697740959171,0.026109361244197184,0.00027796423771465895,0.016672259526370713,0.007010311582315542,0.9607627360199156,0.9813350352108061,0.8256464079118419,0.979041572478256,0.040785601561156806,10.461230382430914,0.10897086878209677,0.1434822666687271,,0.0,,9581,30.0,52.166666666666664,22.166666666666668,0.5270662323867076,0.48192018983033696,0.04514604255637053,6.007361342047993,6.713424101286033,0.7293519943229733,0.11176634310962667,0.5494255637933799
l5_family,C,MNAR,0.1,4,1.542638528939899e-05,866235436,1.1694232520050507,1.0813987479209741,0.8110109486175795,0.8625712554381906,0.9386670738822774,0.6965858035151332,0.9164114965354606,0.10097433061625433,9.94329721763011e-05,0.009971608304396092,0.002974391473061188,0.9699579549805232,0.9876120967658957,0.8309124037746509,0.9836317395859092,0.02271862725545603,0.0002479849636243157,0.015747538335381683,0.007258445853671245,0.967263495409125,0.9867540500891664,0.8826341278781455,0.9820328292941096,0.03588385342782114,9.25776813964226,0.11005248450326395,0.13876348809091263,,0.0,,14233,29.5,58.0,28.5,0.5144826718241412,0.4747121007974426,0.039770571026698544,5.695110367450901,6.868977689693882,1.1738673222429814,0.11082226750040984,0.48752156876165337
l5_family,C,MNAR,0.1,5,1.542638528939899e-05,1386836359,1.0144070732532595,1.0071777763896796,0.7786199108919732,0.8808971936735922,0.9482089009743839,0.795492965495034,0.9283136169354227,0.09609929184808991,6.07622226639537e-05,0.007795012678883447,0.0023623069616131513,0.9803992074421061,0.9914250501723108,0.8400090849966936,0.989606236549156,0.018420658254806883,0.0001535089765512034,0.012389873952191903,0.0058298502162736,0.9784657758733396,0.9906933500737148,0.9022919079041827,0.9885203993875914,0.029287089903207636,8.650316439735695,0.0874053575796866,0.12057148410739761,,0.0,,8482,28.571428571428573,48.142857142857146,19.571428571428573,0.5313786061981013,0.49079631374203475,0.040582292456066545,5.943045175366736,6.663536392791985,0.720491217425249,0.08534038468016303,0.5427576611792218
