Mechanisms of missingness,Taxonomic Level,Condition,Mask Ratio,MSE (CLR)_mean,MSE (CLR)_std,MSE (CLR)_median,RMSE (CLR)_mean,RMSE (CLR)_std,RMSE (CLR)_median,MAE (CLR)_mean,MAE (CLR)_std,MAE (CLR)_median,R2 (CLR)_mean,R2 (CLR)_std,R2 (CLR)_median,Pearson (CLR)_mean,Pearson (CLR)_std,Pearson (CLR)_median,Spearman (CLR)_mean,Spearman (CLR)_std,Spearman (CLR)_median,CCC (CLR)_mean,CCC (CLR)_std,CCC (CLR)_median,NRMSE (CLR)_mean,NRMSE (CLR)_std,NRMSE (CLR)_median,MSE (RA)_mean,MSE (RA)_std,MSE (RA)_median,RMSE (RA)_mean,RMSE (RA)_std,RMSE (RA)_median,MAE (RA)_mean,MAE (RA)_std,MAE (RA)_median,R2 (RA)_mean,R2 (RA)_std,R2 (RA)_median,Pearson (RA)_mean,Pearson (RA)_std,Pearson (RA)_median,Spearman (RA)_mean,Spearman (RA)_std,Spearman (RA)_median,CCC (RA)_mean,CCC (RA)_std,CCC (RA)_median,NRMSE (RA)_mean,NRMSE (RA)_std,NRMSE (RA)_median,MSE (RA non-zero)_mean,MSE (RA non-zero)_std,MSE (RA non-zero)_median,RMSE (RA non-zero)_mean,RMSE (RA non-zero)_std,RMSE (RA non-zero)_median,MAE (RA non-zero)_mean,MAE (RA non-zero)_std,MAE (RA non-zero)_median,R2 (RA non-zero)_mean,R2 (RA non-zero)_std,R2 (RA non-zero)_median,Pearson (RA non-zero)_mean,Pearson (RA non-zero)_std,Pearson (RA non-zero)_median,Spearman (RA non-zero)_mean,Spearman (RA non-zero)_std,Spearman (RA non-zero)_median,CCC (RA non-zero)_mean,CCC (RA non-zero)_std,CCC (RA non-zero)_median,NRMSE (RA non-zero)_mean,NRMSE (RA non-zero)_std,NRMSE (RA non-zero)_median,Aitchison distance (mean)_mean,Aitchison distance (mean)_std,Aitchison distance (mean)_median,Bray-Curtis (mean)_mean,Bray-Curtis (mean)_std,Bray-Curtis (mean)_median,Jensen-Shannon (mean)_mean,Jensen-Shannon (mean)_std,Jensen-Shannon (mean)_median,Zero precision_mean,Zero precision_std,Zero precision_median,Zero recall_mean,Zero recall_std,Zero recall_median,Zero F1_mean,Zero F1_std,Zero F1_median,Richness true_mean,Richness true_std,Richness true_median,Richness imputed_mean,Richness imputed_std,Richness imputed_median,Richness abs diff_mean,Richness abs diff_std,Richness abs diff_median,Evenness true_mean,Evenness true_std,Evenness true_median,Evenness imputed_mean,Evenness imputed_std,Evenness imputed_median,Evenness abs diff_mean,Evenness abs diff_std,Evenness abs diff_median,Shannon eff true_mean,Shannon eff true_std,Shannon eff true_median,Shannon eff imputed_mean,Shannon eff imputed_std,Shannon eff imputed_median,Shannon eff abs diff_mean,Shannon eff abs diff_std,Shannon eff abs diff_median,Bray-Curtis rarefied_mean,Bray-Curtis rarefied_std,Bray-Curtis rarefied_median,Jaccard index rarefied_mean,Jaccard index rarefied_std,Jaccard index rarefied_median
MAR,l7_species,all,0.1,0.5387036790040685,0.03407759784108554,0.5454322708182426,0.7336288331356212,0.023390743566522983,0.7385312986333328,0.23937641305574817,0.011290162071774565,0.24159876449332673,0.3323506372580505,0.014399439480361183,0.3304432298071356,0.5768243196947627,0.012603179850464755,0.5749359190456718,0.29525946910138434,0.0570886216791979,0.29251987482846764,0.498474559152786,0.009964209091314612,0.4973980039273279,0.0721277257326272,0.0022208232000593357,0.07253691543317255,0.0003314231759203,4.542795039228783e-05,0.0003338998534474,0.01816596190196381,0.0012565402662998632,0.018268950690685203,0.0018308328734467,4.526656909232537e-05,0.0018326959523219,0.0851869095342597,0.06904301868943095,0.0725388696494502,0.3661654433956625,0.05499880000215036,0.35707154442577843,0.18572658669931805,0.018656230971101934,0.1887413380654239,0.31698261276767337,0.047240787441394656,0.3189142449062561,0.01987236612588577,0.0013837047618208682,0.02005050335451965,0.00808984846872017,0.0016881590379221568,0.00770789407719155,0.08952074041078707,0.009182441276980095,0.08777956172658036,0.028587399029858813,0.0028093298346285097,0.027528682308512797,0.00928328557426937,0.0718515249828132,0.0103387113121668,0.33033900610567357,0.05695669255785333,0.323479931745439,0.43672012938461846,0.02699078261553494,0.43445309027321155,0.27847277770579104,0.04880135595100464,0.2805379731248584,0.09796411193103403,0.009779408534727177,0.0959690445310262,20.7610530499647,0.6421426297638261,20.902255902063274,0.7625418917905687,0.018853526026952287,0.7633178641420904,0.7884479225479926,0.01457990692461227,0.78898184255464,0.9607687154580471,0.059785945367985004,0.9824150058616647,0.002415296410461296,0.0072934076978666195,1.2542330364981813e-05,0.009447533819157056,0.020026950865856746,0.0003492941347693,32.68747028084121,2.7904655659610644,33.855555555555554,532.2671090199703,25.763015741323596,538.2618949958983,499.5885276280181,23.660051412880655,504.445652173913,0.5427283559785889,0.018304192335723102,0.5399295958485664,0.7278226380983382,0.019982446415358474,0.7271085958883687,0.25473844894829273,0.020965747275743518,0.2486825227813546,8.046063473794323,0.8095939284987463,8.11406064279785,167.01207164344495,15.447292315628156,163.96756666320567,160.29169139988807,14.939002695263008,158.61172801147177,0.7666038118140724,0.018286334509285417,0.7671220978674393,0.054672409217417464,0.002594027099323912,0.05537874056550105
MAR,l7_species,all,0.2,0.5469257698657579,0.021502555532122134,0.548028554339888,0.7394154989099864,0.014548380492299192,0.7402894924484729,0.2402203190652791,0.007725642463017767,0.24063147245632305,0.32674126910390155,0.008816332670132291,0.32469126416858585,0.5717761918298826,0.007802370541127739,0.5701397749547878,0.2905975338332197,0.0352255863136828,0.28712013998998165,0.4902586540594703,0.008831057300952539,0.4893926328808093,0.07226469409179989,0.0011102469082617168,0.07226991471039475,0.00034405987936727,2.8404202909283818e-05,0.0003426552714012,0.01853464565904795,0.0007650632950276528,0.018510417431194498,0.00187997670604173,1.708396114835339e-05,0.00188041269758275,0.03233890637723108,0.06893218215133583,0.02310484795305665,0.3121893225139233,0.038134064049135864,0.30545149536256766,0.18862963993002976,0.012466503301558353,0.19315478912967154,0.262292356144226,0.025173495152592356,0.2627931144671215,0.019884799621962622,0.0007003100620634146,0.01983789055644485,0.00835492987081711,0.0007840984587589498,0.0081799244996644,0.0913163284321957,0.004250232997604564,0.0904421872783109,0.029400538691698442,0.0013882480382562943,0.029459501337909748,-0.0450695842987381,0.07147338658992429,-0.0588175323773123,0.2732393382117938,0.04159235621178508,0.2633273771848738,0.40921917401246277,0.01811854879310076,0.41252262339590445,0.2209680006203864,0.026522239452993774,0.22072178453996555,0.0980156672642344,0.00384075810835702,0.09697205492107905,20.947207372521383,0.38821585912188333,20.962562982186093,0.7830102980664032,0.007115469818289654,0.783191888543239,0.8048616631703028,0.005046841860729815,0.8042278137171134,0.9789166308800095,0.03820678517718444,0.9922861150070126,0.004601960540172042,0.005963132371737057,0.000248025331164,0.009096523307444461,0.01177654689431167,0.0004959262232847,32.45313693238092,1.4793057806174739,32.40013218770655,553.9991306147658,36.17117805731966,546.9881127450981,521.5483466235613,35.150040617429646,515.1372549019608,0.547203139432567,0.015194085882526727,0.5508139601778308,0.7412849806735189,0.026136870990501018,0.7495133763139981,0.2621546286666373,0.02231518048917414,0.2641091949002452,8.12006778026752,0.531325637796435,8.17495524598408,190.38048900673022,25.173882134144,187.76110030894583,183.2543563638691,24.941301381270087,180.32949503543944,0.7868776357333188,0.0073815272267857435,0.7871549359210208,0.05396147908308687,0.002324627122875733,0.053428679522819
MAR,l7_species,all,0.3,0.5526485188904652,0.012177979469624624,0.5523875681527322,0.7433626406372276,0.008199145979461085,0.7432258428399754,0.24217684390202518,0.0031459470078997335,0.2410943692410032,0.32939451817017024,0.00781109815652324,0.3279408793893068,0.5741277404671282,0.006724798997186486,0.5728393193182422,0.3050404360928134,0.0213210424782062,0.30402041647342554,0.49474265274175533,0.009652600135347803,0.49890389260984647,0.07240679430636837,0.001221922135992337,0.0721897489826751,0.00032762158524262004,2.5670826955486534e-05,0.00033150684764225,0.0180876028102014,0.0007150833852395069,0.0182073132676593,0.0018584883175918302,2.0546285747873923e-05,0.00185773004899735,0.05387942962862553,0.03491127798339343,0.0530291828234725,0.32442103918724335,0.02514466224133711,0.32901869619536256,0.18985392595721487,0.009555074819971691,0.18971176905186354,0.27285223140746967,0.020590999575379534,0.271909317430601,0.01954969969297169,0.000701262639556244,0.0197015906942607,0.00781577926436826,0.0006486524208468217,0.00787012841122155,0.08833828767753935,0.0036706333950239163,0.0887137433996366,0.028810746514091316,0.0006313573945378498,0.028652902414043453,-0.02015339757116916,0.03183254362154511,-0.0142580051975512,0.2848112840449869,0.02370532469399552,0.2877305317876715,0.4093508151169317,0.014677191194093907,0.4101885139837771,0.23025857445431144,0.02001994083773546,0.2273988286653824,0.09552042516575546,0.0033945443311698027,0.09599363951588616,21.04347504546812,0.24617738296155728,21.002254539935652,0.7740603842770224,0.008557528013988965,0.773744565407417,0.798046479704913,0.006706322437157759,0.7991617972773057,0.9914746652238344,0.00781305322711633,0.9903923426681944,0.005940039309624516,0.005043400550528206,0.00613362020245725,0.011763591571289096,0.009953331673399944,0.012191904242401401,33.024986750790774,0.7524793098790691,32.999754646384105,565.7949938676242,43.86852302237085,577.8416250480216,532.7744515612778,43.45761490818073,544.5169035728006,0.5531395047145284,0.014848149111897167,0.5564911461544336,0.7338876533831127,0.015762695594506868,0.7345823861325906,0.24778342982057316,0.020233533164855946,0.2438039910080576,8.339474222635214,0.23886603726378142,8.298029469582973,178.94150679272494,17.873073183840127,176.71724745504332,171.4586744858934,17.965593388510534,169.36552312832612,0.7775520463339327,0.00847983175480117,0.7767831057924512,0.05409507177221752,0.002275161718032663,0.053870871975440895
MAR,l7_species,all,0.4,0.5600540556638366,0.014355826663711976,0.5680703756794623,0.7483119401034392,0.009620346636368501,0.7537043164604678,0.24285965421749206,0.004306498429346435,0.24322525253557725,0.31742564451573496,0.010180650647094931,0.32037200684178,0.5638659385781781,0.008451537897906543,0.5660557702843276,0.2957964695908782,0.023087090002713036,0.2912693098890127,0.48863026554455313,0.008535798586866915,0.4887261679732626,0.07268532328056979,0.0009863869048471446,0.0726980413210846,0.00033038035914490004,9.930452519906475e-06,0.00033018197352184997,0.01817451234361363,0.0002737805625562226,0.018170894715963698,0.0018683384865140098,1.9233974088261817e-05,0.0018734655047233,0.04395436360214753,0.029637224117521222,0.0498894749876847,0.31723459742925264,0.017350845371164107,0.31020016090544844,0.1832947394143263,0.010441722485077687,0.18118093963378684,0.267373971399069,0.020341052440392613,0.271335686626785,0.01940337177627606,0.0003755731861800659,0.01933156350739755,0.00787001963146805,0.00034026520320640154,0.007928567563099051,0.08869448990519309,0.0019169106875674409,0.08904236530425255,0.02913264352191136,0.0007245063223718056,0.0290882413334579,-0.026522360742084927,0.03659771669360967,-0.0231650483953754,0.27972498188141726,0.021396016160948193,0.27268344391386806,0.4014828332197265,0.01043496010127018,0.40046640671328015,0.2253255577220278,0.021917690767822632,0.22999629762930335,0.0947498373092839,0.002804226739526916,0.09465227179947135,21.204138946523337,0.26613109541278546,21.346288574302097,0.7781629796330995,0.008010950207769242,0.7802983827172721,0.8014039404297486,0.00623166239005953,0.8023318461600979,0.9822698161931008,0.011654816106108898,0.9811495736538791,0.009641834747498164,0.010990790407954023,0.00566267732102625,0.018879863674890494,0.02115641354136863,0.011258861562919099,33.02083826376209,0.9054141403864342,32.98605889724311,566.1813760245541,32.271358447775505,569.0417989608891,533.3186250155071,31.49304030364625,535.5023091355174,0.5525237024353489,0.007791672565492779,0.553459284056721,0.7265943136577492,0.018200039765426935,0.7330389649594098,0.24652158589987358,0.010521252613597041,0.24098583421233055,8.231589433163988,0.3035010049435578,8.24228557025442,173.64773746987962,17.79253797838199,170.7007178174267,166.42636122750096,17.78732562889077,163.32151700154913,0.7810210138733527,0.008450437516109298,0.7839606624491721,0.0541210602751656,0.0024690459821418162,0.0543917247086385
MAR,l7_species,all,0.5,0.5510483755105561,0.00936704802042864,0.5529081724288534,0.7423020151212595,0.0063327944923067345,0.7435779530095179,0.2408467049551631,0.005185881177997943,0.2411771744682863,0.3234028784183776,0.007656874776878307,0.3235912219418946,0.5690468167435085,0.006568810221035948,0.569146100020452,0.28059992792876465,0.021772987381970046,0.28197541659390896,0.49028128556572276,0.012080799689490208,0.49134952898037965,0.0720924831662593,0.000962481223678114,0.0721848148445821,0.00033086334055252,1.7980655456613926e-05,0.0003290460917764,0.0181836744462082,0.0004913973125339048,0.01813962432459785,0.00187331460438808,1.870309283598213e-05,0.0018760811218431,0.04756691695030174,0.0405292486579748,0.05680861940764155,0.3190421096454218,0.013548256859099637,0.3206152564505917,0.185373455706973,0.01135417162925938,0.18354007273141945,0.26513465842969824,0.016861590296005494,0.26982983768029906,0.01942103120375731,0.0006093574628856049,0.01946475482878625,0.00799237327698767,0.000475945878298051,0.00782650789682035,0.08936511334076012,0.002635188076950053,0.08846636943502384,0.029346334144670628,0.0009101143435394102,0.029376894879550752,-0.026676305052097997,0.038117464393607504,-0.01830855246278705,0.27969232449536635,0.015175504467375454,0.28131906075650803,0.4116130285509595,0.009631845242756606,0.4087617224904003,0.22265382970660763,0.018618620633270903,0.22734115577275715,0.09548734145465973,0.003006191876296486,0.09548069088943685,21.027858006747767,0.1769503567848626,21.049836584939158,0.7802355327276576,0.0077898381661860895,0.7813877872476666,0.8024598156310878,0.006874643568711179,0.8027573665993533,0.9601396605172743,0.061322815684466875,0.9718619038116144,0.009873504015962908,0.013080436570579513,0.00228900785178265,0.021381565040588354,0.02592240500569245,0.0072765860683695,32.67766627405382,0.8733169084474319,32.584384679308,572.9098185889125,41.46417374359954,578.3745722894643,540.4139625386383,41.713212587826206,545.9030693018742,0.5514332544518734,0.006398776570228706,0.5528003552656988,0.7336859866910966,0.03319350283785623,0.7313655293257542,0.25126646397067465,0.011555302326087613,0.2543955351782034,8.146724826958373,0.2550460965575437,8.168396885507581,185.88588623658163,30.47264517397933,189.69065093570703,178.65045215369747,30.17954186990876,181.9922780580892,0.7836384713970677,0.007808556435500595,0.7843616923599799,0.05353269343143341,0.004790926866481377,0.0525233935264448
MAR,l7_species,all,0.6,0.5502600905512811,0.013171529908873134,0.546901917651329,0.7417487893857134,0.008868821542570886,0.7395160751814616,0.2388917008315611,0.00407258972761437,0.2378260062620271,0.32117799507544625,0.009601604587326522,0.3206204087730805,0.567007369138852,0.008120749591123744,0.5662368772944857,0.28065198662542623,0.041868997080688516,0.2807536138122694,0.4912891207463229,0.00971313078158702,0.48851184395948044,0.07185123767250638,0.0011363534482570414,0.07174799867337775,0.0003328324708790375,1.6807666425678886e-05,0.0003335638141458,0.018238632698811336,0.0004595005449217913,0.01826325929540555,0.0018837101298329626,1.4383864938179841e-05,0.001884310615545,0.039281968897439935,0.03791295296337424,0.044838938176611,0.30747401647128636,0.024541297380914966,0.2959113169001102,0.18107029316339687,0.010931532125623781,0.18108622260139762,0.254681247654508,0.024009745816245195,0.2512822654941463,0.01944636113673215,0.0005793529892710152,0.01951714716891735,0.008146708169705301,0.0004796172897852152,0.008247375394601651,0.09022493403107366,0.002655333994327955,0.09081459649198885,0.02995035933561656,0.0008188346581470072,0.0298224226660334,-0.038113216386685196,0.044378748426267337,-0.03256118300104355,0.26584293800557024,0.029350477291351908,0.2564507288035135,0.40410497765736814,0.013780137239765188,0.4066384691801578,0.2101402237310347,0.025890686251117807,0.2049129857441957,0.09624104357082557,0.003065728022167927,0.09650522216410751,21.02988075063697,0.262603493411046,20.98505060574536,0.7845652690754507,0.005990879746756581,0.7848153713745263,0.806089826081148,0.004678619622405796,0.8072054151487738,0.9795804334314823,0.009934456738735204,0.9783779846876348,0.006891184841752763,0.006575150552799131,0.00430613565618815,0.013609780244133188,0.012891170616719183,0.00857420360021075,32.3594096797754,0.3961532109445122,32.313568446495275,579.0822293446669,28.840484302593033,576.3078912085807,546.7678974698163,28.76423633419909,544.156142927068,0.5515660977020719,0.009754492957380607,0.5491504852523128,0.7358311745415338,0.022552969396368312,0.7349604870072988,0.2516936775644199,0.011737378286844208,0.25426864818758943,8.052795171463917,0.2172350041848828,8.021912601293169,195.55053606686502,16.562124563951972,195.7297173159349,188.34806451942433,16.322278442828228,188.72776213849392,0.7873744404762664,0.006273068590174082,0.7877463653487169,0.052944645283266714,0.002856323342184685,0.0533989559506778
MAR,l7_species,all,0.7,0.5557984507805434,0.010319199288903068,0.5545718058679858,0.7454909146450287,0.006907301500120094,0.7446954125382637,0.24323447885947427,0.0038104251724057816,0.24360526607854927,0.31939030824521597,0.00934961758361161,0.32129960392998924,0.565803770214167,0.008034337315604632,0.5679001654777267,0.266391223315169,0.027128385859227763,0.270709894406418,0.4917046569422715,0.011593675342771587,0.4928323905235778,0.07248880513402436,0.000500818470305035,0.07253886483925695,0.0003373497923487125,1.8114780176754773e-05,0.00033388961368495,0.01836134879103805,0.0004906705879034618,0.01827067271673575,0.001884376436777825,3.0029354616427822e-05,0.00188475848865955,0.019283236127238312,0.031412958093408716,0.0164281883587225,0.2944819408953041,0.0248789338040813,0.29584624059087583,0.1795455838789153,0.006549326042942732,0.177880243444755,0.2481674955746171,0.026943826966895085,0.2493817302163785,0.019370484431718488,0.0006712581540024596,0.019227941711922103,0.008150879145085938,0.0005792431286259732,0.008137040855211799,0.09023237782633718,0.003206624730345875,0.090201597521841,0.02978425957249634,0.000966131161042241,0.02962018063491145,-0.052357032878055924,0.024801414661358417,-0.0518432488106976,0.2543772559849188,0.026718445361755622,0.2501022352229393,0.41047465023080554,0.0071620641766669095,0.40777782091966974,0.2048178649075962,0.02880578348793462,0.2030294754531291,0.0952431961521136,0.004041695371402893,0.095860786904165,21.14558982567187,0.17630247084374248,21.124045206460902,0.7848427859179841,0.01250722619773319,0.7850019105267299,0.8057712851512263,0.010663201755981212,0.8057885764111712,0.9686580991050142,0.01289144450473663,0.9719723460884907,0.0137290686933737,0.012001108059441535,0.01138106514134685,0.026830157335426638,0.02304158122031017,0.02246241015571825,32.367280054588306,0.9315807537087436,31.897830628314317,551.1085711717664,39.102429200825256,553.5146747220033,519.0802176049792,38.708718633094094,520.4479467647316,0.5543631577977243,0.006647146874865315,0.5538881638191366,0.7333292962952703,0.026277026145250276,0.7361125170178588,0.25431732630572695,0.02069225600408562,0.2613993591564653,8.156596789209793,0.28561828760737445,8.103137051849561,192.21424156615413,25.761086078782295,201.3484621238532,185.06252646012848,25.69668445360283,194.45269634146598,0.7880630997382604,0.01267703443713965,0.7881045057742204,0.05543518096526673,0.003528888263529601,0.05559101788462595
MAR,l7_species,all,0.8,0.7076882401502953,0.12435203359161245,0.7394998719217338,0.8386332241711582,0.07644218265315156,0.8597106703256752,0.2775513250026864,0.030069831182284137,0.2862276376648837,0.12483034551313178,0.15600174902037087,0.10874956637565031,0.45587272000144075,0.08156273852438789,0.4344357410029275,0.19859336628639918,0.04772297058318995,0.19617762725598642,0.4235644821939821,0.052601352839784246,0.4101945515206171,0.08112309186667042,0.007035116433142027,0.08304101582408505,0.000408335277498575,5.541669677840623e-05,0.0003983947470662,0.020173188108036498,0.0013553641854542817,0.01995442333011745,0.0019431634148601,2.6381723302337848e-05,0.00195539454047285,-0.18134313504218555,0.14207293594651454,-0.20029449584538978,0.21550972412168373,0.03770281328761827,0.2021702229166625,0.1484999927045367,0.02823115957263546,0.1410959380970366,0.19610633033253339,0.020044999410769555,0.1886752265340016,0.0213299727538761,0.0013230448437184948,0.021313116942465002,0.00930009779597805,0.0009127179312599893,0.00912441799787685,0.0963517103938799,0.0046826915553592596,0.09551420652643955,0.03197049484032655,0.0017312290546068862,0.0317617843346732,-0.1784705566405767,0.08319951187390144,-0.1872612162812401,0.19009760375292525,0.027183829310173695,0.1817511858533288,0.34433941460757445,0.051172290273550414,0.3305963720500542,0.1614413239755048,0.014377907535930955,0.15564400205466739,0.10191106493795175,0.003812779713506099,0.10066786214176635,23.13819375798485,1.6773406196615985,23.64435203268942,0.8093275622892545,0.010987987755414107,0.8144218261069562,0.8262833840898683,0.009056692208983828,0.8293695193207435,0.95968580888933,0.006714309832983506,0.959848754738055,0.07863272205554722,0.05134319229792648,0.0824611112046496,0.1420947833731432,0.08915548861815081,0.1518703151977639,32.066490620221884,1.076587594015963,32.020061420982735,511.8621647338034,44.22954005477532,516.1594773170692,482.8389897168263,42.202872706380845,486.32461921859885,0.5535912230889881,0.009788622797749275,0.5542485637457215,0.6840556636330509,0.06039313600002286,0.6800156808883453,0.2506821263206932,0.013649682407637339,0.2465220345309757,8.126662942242701,0.41370940282269336,8.009834437913078,171.73149426850136,41.6205403509505,176.26306657815226,165.66292279955968,40.64674284186987,170.03312453244172,0.8114797992074839,0.010266419007479552,0.8162065341390519,0.059931102618483674,0.005052478845142449,0.06184903558123255
MAR,l7_species,all,0.9,1.27271048634556,0.36089971444920704,1.2852310535899738,1.1177286690550745,0.16222591441466236,1.1336803136642948,0.39055382343363676,0.05924920574590686,0.3999036912943009,-0.5446836623230179,0.42809321019134305,-0.4826816680723258,0.11709179504149682,0.18417941599560847,0.0237438853550891,0.05382430844388337,0.07806967365400008,0.0506395174051785,0.11149713433724738,0.17592335699592845,0.0225069937445836,0.10882668478713176,0.01574961963690566,0.1097464113017639,0.0004005252274624445,4.148443603746968e-05,0.0003891242706901,0.019990337429234124,0.0010127149371097885,0.0197262330588008,0.0021016818574422446,9.396218068392478e-05,0.0021277881316008,-0.19254037644917832,0.10917584209977048,-0.1679078602528059,0.15184173174206164,0.05027191346992053,0.1713187283302179,0.047892640852565546,0.05517099154980747,0.0275263599095301,0.13312155975838025,0.05074784500034337,0.1386833084056963,0.021322836692326676,0.0013623121890927457,0.0209852597822044,0.0090603560763426,0.0008381033155456964,0.0089809597702785,0.09509852700492855,0.004324871970932875,0.0947679258519389,0.03119910896855832,0.0019201017153267937,0.0307239060437964,-0.20588532301224463,0.0729965613849509,-0.1831335607905992,0.13659711067312183,0.04737459805362914,0.1422693005742235,0.14322778477203532,0.10842687463859972,0.1067567855219263,0.10859667304124064,0.04787159826712894,0.1087590704613419,0.10145659811710085,0.005397102514622673,0.0994148538325603,29.603272828485338,3.397250434251631,30.71813514669838,0.8753504936247131,0.03913524825485298,0.886223756811751,0.884650573666553,0.034401997862204714,0.8942924533706171,0.9304374949836424,0.04824335460454022,0.9483950448292382,0.09512677306320078,0.06504690983248063,0.093803320645754,0.1672706193542007,0.10465307035241285,0.1704973273593415,32.445392089829355,1.4282630912728536,32.18023255813954,548.9447596390187,98.62552922283376,579.8439716312057,519.4413658770527,95.99332649201138,550.4397163120567,0.560305510236313,0.005818436354733909,0.5612318440584986,0.7739923377663189,0.08186366025222795,0.8212025064937897,0.3048226520364983,0.03723165130492754,0.3216501859912932,8.361018309051955,0.3859081637841118,8.247916528604353,319.5953225330773,121.11221399171488,378.1757398943077,313.04566020915513,120.17187634332205,370.8978868596269,0.8782299095746972,0.0390546472749315,0.889340724065871,0.05471859286159573,0.012587284289736572,0.0549198770149865
MCAR,l7_species,all,0.1,0.5230360537064092,0.033139306113588896,0.5170048126851194,0.7228890707886294,0.022789984173389108,0.7190293629420597,0.23277722346197166,0.01218230086107039,0.23278863778187656,0.3577074399618318,0.0156802084834832,0.3545246876606146,0.5985053977808892,0.013627986895329697,0.5955313579412702,0.3078103037744849,0.04636153273008963,0.30487044968017313,0.5230268639150732,0.013738436045616607,0.5211402412520538,0.0716363339701045,0.0025129198295763856,0.07164964866319035,0.00035457838220216,5.049090132667302e-05,0.0003629560632896,0.01878456736707223,0.0013817907198567555,0.0190495750642166,0.00185150469988339,4.090063510492043e-05,0.0018691743823368,-0.030330339515737343,0.08505656898195896,-0.027341802185788598,0.30589656448728303,0.04425910478751718,0.3017368657429049,0.18785180167122156,0.015288472121955232,0.18506595268250245,0.2783077473963403,0.03858627697966879,0.2739194206760148,0.0212128430469751,0.0009587607343376383,0.021132804908997847,0.00876414744741115,0.0015457823857951453,0.0096167244423052,0.09325527680680498,0.008666717634295933,0.09806408538336026,0.030659793468286612,0.0024745162425505425,0.031017099767941703,-0.12364506356215835,0.09038001353345305,-0.10166816004051525,0.26107012237260613,0.04431406810620244,0.2583304299059469,0.4453543470432665,0.03662266935319868,0.4414426804057912,0.23227025910276797,0.03859909874832048,0.22514462487454115,0.10533053508936926,0.006986502456660797,0.1069262282018635,20.535203543719927,0.6007593076358451,20.44414132276075,0.7711517075014473,0.017035114521199424,0.7785111302432894,0.7931985688305175,0.013660873071487506,0.8009309674868992,0.9717207172553035,0.02032923703700479,0.9674485906545573,0.010794804772892283,0.01125709102307271,0.0107955350038924,0.026403975672369275,0.02154543007182618,0.041586740170445,31.797777777777775,2.564406572671121,32.03333333333333,478.50444444444446,35.11072362655387,485.73333333333335,447.21777777777777,34.15093553338199,451.8,0.5562367040937124,0.019775111734303685,0.5583056339665071,0.7020557551877397,0.021744101477323672,0.7018468926827877,0.2401315367886129,0.026722106842288592,0.23235484874251683,8.220956110737866,0.8141597561878433,8.13437475624627,138.5709495988258,15.964092927722989,136.72584670535497,131.8876497671683,16.07191795628751,130.30134684761242,0.7755036057767695,0.016664410376634582,0.7827417090125337,0.05962188765746461,0.004159140766770637,0.05829222952049665
