Mechanisms of missingness,Taxonomic Level,Condition,Mask Ratio,MSE (CLR)_mean,MSE (CLR)_std,MSE (CLR)_median,RMSE (CLR)_mean,RMSE (CLR)_std,RMSE (CLR)_median,MAE (CLR)_mean,MAE (CLR)_std,MAE (CLR)_median,R2 (CLR)_mean,R2 (CLR)_std,R2 (CLR)_median,Pearson (CLR)_mean,Pearson (CLR)_std,Pearson (CLR)_median,Spearman (CLR)_mean,Spearman (CLR)_std,Spearman (CLR)_median,CCC (CLR)_mean,CCC (CLR)_std,CCC (CLR)_median,NRMSE (CLR)_mean,NRMSE (CLR)_std,NRMSE (CLR)_median,MSE (RA)_mean,MSE (RA)_std,MSE (RA)_median,RMSE (RA)_mean,RMSE (RA)_std,RMSE (RA)_median,MAE (RA)_mean,MAE (RA)_std,MAE (RA)_median,R2 (RA)_mean,R2 (RA)_std,R2 (RA)_median,Pearson (RA)_mean,Pearson (RA)_std,Pearson (RA)_median,Spearman (RA)_mean,Spearman (RA)_std,Spearman (RA)_median,CCC (RA)_mean,CCC (RA)_std,CCC (RA)_median,NRMSE (RA)_mean,NRMSE (RA)_std,NRMSE (RA)_median,MSE (RA non-zero)_mean,MSE (RA non-zero)_std,MSE (RA non-zero)_median,RMSE (RA non-zero)_mean,RMSE (RA non-zero)_std,RMSE (RA non-zero)_median,MAE (RA non-zero)_mean,MAE (RA non-zero)_std,MAE (RA non-zero)_median,R2 (RA non-zero)_mean,R2 (RA non-zero)_std,R2 (RA non-zero)_median,Pearson (RA non-zero)_mean,Pearson (RA non-zero)_std,Pearson (RA non-zero)_median,Spearman (RA non-zero)_mean,Spearman (RA non-zero)_std,Spearman (RA non-zero)_median,CCC (RA non-zero)_mean,CCC (RA non-zero)_std,CCC (RA non-zero)_median,NRMSE (RA non-zero)_mean,NRMSE (RA non-zero)_std,NRMSE (RA non-zero)_median,Aitchison distance (mean)_mean,Aitchison distance (mean)_std,Aitchison distance (mean)_median,Bray-Curtis (mean)_mean,Bray-Curtis (mean)_std,Bray-Curtis (mean)_median,Jensen-Shannon (mean)_mean,Jensen-Shannon (mean)_std,Jensen-Shannon (mean)_median,Zero precision_mean,Zero precision_std,Zero precision_median,Zero recall_mean,Zero recall_std,Zero recall_median,Zero F1_mean,Zero F1_std,Zero F1_median,Richness true_mean,Richness true_std,Richness true_median,Richness imputed_mean,Richness imputed_std,Richness imputed_median,Richness abs diff_mean,Richness abs diff_std,Richness abs diff_median,Evenness true_mean,Evenness true_std,Evenness true_median,Evenness imputed_mean,Evenness imputed_std,Evenness imputed_median,Evenness abs diff_mean,Evenness abs diff_std,Evenness abs diff_median,Shannon eff true_mean,Shannon eff true_std,Shannon eff true_median,Shannon eff imputed_mean,Shannon eff imputed_std,Shannon eff imputed_median,Shannon eff abs diff_mean,Shannon eff abs diff_std,Shannon eff abs diff_median,Bray-Curtis rarefied_mean,Bray-Curtis rarefied_std,Bray-Curtis rarefied_median,Jaccard index rarefied_mean,Jaccard index rarefied_std,Jaccard index rarefied_median
MAR,l5_family,A,0.1,1.2837464013595405,0.299314785030201,1.1648260155595636,1.1267985360665316,0.1268135210360339,1.079107388705216,0.8027610985503283,0.07725161022261098,0.8009477125637707,0.8497765177539632,0.03496691357104468,0.8650075359504253,0.9317312103731316,0.023497043173142572,0.9428299523307953,0.7133415330683448,0.05255554480616608,0.714444691397,0.9086189140038345,0.019887136500447385,0.9159049095494389,0.1039342208956175,0.007031671476576972,0.10279241126951105,0.00012201110844618019,3.182021879509154e-05,0.00011632754109305,0.0109643579324953,0.0014318673419578163,0.0107804309268572,0.003249717796484075,0.00036018333480105247,0.0032189489998231,0.9618247247751274,0.009856523657500558,0.9633636120361382,0.9832356886533713,0.004479183572778549,0.9828398338284918,0.7932061731281698,0.03839626676495011,0.8068370184931636,0.979146657568825,0.005683570689415453,0.9803982566722558,0.02563611868064775,0.002890639303115298,0.0246298085418835,0.0003244462812221875,8.950794920516521e-05,0.0002834106233836,0.01787098469511855,0.002408126064345579,0.0168322308535681,0.008397446451966687,0.0010522260488861957,0.007858585536478849,0.9578396398476975,0.01094398919375116,0.9601898341303325,0.9817451546890155,0.004891115631587335,0.9814424216965426,0.8515000840100352,0.06791220815697042,0.8848271347947665,0.9767671333952151,0.006419452075558423,0.9785861118952016,0.041818436947199625,0.005161180417810519,0.03914223663345775,9.428108428815253,0.6912490551177262,9.233712909807323,0.12023955846991273,0.013326783387638666,0.11910111299345655,0.1562153582839084,0.0114382027574959,0.1557155639108843,,,,0.0,0.0,0.0,,,,27.538095238095238,2.078650422013172,26.6375,62.80580357142857,3.7649536339143403,63.6875,35.26770833333333,5.478483527511639,36.95833333333333,0.5226580830229942,0.00895053103190944,0.5219893592352651,0.47164588674863006,0.005694618392391293,0.4709092453667121,0.05101219627436406,0.00535335228322801,0.05073013004949235,5.638435742112651,0.1841320110944698,5.643503158101248,7.0756200335539825,0.3098404726489248,7.024940162206574,1.4673642143034031,0.32093121968819793,1.4769045483320076,0.12072986298740512,0.013600326793578229,0.12020030234315945,0.4291309611968037,0.042739860702839534,0.4156798373504418
MAR,l5_family,A,0.2,1.5346231684453968,0.015490890940293569,1.5331701862918685,1.2387872579514831,0.0062501181260703085,1.2382070509171137,0.8843241999358746,0.017711006523741874,0.8868576804615633,0.820521893796907,0.0030384690491869044,0.820579829337847,0.9148181468876135,0.003737194709108133,0.9159140284646607,0.7068469042840297,0.038525789409684576,0.7115007854690274,0.889276124344553,0.0019273955444417614,0.8889883007586743,0.10469909025141957,0.0006687121412791999,0.10455250953534595,0.000125929080820325,1.8689088013862064e-05,0.00012886253526585,0.011197852824997575,0.0008463040667589425,0.01134601586632895,0.003292684332568025,0.00021127619687342933,0.00329799406293465,0.960818314734523,0.005795265916779713,0.9599530270416821,0.9833740082833584,0.0029572684839225386,0.9828663611722652,0.7398237366888689,0.01678552334320071,0.7382711496167702,0.9784489966629168,0.0032620676712243023,0.9780267921425969,0.026372611058903102,0.001872295534726902,0.0267696257332606,0.00033323291801209997,5.401135933110494e-05,0.00034416352118525,0.018207565008575274,0.0015132721591092015,0.018542237459508053,0.00840247915818515,0.0006417927388468789,0.0084887187042378,0.9568121570163696,0.006478659463615319,0.955799573881905,0.9819674333543847,0.0033118615694808064,0.9814512204566501,0.809180168305221,0.01692232685192738,0.8031643146113874,0.9760350103652233,0.003688926441603086,0.975537963351873,0.042886495436582926,0.003380919358513546,0.043753721363258447,10.131777962917953,0.03738671527577606,10.139813388649646,0.12182932030501895,0.007817219284316605,0.1220257803285837,0.16333363077601595,0.004076238989593393,0.1629560898788491,,,,0.0,0.0,0.0,,,,27.791626794258374,0.521081791606038,27.599999999999998,63.859250398724086,2.3257811053494786,63.891228070175444,36.06762360446571,2.63574646563895,36.44736842105263,0.5204362888799092,0.003091024692669151,0.5213368953878887,0.4742350299567418,0.002168735554739274,0.4749654756028435,0.0479195116559578,0.005174927121074626,0.046118860633499,5.612973914090951,0.01708289000725047,5.611672934656145,7.220981248583565,0.14813683936397085,7.228208566168361,1.6709714036748031,0.1451600266164369,1.6495823168359913,0.12214319490580995,0.00835744465978626,0.12171503355323315,0.4196143841680918,0.017956825330932315,0.41314393803101696
MAR,l5_family,A,0.3,1.2533316332655131,0.12995807251589062,1.2034852545615242,1.1184417646248694,0.05679967615307866,1.0970167916117393,0.7999766882561532,0.06067787244060422,0.7916864908814925,0.8537484972434644,0.014124551393046957,0.8593142962739106,0.9327914472625294,0.008125377569687137,0.934012905197197,0.718911153402063,0.02341308462074443,0.7215173789934528,0.9114704129758194,0.010291351162132686,0.9135112379342294,0.1022713624827275,0.0016135158467083864,0.1025787251668516,0.00014407527972189999,2.562102552530244e-05,0.00014192257127235,0.011967740603321775,0.001063619338910552,0.0119045688770743,0.0033372912851024,0.0002910821682224423,0.0033208898521705,0.9552053582311674,0.0071380656041997856,0.9556762442373052,0.9792451406356162,0.0027224929965893726,0.979021738974529,0.7942818444464173,0.002951581196177794,0.7956105016319404,0.9757183943783545,0.004376391809471998,0.9762076555812321,0.027884136381979674,0.002129175503098933,0.026973766594736152,0.00039462025527595,6.400197194906367e-05,0.00038042330914814996,0.01981790712017075,0.0015793723024359256,0.0195033867692552,0.00889253670530985,0.0006155463268270664,0.008652923825300099,0.9503196542644625,0.0076167433651509985,0.9510046249033959,0.9771392318789962,0.0028173395197544937,0.9768989084893775,0.8673007602062756,0.01980054565435025,0.872988029386441,0.9728613510310297,0.004779944021735941,0.9735364505620019,0.04621323571462883,0.003601129259491847,0.044849438279447096,9.46407465087005,0.30622504746940554,9.370894654040033,0.12347977754879033,0.010770040224230436,0.1228729245303099,0.15771240058736002,0.007430459545989609,0.15766103244933435,,,,0.0,0.0,0.0,,,,26.836829836829835,1.3880536607618943,26.325174825174827,61.70328282828282,4.189259987751415,62.42929292929293,34.86645299145299,4.21209004185504,34.648989898989896,0.5221986362022426,0.005709107491671456,0.5217358650806836,0.4675528885794816,0.006888614397179799,0.4675790181824624,0.05644940724567413,0.01148178331331856,0.0570916213995111,5.573048545741084,0.07818731407733966,5.568915468903878,6.907764143223519,0.33937192094821017,7.027609042487153,1.3687238956960872,0.2813424135054068,1.4197771359863438,0.12503166756725612,0.011480750317895945,0.12452908842833721,0.426649347537687,0.02950804820004332,0.4358552900139989
MAR,l5_family,A,0.4,13.717676034750397,21.06052455298114,1.630285681558822,2.887812076439029,2.8403038867144033,1.2768264101117357,1.7081418055800395,1.4184264289418087,0.8951813935469929,-0.6111949601971098,2.4768039236934203,0.8103775884320727,0.6777151535190709,0.4060992745396239,0.906008217506064,0.6035879795464011,0.24231252992469252,0.715902816612494,0.647157502699677,0.4193731477629812,0.8847906598906013,0.2641591778584886,0.2671718016305947,0.1121970579600327,0.0014535591730633996,0.002178088720463409,0.0002720683643704,0.030167550414988198,0.028552007154206586,0.0164944949716689,0.0067936605236592,0.00531523221277183,0.0043606279183942,0.5531739259571128,0.6670853802137922,0.9137920798893284,0.8059419780881144,0.2836145258631368,0.9569024754354571,0.5894805318388369,0.22686042282672325,0.6875320315363926,0.8024134941785682,0.2844392486917918,0.9530142429249476,0.06897914987645022,0.06701557867666906,0.0364992703609823,0.0032055214312795336,0.00466271100379681,0.0007018881836219,0.04576655839248459,0.04082175089679872,0.026493172396335,0.01567522322221587,0.011045765027751581,0.0106021809221258,0.6072255792258093,0.5637404204729815,0.9063180741294344,0.8139820038229288,0.2649192623492197,0.9531386591621894,0.6509001685945243,0.3047598973828286,0.7861841477162198,0.810787438038704,0.264304863095176,0.9486391380853798,0.10455710607905432,0.09598152090554733,0.0586313116712808,19.823184176410585,16.455932023448526,10.382413568352918,0.2513654393753923,0.19666359187255736,0.161343232980589,0.2825759471666236,0.18494053867774074,0.1996860179101442,0.9084699453551912,0.15853470506436446,1.0,0.1458558843530505,0.24485645629466574,0.0074349442379182,0.1855635419656175,0.30597819803338727,0.014760147601476,27.172439878961615,0.8640119309315221,27.17391304347826,51.169055582099055,15.172372427980996,58.42857142857143,26.859253065774805,9.854017108709977,30.75,0.5203832337025166,0.0030433348798245387,0.5190160079613543,0.4781248350503036,0.01679300403177221,0.4714671903932211,0.08964257528356016,0.032875226923428494,0.0793523168199343,5.574198467592514,0.14161092554074983,5.545771802236136,7.618235123449189,0.8630789200890094,7.37418540354355,2.842182927380666,1.3270755177101599,3.173646322245604,0.25228199545661417,0.19701807756039028,0.1615594443902475,0.44554111685915215,0.011589921258665495,0.4418804273826948
MAR,l5_family,A,0.5,4.2952399190576696,3.2106586343005827,3.1469866895583243,1.95212182014164,0.7781872512324407,1.7739748277690763,1.090443906019303,0.21756475353128804,1.122262716082832,0.49944898398839027,0.3747675124071672,0.633086330601687,0.7925883459623027,0.12354897640448231,0.7961335473537867,0.6457381209629907,0.05312490871431734,0.6163896628671405,0.7748371912622314,0.12218269579934322,0.7813314430335784,0.16429011383878078,0.0653631065392433,0.1488861319676002,0.00175508670810412,0.0015986541930601138,0.0021311445022365,0.03705877612584514,0.021844158834762147,0.0461643206625696,0.006443279649334379,0.002400961463758099,0.0073294523829117,0.4583155125521202,0.49120094912114654,0.3393512710510385,0.7772091330317961,0.1851830296505726,0.6990114621913591,0.6776758586215414,0.07891100158711122,0.6762396551035135,0.7703541201896498,0.18817063329815922,0.6946889062521496,0.08365087074146185,0.04927684464656438,0.1070431617692636,0.002877937661822,0.0023855930683816967,0.0027177173450768,0.04880943702010274,0.024889167312373374,0.0521317306932814,0.01477192318239314,0.004467840181597371,0.0166364581463209,0.6348668225784514,0.3006906843870012,0.6547241389570466,0.8244223282126226,0.14176394389755814,0.8205563982035557,0.6947012367997883,0.11004213732257938,0.6763406650562779,0.8205883726441983,0.13934325337167702,0.818397245643516,0.11035455710892399,0.05739115577364886,0.1190736937320032,14.090719890008662,4.263535108363135,12.96326127369716,0.2384013470253738,0.08883557415905045,0.2711897381677339,0.2735310363268382,0.08599719432474165,0.2996381493222729,0.7853670400611827,0.2241399133036264,0.8326388420271273,0.18652145984960913,0.24434930511288722,0.0190234622701331,0.3054368764461508,0.3245405377426318,0.3114611188662216,27.57055139172786,0.5601180424283002,27.58823529411765,48.63774362597892,14.295702993702635,57.0,23.75723084428967,10.504773804146962,30.0,0.5204003406777054,0.004271683615569206,0.5217677869707211,0.46130739719564895,0.03260672339838767,0.4776738859687841,0.0756717557742646,0.024050059620649093,0.0684072217680966,5.60670441222035,0.05286701065898539,5.58995003979244,6.325865797535019,1.3786963406293293,6.052585648861611,1.7479330992731388,0.559424882729099,1.696670541241451,0.23886567421114693,0.08862613645569825,0.2715851587259897,0.4876131297159677,0.05527381100521199,0.4672035157387008
MAR,l5_family,A,0.6,10.55791009679913,6.751870831837027,8.720875160724747,3.108092292841105,1.059287730022426,2.9531127917376856,1.623947579252586,0.5801614576977195,1.4472860960904008,-0.22798197992194869,0.7829954539333467,-0.0168418908473335,0.5994327841885414,0.14563815282109854,0.5981173233703083,0.5483087657715836,0.09806251460360664,0.5752647026613784,0.5751891460878019,0.15748348879491017,0.5873974570854607,0.26871487388986026,0.10208396870155469,0.2489304805760938,0.00320743981816426,0.001460229571283269,0.0036207246474001,0.05495681942902138,0.015296560741316708,0.0601724575482846,0.00999312736763744,0.002304517260251565,0.01019039692488,0.0035147355181576745,0.45534107381026984,-0.1330568969766252,0.6007349911837349,0.15171076384930973,0.5243099376883652,0.559982583740382,0.0993575848240901,0.553208195941937,0.5912830137593488,0.1551740688302167,0.5039754474038384,0.1224637764982259,0.034264030939865096,0.1374229690538026,0.0044915391301283995,0.0014717591101350872,0.0050702658155541,0.06606746230348044,0.012581213917318236,0.0712057990303749,0.02017545937209684,0.003727373219112718,0.0205522888267257,0.4268953756411623,0.19041460008869254,0.3530836719823151,0.7078416330745662,0.09407038157029501,0.6796367543282459,0.5562860039108217,0.14411500240761538,0.5062743817497874,0.7023947818216579,0.09356407398373585,0.6786634264806007,0.14724637080202543,0.02862184435740982,0.1575835967583117,20.335174406997282,6.431444377053685,19.515135947788792,0.36974571260258726,0.08526713862930833,0.3770446862205616,0.3955682919653535,0.08425758024917233,0.4020162986328007,0.6757942992628405,0.29926373977883075,0.7924865831842576,0.36533179945590677,0.2043516886680048,0.4555269922879177,0.46709591369019005,0.26104290658539636,0.5785177930133856,27.296498849987223,0.3070076075964093,27.307692307692307,38.845801743476166,10.921473028130341,34.27906976744186,17.318343981599796,7.811481872623045,13.871794871794872,0.5214445264616682,0.0018651935280752897,0.5219215890341425,0.44832853848628107,0.05903347240982148,0.4552755341479683,0.10819354016745457,0.027293993504712656,0.1080697246180825,5.600413113808253,0.03335574582670199,5.58956264087389,6.471625688603503,2.4980009755591546,5.145143011059094,2.55699713603784,1.683744588246861,1.538844615582336,0.369824316651047,0.08464228269276083,0.3769626566810998,0.4976474355895254,0.042509064818704166,0.4969328457899427
MAR,l5_family,A,0.7,17.155142062233868,5.868782853641164,15.78144794677864,4.092552803993363,0.6883646394801143,3.9725870596852415,2.255173772765843,0.42191528686596164,2.169620452372236,-0.9970744079202901,0.6804248307917732,-0.8370364688763863,0.4038732240480843,0.13943093711640417,0.3578777335625315,0.4392347683002305,0.10505798207274533,0.445378268888952,0.37524083946591164,0.12935180351548392,0.343057868901479,0.35179508082209654,0.05798357954776189,0.3348663175563729,0.004450877234808457,0.001650438980221799,0.0041277249911862,0.06574462430165347,0.012245075688486842,0.0642473734185785,0.012803860855940572,0.0029148909998283914,0.0121260523413053,-0.3736688047631985,0.5099992381848656,-0.2658985000215574,0.47305433248134154,0.13415203898044792,0.4909798205983741,0.40157277927376356,0.09494812974188166,0.3678061103726025,0.46340777642811143,0.1371266702170228,0.4747329789365418,0.14548070864181536,0.02709609047821311,0.1421675690232071,0.007519652860437,0.00344842030625073,0.0067643480696699,0.08471832222591423,0.01998837652921637,0.082245656843811,0.025564150737263213,0.005652459905305712,0.0254693879426721,0.04412718104680607,0.4380581122503407,0.1289130793272486,0.5605689542312121,0.15900767017826944,0.5710338461589675,0.4126606053310666,0.14181876596368326,0.3695253770117954,0.5523372637894332,0.1586264691696665,0.5683377163840823,0.18748779045361536,0.04423572672065194,0.18201560265715,27.454128348098276,5.183345769160703,27.092455664585557,0.4737428516698031,0.10785096699365043,0.4486639366282997,0.49674664572319777,0.10070221163100324,0.472018138218362,0.7502619958753686,0.038751472368891884,0.7421643997634536,0.44866766897218324,0.14287495805799294,0.4433872502378687,0.5505040227620362,0.11428472871220036,0.5547619047619048,27.455864064726473,0.2352279350043035,27.456521739130437,35.226444054823524,5.9976558927219195,33.888888888888886,16.772621919681253,1.910744411757458,17.058823529411764,0.5193280226240542,0.0017845133749841758,0.5198539115714756,0.4609864880112885,0.05534691280187372,0.4505437277366656,0.15656303671642813,0.04128745197077175,0.1521517031992749,5.580285657447516,0.046113699463702376,5.608492553101684,8.759191512240552,3.483597499698371,7.861746771092221,5.708702746218833,3.016045447476318,6.200779121886708,0.4741172068578337,0.10807980803138575,0.4486766045983678,0.449199961385101,0.03370402799776426,0.4452785806473603
MAR,l5_family,A,0.8,15.837738966642437,8.695754108229565,14.432780392928237,3.8550252146566897,1.067367238194448,3.7990499329343166,2.4627411750015793,0.7772931806779422,2.412399468539904,-0.8447310220557357,1.0131487773537462,-0.6833035061556025,0.3873200507817098,0.23304588041024293,0.5128263921805427,0.35377752873009966,0.1759888948883437,0.4285587969517672,0.3757084865284484,0.23044513095999317,0.482198463692927,0.3318115390052121,0.09562499672004895,0.3188466041413249,0.004562509737200029,0.0010219278289809973,0.004756099120872,0.0671733174459799,0.007657089563619844,0.0689644772391704,0.015228919777238129,0.00317701647516479,0.015774539160017,-0.4107453350376537,0.3123105384102827,-0.464488702053677,0.4277730915112531,0.08320732134489742,0.4077940159817105,0.2796620129397272,0.1649536272191684,0.2435133784296771,0.4205434360889032,0.08463097199082859,0.4049456650029479,0.15017389389522104,0.01575274067368782,0.1555512848881143,0.0075063025978676,0.002437865820326963,0.00799427006992,0.08545652702619418,0.0154077475393768,0.0894106820794925,0.028870762013538255,0.0060480312900125476,0.0295389482075808,0.043800646602992245,0.3117670585764405,-0.0271392345622987,0.5310066373636679,0.12684690047677902,0.4858600110977963,0.34850394659118705,0.1459888711855602,0.3913234161475668,0.5226661058218998,0.1252616378841615,0.4816882277560128,0.19081159585282578,0.03214106684456013,0.1978724899703866,27.91838943638925,7.446207869211264,28.534118643075576,0.5634700317578121,0.11754960958109732,0.5836579489206299,0.5801862644828988,0.11377401315156889,0.5976399658333937,0.7291602199097483,0.044844366757124936,0.7376058041112454,0.3558559126500113,0.0762152281665925,0.3421496904895892,0.47406236470496704,0.06554518180342804,0.4508506616257089,27.33710656717511,0.5467409459824971,27.51219512195122,41.73389389951695,5.622654609037434,44.08,22.402179346953556,3.482471866839919,22.66,0.5206568553917008,0.002771348998598749,0.520636886691719,0.4909642693258091,0.07543009301607796,0.5233546419289444,0.20305071667193134,0.04375062876336576,0.2226175369051826,5.592612263916143,0.03555969053925952,5.5766754339022775,13.273248609012999,6.419805379210983,15.14679534633677,10.234977718180444,6.283587856669432,11.986458855160896,0.5639225087223807,0.11718589408621288,0.5837933013039385,0.416271849990438,0.04294551530911245,0.408597414780976
MAR,l5_family,A,0.9,23.288160190021888,10.866718333477131,23.144285851536164,4.695079974773013,1.175861018104194,4.808946136179997,3.3143672359427923,0.9271061037935007,3.240117041426716,-1.7086612070442608,1.2592765076011376,-1.6928754161701018,0.13978749201621898,0.2633166229566344,0.1775291979365224,0.1013834663538092,0.2589441743454787,0.07974757216861345,0.13052307866111398,0.2514679851129546,0.1587584257725606,0.4087185251838221,0.1116626119001132,0.4248346725497558,0.00574555225890603,0.0015644927077265538,0.00592829807634165,0.07512939465888474,0.010600121440374538,0.0769914107968345,0.0200350605750923,0.003944685436617493,0.02147491773107585,-0.7781133150765995,0.4827032387467815,-0.8483642648557398,0.23222177658068532,0.14637260817654696,0.20756706385728846,0.07317939206465425,0.21032732333076187,0.10381672162647346,0.22599825661556525,0.14686025964060515,0.20366994184599324,0.1678238504241532,0.023725758618241326,0.17036776954819266,0.01110494399735172,0.0033487654284429487,0.0104849509052703,0.10426988645576447,0.016080864261384043,0.1023320805210383,0.03827020808754498,0.007166817889183195,0.03963376165342185,-0.4202932265721254,0.4221593300667002,-0.3491474955423164,0.27266512753685207,0.17782328093866098,0.2375285369694759,0.09651543837861576,0.20806997875539673,0.09099982288942696,0.263318513776189,0.17825544641744595,0.23379402677646643,0.23299352347284516,0.03611991333027972,0.22997381600769085,36.07611755719249,9.156292844707899,35.601932928301736,0.7412972412784168,0.14595336115484733,0.7945719560498076,0.7515609367171655,0.1384824876454868,0.7995543736688774,0.6650092353784325,0.10017380155538361,0.6628079548827546,0.3222078404425449,0.12506033982576828,0.33515821498786336,0.4183625119470159,0.14104895196493136,0.44772684839823207,27.57172444765531,0.457911179540377,27.542572463768117,46.90479713622979,8.992996966163824,44.87679425837321,27.949429552141225,5.501432853303464,25.907894736842103,0.519605397266524,0.004233711316964489,0.5202964863446494,0.5376687969590501,0.11374104892862585,0.4907180328746523,0.22725717464855705,0.05592857939160476,0.22743410980084566,5.596980164242199,0.05955241376275989,5.609094844970641,17.13122087374633,9.933780351229816,13.285511723065893,14.083412029448297,9.13624650970322,11.205647866846459,0.7415751908073389,0.14576889402862603,0.7944131476395354,0.33256033233943527,0.0641074524482171,0.3282425031369892
MAR,l5_family,B,0.1,1.5565013081624515,0.35163345143550184,1.5298708191263646,1.2410179558232608,0.13573028097128714,1.2368794683098123,0.937255874230837,0.13336687346047504,0.9250260089162012,0.8162152408874789,0.04231424148612641,0.8207219222601806,0.9218411771143238,0.016231006022912733,0.924917980247573,0.7302690860476125,0.06282252547457694,0.7515255800849018,0.8803704027173985,0.03495993453666386,0.8839913068265464,0.11836454947080775,0.01362020778002647,0.117435073510072,0.00023583384141405553,0.00012171697647340924,0.0001982260162029,0.015039170439049189,0.0032961103075078136,0.0140792761249636,0.0043422477674148995,0.0010830780810307736,0.004090583564367,0.9228748326927086,0.03658872339812308,0.933016305459222,0.965996493933732,0.012968024266261773,0.9688373144382576,0.7880027300204697,0.02522766775059481,0.7994212491826845,0.9553733279129464,0.026075224708950625,0.9649744988547804,0.037135960563505,0.008352859028909925,0.0349715534558137,0.0006339163557162444,0.000328865665914867,0.0005252046742807,0.02465657609054081,0.005405165363669773,0.0229173443985287,0.011185492555880779,0.00250894851482268,0.010356217366758,0.9143813339846343,0.04000402688431105,0.9260545897677792,0.9628062094051908,0.013474836716020067,0.965805307341183,0.8295922002609134,0.022626811133044374,0.8346267898429429,0.9497728034204456,0.02941611942954168,0.9609201476682588,0.0608922343984524,0.013689411404966595,0.0569920798336495,10.58317768985242,1.1398062297630742,10.602516357613991,0.16066316739435427,0.0400738889981385,0.1513515918815815,0.1969144451580127,0.03586424778131934,0.1877699045850862,,,,0.0,0.0,0.0,,,,27.07089947089947,1.267434972065716,27.714285714285715,63.63201058201058,6.503027063232533,65.5,36.56111111111111,7.143781289423065,39.0,0.5394540036517059,0.009726230613090855,0.5388170795665614,0.5001962231689021,0.031593979440489826,0.4931835800123261,0.05336592525171772,0.01429348990161033,0.0533394714928454,5.936647868250061,0.17935187574189718,5.941183266753349,8.124803115885912,1.6396644999756815,7.797302433091727,2.2430766334955408,1.698749718903294,1.813018766645496,0.16085100375763972,0.040018151073688425,0.1522155639802698,0.4256942921648221,0.05629063530877701,0.4168939948978051
